Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
3;142;1.575;u_Y;7.9;-0.4;-7.9;0.6;-9.3;-1.6;-2.5;CO18
3;142;1.575;u_Z;9.2;0.7;8.8;2.3;11.7;-0.6;0.7;CO3
3;;0.315;u_Z;7.4;-0.5;-7.4;0.0;-14.1;-0.6;-0.8;CO11
3;3;0.000;φ_X;7.6;0.5;7.6;0.2;15.1;0.8;1.5;CO16
3;3;0.000;φ_X;7.3;-0.5;-7.3;0.1;-15.3;0.1;-1.7;CO19
3;3;0.000;φ_Y;7.6;0.5;7.6;0.2;15.1;0.8;1.5;CO5
3;;1.181;φ_Y;7.7;-0.4;-7.7;0.4;-10.8;-1.9;-2.3;CO3
3;3;0.000;φ_Z;7.6;0.5;7.6;0.2;15.1;0.8;1.5;CO19
3;142;1.575;φ_Z;7.9;-0.4;-7.9;0.6;-9.3;-1.6;-2.5;CO12
Total;;;;9.2;0.7;8.8;2.3;15.1;0.8;1.5;
3;;;;7.3;-0.5;-7.9;0.0;-15.3;-1.9;-2.5;
;;;;;;;;;;;
4;4;0.000;max;7.6;0.5;7.6;0.2;7.7;0.1;0.6;
4;4;0.000;min;7.5;-0.5;-7.5;0.1;-8.4;-0.3;-0.5;
4;;0.075;max;7.5;0.5;7.5;0.2;6.8;-0.1;0.5;
4;;0.075;min;7.5;-0.5;-7.5;0.1;-8.1;-0.4;-0.5;
4;;0.075;max;7.5;0.5;7.5;0.2;6.8;-0.1;0.5;
4;;0.075;min;7.5;-0.5;-7.5;0.1;-8.1;-0.4;-0.5;
4;156;0.150;max;7.5;0.5;7.5;0.2;5.9;-0.2;0.4;
4;156;0.150;min;7.4;-0.6;-7.4;0.1;-7.8;-0.6;-0.6;
Extremes;4;0.000;u_X;7.6;0.5;7.6;0.2;7.7;0.1;0.6;CO17
4;156;0.150;u_X;7.4;-0.6;-7.4;0.1;-7.8;-0.6;-0.6;CO15
4;4;0.000;u_Y;7.6;0.5;7.6;0.2;7.7;0.1;0.6;CO16
4;4;0.000;u_Y;7.5;-0.5;-7.5;0.1;-8.4;-0.3;-0.5;CO18
4;156;0.150;u_Z;7.5;0.5;7.5;0.2;5.9;-0.2;0.4;CO7
4;4;0.000;u_Z;7.5;-0.5;-7.5;0.1;-8.4;-0.3;-0.5;CO10
4;4;0.000;φ_X;7.6;0.5;7.6;0.2;7.7;0.1;0.6;CO16
4;4;0.000;φ_X;7.5;-0.5;-7.5;0.1;-8.4;-0.3;-0.5;CO19
4;4;0.000;φ_Y;7.6;0.5;7.6;0.2;7.7;0.1;0.6;CO6
4;156;0.150;φ_Y;7.4;-0.6;-7.4;0.1;-7.8;-0.6;-0.6;CO7
4;4;0.000;φ_Z;7.6;0.5;7.6;0.2;7.7;0.1;0.6;CO17
4;156;0.150;φ_Z;7.4;-0.6;-7.4;0.1;-7.8;-0.6;-0.6;CO10
