Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;
2;1.1;-0.3;-1.1;0.0;0.3;-1.2;-2.0;
3;2.8;0.0;-2.8;0.1;-10.2;0.4;1.0;
4;3.7;0.0;-3.7;0.1;-5.5;0.0;0.0;
5;2.8;-0.1;-2.8;0.1;-10.0;-0.2;-1.0;
6;1.1;0.2;-1.0;0.0;0.3;1.3;1.9;
7;0.0;0.0;0.0;0.0;-0.9;-1.0;0.0;
8;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;
9;0.0;0.0;0.0;0.0;-1.8;0.0;0.0;
10;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;
11;0.0;0.0;0.0;0.0;0.0;1.5;0.0;
12;2.7;-2.5;-1.0;0.1;-0.6;-1.3;-0.4;
13;16.3;-1.0;-2.7;16.1;-9.7;-3.5;0.8;
14;26.2;0.0;-3.6;26.0;-5.2;0.0;0.0;
15;16.3;0.9;-2.7;16.1;-9.5;3.5;-0.8;
16;2.7;2.5;-1.0;0.1;-0.6;1.3;0.4;
17;0.0;0.0;0.0;0.0;0.0;-1.5;0.0;
18;0.0;0.0;0.0;0.0;-0.1;1.3;0.0;
19;2.4;-2.1;-1.3;0.1;-0.6;-1.2;-0.4;
20;14.6;-0.8;-2.9;14.3;-9.2;-3.0;0.8;
21;23.1;0.0;-3.7;22.8;-4.9;0.0;0.0;
22;14.6;0.7;-2.9;14.3;-9.0;3.0;-0.8;
23;2.4;2.1;-1.2;0.1;-0.6;1.2;0.4;
24;0.0;0.0;0.0;0.0;-0.1;-1.3;0.0;
25;0.0;0.0;0.0;0.0;-0.1;1.4;0.0;
26;2.6;-2.3;-1.3;0.1;-0.6;-1.2;-0.4;
27;15.3;-0.8;-3.0;14.9;-8.9;-3.2;0.7;
28;24.3;0.0;-3.9;24.0;-4.5;0.0;0.0;
29;15.3;0.8;-3.0;14.9;-8.7;3.2;-0.7;
30;2.6;2.3;-1.3;0.1;-0.6;1.2;0.4;
31;0.0;0.0;0.0;0.0;-0.1;-1.4;0.0;
32;0.0;0.0;0.0;0.0;-0.1;1.4;0.0;
33;2.7;-2.3;-1.4;0.1;-0.6;-1.3;-0.4;
34;15.4;-0.9;-3.1;15.0;-8.6;-3.2;0.7;
35;24.5;0.0;-4.1;24.1;-4.1;0.0;0.0;
36;15.4;0.9;-3.1;15.0;-8.4;3.2;-0.7;
37;2.7;2.3;-1.4;0.1;-0.6;1.3;0.4;
38;0.0;0.0;0.0;0.0;-0.1;-1.4;0.0;
39;0.0;0.0;0.0;0.0;-2.1;1.6;0.0;
40;1.5;-0.4;-1.4;0.0;1.1;-1.7;-3.2;
41;3.2;0.0;-3.2;0.1;-9.8;0.5;1.1;
42;4.2;0.0;-4.2;0.1;-4.4;0.0;0.0;
43;3.2;-0.1;-3.2;0.1;-9.6;-0.3;-1.0;
44;1.5;0.3;-1.4;0.0;1.2;1.7;3.2;
45;0.0;0.0;0.0;0.0;-2.1;-1.6;0.0;
46;0.0;0.0;0.0;0.0;-2.6;0.0;0.0;
47;0.0;0.0;0.0;0.0;-3.5;0.0;0.0;
48;0.0;0.0;0.0;0.0;-2.6;0.0;0.0;
49;4.7;-1.9;-2.1;3.8;-3.8;-2.8;0.0;
50;9.6;-1.4;-2.7;9.1;-6.5;-3.4;0.3;
51;15.1;-0.9;-3.1;14.8;-8.7;-3.2;0.7;
52;24.5;0.0;-4.0;24.1;-4.2;-0.1;0.0;
53;23.2;-0.1;-3.6;22.9;-5.9;-1.4;0.4;
54;19.9;-0.4;-3.3;19.6;-7.5;-2.5;0.6;
55;4.7;-1.9;-2.0;3.7;-4.0;-2.8;0.0;
57;9.5;-1.4;-2.6;9.1;-6.8;-3.4;0.4;
58;15.0;-0.9;-3.0;14.7;-8.9;-3.2;0.7;
59;19.8;-0.4;-3.2;19.5;-7.9;-2.5;0.7;
60;23.0;-0.1;-3.4;22.7;-6.4;-1.4;0.5;
62;24.5;0.0;-4.0;24.1;-4.2;0.1;0.0;
63;24.3;0.0;-3.8;24.0;-4.7;-0.1;0.1;
64;4.7;1.9;-2.1;3.8;-3.8;2.8;0.0;
65;9.6;1.4;-2.7;9.1;-6.4;3.4;-0.3;
66;15.1;0.9;-3.1;14.8;-8.5;3.2;-0.7;
67;23.2;0.1;-3.6;22.9;-5.8;1.4;-0.4;
68;19.9;0.4;-3.3;19.6;-7.3;2.5;-0.6;
69;4.7;1.9;-2.0;3.7;-4.0;2.8;0.0;
71;9.5;1.4;-2.6;9.1;-6.7;3.4;-0.4;
72;15.0;0.9;-3.0;14.7;-8.8;3.2;-0.7;
73;19.8;0.4;-3.2;19.5;-7.8;2.5;-0.7;
74;23.0;0.1;-3.4;22.7;-6.3;1.4;-0.5;
76;24.3;0.0;-3.8;24.0;-4.7;0.1;0.0;
83;4.5;-1.8;-2.0;3.6;-4.2;-2.7;0.0;
84;9.2;-1.3;-2.5;8.7;-7.0;-3.2;0.4;
85;14.4;-0.8;-2.9;14.1;-9.3;-3.0;0.8;
86;18.9;-0.4;-3.0;18.6;-8.4;-2.3;0.8;
87;21.9;-0.1;-3.2;21.6;-7.0;-1.3;0.5;
89;23.1;0.0;-3.7;22.8;-5.2;-0.1;0.1;
95;4.5;1.8;-2.0;3.6;-4.1;2.7;0.0;
96;9.2;1.3;-2.5;8.7;-6.9;3.2;-0.4;
97;14.4;0.8;-2.9;14.1;-9.1;3.0;-0.8;
98;18.9;0.3;-3.0;18.6;-8.2;2.3;-0.8;
99;21.9;0.1;-3.2;21.6;-6.9;1.3;-0.5;
100;23.1;0.0;-3.7;22.8;-5.2;0.1;-0.1;
111;4.8;-2.1;-1.8;4.0;-4.7;-3.0;0.0;
112;10.1;-1.6;-2.4;9.7;-7.5;-3.7;0.5;
113;16.1;-1.0;-2.7;15.8;-9.7;-3.5;0.8;
114;21.2;-0.5;-2.8;21.0;-8.8;-2.7;0.8;
115;24.8;-0.1;-3.0;24.6;-7.4;-1.5;0.6;
116;8.0;0.0;-7.5;2.8;10.6;-1.0;-2.8;
117;26.2;0.0;-3.5;26.0;-5.5;-0.1;0.1;
118;7.9;0.4;-7.5;2.5;6.6;1.2;-0.1;
119;3.8;0.1;-3.8;0.1;-6.8;0.7;0.9;
120;5.8;-0.1;-5.7;1.0;-1.1;-0.8;-0.5;
121;6.2;0.2;-6.0;1.3;0.9;0.5;0.5;
122;4.4;0.0;-4.4;0.1;-3.2;0.2;0.2;
123;4.8;2.1;-1.8;4.0;-4.6;3.0;0.0;
124;10.1;1.6;-2.4;9.7;-7.4;3.7;-0.5;
125;16.1;1.0;-2.7;15.8;-9.5;3.5;-0.8;
126;21.2;0.5;-2.8;21.0;-8.7;2.7;-0.8;
127;24.8;0.1;-3.0;24.6;-7.3;1.5;-0.6;
128;26.2;0.0;-3.5;26.0;-5.5;0.1;-0.1;
129;8.0;-0.1;-7.5;2.7;11.0;0.9;2.8;
130;7.9;-0.5;-7.5;2.4;6.7;-1.3;0.0;
131;3.8;-0.1;-3.8;0.1;-6.7;-0.5;-0.9;
