Line No.;;;Length;;;
;Nodes No.;Line Type;L [m];Position;Options;Comment
133;74,99;Polyline;5;|| Y;;
134;89,63;Polyline;5;|| Y;;
135;76,100;Polyline;5;|| Y;;
136;83,84;Polyline;1.65000071892954;|| XZ;;
137;84,85;Polyline;1.649999624388442;|| XZ;;
138;85,20;Polyline;0.074937842856597;|| XZ;;
139;86,87;Polyline;1.649999723892401;|| XZ;;
140;87,89;Polyline;1.649999723892402;|| XZ;;
141;89,21;Polyline;0.150000164883242;|| XZ;;
142;100,99;Polyline;1.649999723892402;|| XZ;;
143;99,98;Polyline;1.6499997238924;|| XZ;;
144;98,22;Polyline;1.574938197915399;|| XZ;;
145;97,96;Polyline;1.649999624388439;|| XZ;;
146;96,95;Polyline;1.650000718929542;|| XZ;;
147;95,23;Polyline;1.649999624388443;|| XZ;;
148;111,83;Polyline;5;|| Y;;
149;12,19;Polyline;5;|| Y;;
150;112,84;Polyline;5;|| Y;;
151;113,85;Polyline;5;|| Y;;
152;114,86;Polyline;5;|| Y;;
153;115,87;Polyline;5;|| Y;;
154;95,123;Polyline;5;|| Y;;
155;23,16;Polyline;5;|| Y;;
156;96,124;Polyline;5;|| Y;;
157;97,125;Polyline;5;|| Y;;
158;98,126;Polyline;5;|| Y;;
159;99,127;Polyline;5;|| Y;;
160;117,89;Polyline;5;|| Y;;
161;100,128;Polyline;5;|| Y;;
162;111,112;Polyline;1.65000071892954;|| XZ;;
163;112,113;Polyline;1.649999624388442;|| XZ;;
164;113,13;Polyline;0.074937842856597;|| XZ;;
165;114,115;Polyline;1.649999723892401;|| XZ;;
166;115,117;Polyline;1.649999723892402;|| XZ;;
167;117,14;Polyline;0.150000164883242;|| XZ;;
168;128,127;Polyline;1.649999723892402;|| XZ;;
169;127,126;Polyline;1.6499997238924;|| XZ;;
170;126,15;Polyline;1.574938197915399;|| XZ;;
171;125,124;Polyline;1.649999624388439;|| XZ;;
172;124,123;Polyline;1.650000718929542;|| XZ;;
173;123,16;Polyline;1.649999624388443;|| XZ;;
174;139,111;Polyline;5;|| Y;;
175;2,12;Polyline;5;|| Y;;
176;140,112;Polyline;5;|| Y;;
177;141,113;Polyline;5;|| Y;;
178;142,114;Polyline;5;|| Y;;
179;143,115;Polyline;5;|| Y;;
180;123,151;Polyline;5;|| Y;;
181;16,6;Polyline;5;|| Y;;
182;124,152;Polyline;5;|| Y;;
183;125,153;Polyline;5;|| Y;;
