Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-1.5;1.1;0.0;
2;1.7;-0.3;-1.7;0.0;0.5;-1.2;-2.9;
3;4.3;0.0;-4.3;0.1;-15.2;0.4;1.5;
4;5.8;0.0;-5.8;0.1;-8.3;0.0;0.0;
5;4.3;0.0;-4.3;0.1;-15.0;-0.2;-1.4;
6;1.7;0.2;-1.7;0.0;0.5;1.3;2.9;
7;0.0;0.0;0.0;0.0;-1.5;-1.1;0.0;
8;0.0;0.0;0.0;0.0;-2.2;0.0;0.0;
9;0.0;0.0;0.0;0.0;-2.8;0.0;0.0;
10;0.0;0.0;0.0;0.0;-2.2;0.0;0.0;
11;0.0;0.0;0.0;0.0;-0.1;1.4;0.0;
12;2.8;-2.3;-1.6;0.1;-0.8;-1.2;-0.7;
13;15.3;-0.9;-4.2;14.7;-14.5;-3.2;1.2;
14;24.5;0.0;-5.6;23.9;-7.9;0.0;0.0;
15;15.3;0.9;-4.2;14.7;-14.2;3.2;-1.2;
16;2.8;2.3;-1.6;0.1;-0.8;1.2;0.7;
17;0.0;0.0;0.0;0.0;-0.1;-1.4;0.0;
18;0.0;0.0;0.0;0.0;-0.3;1.1;0.0;
19;2.6;-1.7;-2.0;0.1;-0.7;-1.0;-0.6;
20;12.9;-0.6;-4.5;12.1;-13.8;-2.5;1.2;
21;19.9;0.0;-5.8;19.1;-7.5;0.0;0.0;
22;12.9;0.6;-4.5;12.1;-13.6;2.5;-1.1;
23;2.6;1.7;-2.0;0.1;-0.7;1.0;0.6;
24;0.0;0.0;0.0;0.0;-0.3;-1.1;0.0;
25;0.0;0.0;0.0;0.0;-0.3;1.2;0.0;
26;2.9;-2.0;-2.1;0.1;-0.8;-1.1;-0.6;
27;13.9;-0.7;-4.7;13.0;-13.3;-2.8;1.1;
28;21.8;0.0;-6.1;20.9;-6.8;0.0;0.0;
29;13.9;0.7;-4.7;13.0;-13.1;2.8;-1.1;
30;2.9;2.0;-2.1;0.1;-0.8;1.1;0.6;
31;0.0;0.0;0.0;0.0;-0.3;-1.2;0.0;
32;0.0;0.0;0.0;0.0;-0.3;1.3;0.0;
33;3.0;-2.0;-2.2;0.1;-0.8;-1.1;-0.6;
34;14.1;-0.8;-4.9;13.2;-12.9;-2.8;1.0;
35;22.1;0.0;-6.3;21.2;-6.2;0.0;0.0;
36;14.1;0.8;-4.9;13.2;-12.6;2.8;-1.0;
37;3.0;2.0;-2.2;0.1;-0.8;1.1;0.6;
38;0.0;0.0;0.0;0.0;-0.3;-1.3;0.0;
39;0.0;0.0;0.0;0.0;-3.2;2.0;0.0;
40;2.3;-0.5;-2.3;0.0;1.8;-1.9;-4.8;
41;5.0;0.0;-5.0;0.1;-14.7;0.6;1.6;
