Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-12.09;0.19;-1.24;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-12.09;0.19;-1.24;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.45;-0.18;-1.21;0.00;-4.94;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.45;-0.18;-1.21;0.00;-4.94;0.00;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-10.45;-0.18;-1.21;0.00;-4.94;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-12.09;0.19;-1.24;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-12.09;0.19;-1.24;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-10.45;-0.18;-1.21;0.00;-4.94;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-10.45;-0.18;-1.21;0.00;-4.94;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-12.09;0.19;-1.24;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-10.45;-0.18;-1.21;0.00;-4.94;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-11.68;0.09;-1.24;0.00;-1.24;-0.14;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-12.09;0.19;-1.24;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-10.45;-0.18;-1.21;0.00;-4.94;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_z;-12.09;0.19;-1.24;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;M_z;-11.27;0.00;-1.24;0.00;-2.48;-0.19;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-10.45;0.19;-1.21;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-12.09;-0.18;-1.24;0.00;-4.94;-0.19;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-1.90;0.00;6.77;0.00;-5.41;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-1.85;-0.01;6.22;0.00;5.31;0.01;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-1.85;-0.01;6.22;0.00;5.31;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-1.90;0.00;6.77;0.00;-5.41;0.00;Beam | 3 - HEA 140 | L : 1.650 m
