Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-6.01;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-6.01;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-4.36;0.00;-0.58;0.00;-2.03;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-4.36;0.00;-0.58;0.00;-2.03;0.00;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-4.36;0.00;-0.58;0.00;-2.03;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-6.01;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-6.01;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-4.36;0.00;-0.58;0.00;-2.03;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-6.01;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-4.36;0.00;-0.58;0.00;-2.03;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_T;-6.01;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-4.36;0.00;-0.58;0.00;-2.03;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-6.01;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-4.36;0.00;-0.58;0.00;-2.03;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_z;-6.01;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-4.36;0.00;-0.58;0.00;-2.03;0.00;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-4.36;0.00;-0.42;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
