Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-5.86;-2.16;-1.72;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-5.86;-2.16;-1.72;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-5.25;-0.32;-0.69;0.01;-1.81;1.87;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-5.25;-0.32;-0.69;0.01;-1.81;1.87;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-5.15;-0.03;-0.53;0.01;-1.95;1.91;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-4.22;1.36;0.13;0.00;-2.12;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-4.22;1.36;0.13;0.00;-2.12;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-4.22;1.36;0.13;0.00;-2.12;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-5.86;-2.16;-1.72;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-4.22;1.36;0.13;0.00;-2.12;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-5.86;-2.16;-1.72;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-4.22;1.36;0.13;0.00;-2.12;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-5.86;-2.16;-1.72;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-5.45;-0.94;-1.03;0.01;-1.38;1.55;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-4.22;1.36;0.13;0.00;-2.12;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-5.86;-2.16;-1.72;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;3.000;M_y;-4.63;1.09;0.02;0.00;-2.23;1.15;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-5.15;-0.03;-0.53;0.01;-1.95;1.91;Beam | 2 - HEA 160 | L : 4.000 m
