Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-4.5;-0.7;0.0;
2;0.5;0.5;-0.1;0.0;3.9;-0.1;-5.0;
3;0.6;0.5;-0.2;0.1;-1.9;0.1;0.9;
4;0.5;0.4;-0.2;0.1;0.1;-0.3;0.6;
5;0.5;0.5;-0.1;0.1;-1.2;-0.1;-0.5;
6;0.7;0.7;0.0;0.0;1.7;1.0;2.6;
7;0.0;0.0;0.0;0.0;-1.9;-1.0;0.0;
8;0.0;0.0;0.0;0.0;-3.4;-0.1;0.0;
9;0.0;0.0;0.0;0.0;-3.8;-0.1;0.0;
10;0.0;0.0;0.0;0.0;-2.1;-0.1;0.0;
11;0.0;0.0;0.0;0.0;0.2;-0.1;0.0;
12;2.5;2.5;0.0;0.1;-0.2;-1.8;0.0;
13;15.0;3.8;0.0;14.5;0.3;-2.7;0.0;
14;21.5;4.4;0.0;21.1;0.4;0.4;0.0;
15;12.8;5.3;0.0;11.7;0.1;2.9;0.0;
16;6.4;6.4;0.0;0.1;-0.2;0.3;0.0;
17;0.0;0.0;0.0;0.0;0.2;-2.4;0.0;
18;0.0;0.0;0.0;0.0;0.2;-0.1;0.0;
19;2.5;2.5;0.1;0.1;-0.2;-1.8;0.0;
20;15.1;3.8;0.1;14.6;0.3;-2.7;0.0;
21;21.6;4.4;0.1;21.1;0.3;0.4;0.0;
22;12.9;5.3;0.1;11.7;0.1;2.9;0.0;
23;6.4;6.4;0.0;0.1;-0.2;0.3;0.0;
24;0.0;0.0;0.0;0.0;0.2;-2.4;0.0;
25;0.0;0.0;0.0;0.0;0.2;-0.2;0.0;
26;2.5;2.5;0.2;0.1;-0.1;-1.8;0.0;
27;14.7;3.9;0.3;14.1;-0.2;-2.6;0.0;
28;20.9;4.4;0.3;20.4;-0.1;0.4;0.0;
29;12.5;5.3;0.2;11.3;-0.1;2.8;0.0;
30;6.3;6.3;0.1;0.1;-0.2;0.3;0.0;
31;0.0;0.0;0.0;0.0;0.2;-2.4;0.0;
32;0.0;0.0;0.0;0.0;0.3;-0.2;0.0;
33;2.5;2.5;0.3;0.1;-0.1;-1.8;0.0;
34;14.6;3.9;0.5;14.1;-0.6;-2.6;0.1;
35;20.9;4.4;0.5;20.4;-0.6;0.4;0.0;
36;12.4;5.3;0.3;11.3;-0.4;2.8;-0.1;
37;6.3;6.3;0.2;0.1;-0.1;0.3;0.0;
38;0.0;0.0;0.0;0.0;0.2;-2.4;0.0;
39;0.0;0.0;0.0;0.0;4.8;-0.7;0.0;
40;0.7;0.5;0.5;0.0;-4.0;-0.1;5.0;
41;0.9;0.5;0.7;0.1;1.6;0.1;-0.8;
42;0.8;0.4;0.7;0.1;-0.3;-0.3;-0.6;
43;0.7;0.5;0.5;0.1;0.9;-0.1;0.4;
44;0.7;0.7;0.2;0.0;-1.8;1.0;-2.6;
45;0.0;0.0;0.0;0.0;2.1;-1.0;0.0;
46;0.0;0.0;0.0;0.0;3.7;-0.1;0.0;
47;0.0;0.0;0.0;0.0;4.2;-0.1;0.0;
48;0.0;0.0;0.0;0.0;2.3;-0.1;0.0;
49;5.0;2.9;0.4;4.1;-0.6;-2.8;0.1;
50;9.7;3.4;0.4;9.1;-0.7;-3.0;0.1;
51;14.4;3.8;0.5;13.9;-0.6;-2.7;0.1;
52;20.9;4.4;0.5;20.4;-0.7;0.3;0.0;
53;20.5;4.4;0.6;20.0;-0.9;-0.8;0.1;
54;18.2;4.2;0.6;17.7;-0.9;-1.9;0.1;
55;5.0;2.9;0.2;4.1;-0.2;-2.8;0.0;
57;9.7;3.4;0.3;9.1;-0.2;-3.0;0.0;
58;14.5;3.8;0.3;13.9;-0.2;-2.7;0.0;
59;18.2;4.2;0.3;17.7;-0.2;-1.9;0.0;
