Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
48;0.0;0.0;0.0;0.0;-4.2;-0.5;0.0;
49;8.8;2.9;3.0;7.7;6.1;-2.0;0.1;
49;8.0;-6.9;-3.4;2.2;-5.8;-5.6;-0.1;
50;19.0;3.4;3.9;18.2;10.2;-2.7;0.5;
50;9.9;-6.2;-4.4;6.4;-9.9;-6.6;-0.6;
51;29.7;3.8;4.5;29.1;13.5;-2.7;1.0;
51;13.4;-5.5;-5.0;11.1;-13.1;-6.2;-1.1;
52;47.1;4.5;6.0;46.5;7.0;0.3;0.1;
52;21.5;-4.2;-6.5;20.1;-6.5;-0.5;-0.1;
53;44.6;4.4;5.3;44.1;9.6;-0.8;0.6;
53;20.1;-4.4;-5.8;18.7;-9.0;-2.8;-0.7;
54;38.6;4.2;4.9;38.1;11.9;-1.9;0.9;
54;17.1;-4.8;-5.4;15.5;-11.3;-4.9;-1.0;
55;8.8;2.9;3.0;7.7;6.2;-2.0;0.1;
55;8.0;-6.9;-3.3;2.2;-6.0;-5.6;-0.1;
57;19.0;3.4;3.9;18.3;10.4;-2.8;0.6;
57;9.9;-6.2;-4.2;6.4;-10.2;-6.6;-0.6;
58;29.7;3.8;4.5;29.1;13.7;-2.7;1.1;
58;13.3;-5.5;-4.9;11.1;-13.5;-6.2;-1.1;
59;38.7;4.2;4.8;38.1;12.2;-1.9;1.0;
59;17.0;-4.8;-5.2;15.5;-11.9;-4.9;-1.1;
60;44.5;4.4;5.1;44.0;10.0;-0.8;0.7;
60;20.0;-4.4;-5.5;18.7;-9.7;-2.8;-0.7;
62;47.1;4.4;6.0;46.5;7.0;0.5;0.1;
62;21.5;-4.2;-6.5;20.1;-6.5;-0.3;-0.1;
63;46.9;4.5;5.9;46.3;7.4;0.3;0.1;
63;21.4;-4.3;-6.2;20.1;-7.2;-0.5;-0.1;
64;10.9;7.2;3.0;7.6;6.0;5.6;0.1;
64;4.9;-2.7;-3.4;2.2;-5.7;2.0;-0.1;
65;19.7;6.5;3.9;18.1;10.1;6.6;0.5;
65;8.3;-3.2;-4.4;6.3;-9.7;2.7;-0.5;
66;29.9;5.8;4.5;29.0;13.2;6.2;1.0;
66;12.7;-3.7;-5.0;11.1;-12.8;2.7;-1.0;
67;44.6;4.6;5.3;44.1;9.5;2.8;0.7;
67;20.0;-4.2;-5.8;18.7;-8.9;0.8;-0.6;
68;38.7;5.1;4.9;38.0;11.7;4.9;1.0;
68;16.8;-4.0;-5.4;15.4;-11.1;1.9;-0.9;
69;10.9;7.2;2.9;7.6;6.1;5.6;0.1;
69;4.8;-2.7;-3.3;2.2;-6.0;2.0;0.0;
71;19.7;6.5;3.9;18.2;10.2;6.6;0.6;
71;8.2;-3.2;-4.2;6.3;-10.0;2.7;-0.5;
72;29.9;5.8;4.5;29.0;13.4;6.2;1.1;
72;12.6;-3.7;-4.8;11.1;-13.2;2.7;-1.1;
73;38.7;5.1;4.8;38.1;12.0;4.9;1.0;
73;16.8;-4.0;-5.2;15.4;-11.7;1.9;-1.0;
74;44.5;4.7;5.1;44.0;9.9;2.8;0.7;
74;19.9;-4.2;-5.5;18.7;-9.6;0.8;-0.7;
76;46.9;4.5;5.9;46.3;7.4;0.5;0.1;
76;21.4;-4.3;-6.2;20.1;-7.2;-0.3;-0.1;
83;8.8;2.9;2.9;7.8;6.4;-2.1;0.0;
83;8.0;-6.9;-3.2;2.3;-6.3;-5.7;0.0;
84;19.2;3.3;3.8;18.5;10.6;-2.7;0.6;
84;10.0;-6.3;-4.1;6.6;-10.6;-6.9;-0.6;
85;30.3;3.8;4.4;29.7;14.0;-2.5;1.2;
85;13.6;-5.5;-4.7;11.6;-14.0;-6.5;-1.2;
86;39.9;4.2;4.6;39.4;12.6;-1.9;1.1;
86;17.1;-4.8;-4.9;15.6;-12.6;-5.0;-1.1;
87;46.4;4.4;4.9;46.0;10.5;-0.9;0.8;
87;19.4;-4.4;-5.2;18.1;-10.6;-2.8;-0.8;
89;49.0;4.5;5.7;48.5;7.9;0.3;0.1;
89;20.4;-4.2;-6.0;19.0;-7.9;-0.5;-0.1;
95;11.0;7.2;2.9;7.7;6.3;5.7;0.0;
95;4.8;-2.7;-3.2;2.3;-6.2;2.0;0.0;
96;19.9;6.6;3.8;18.4;10.4;6.8;0.6;
96;8.4;-3.2;-4.1;6.6;-10.4;2.7;-0.6;
97;30.4;5.8;4.4;29.5;13.7;6.5;1.1;
97;12.9;-3.6;-4.7;11.5;-13.7;2.5;-1.1;
98;39.9;5.1;4.6;39.3;12.4;5.0;1.1;
98;16.8;-4.0;-4.9;15.6;-12.5;1.9;-1.1;
99;46.4;4.7;4.9;45.9;10.4;2.9;0.8;
99;19.3;-4.2;-5.2;18.1;-10.5;0.9;-0.8;
100;49.0;4.5;5.7;48.4;7.8;0.5;0.1;
100;20.4;-4.2;-6.0;19.0;-7.9;-0.3;-0.1;
111;8.9;2.9;3.2;7.8;5.6;-2.1;0.1;
111;7.9;-6.9;-2.9;2.3;-7.0;-5.7;0.0;
112;19.2;3.4;4.0;18.5;9.9;-2.8;0.7;
112;9.9;-6.3;-3.9;6.6;-11.3;-6.8;-0.6;
113;30.3;3.8;4.6;29.7;13.4;-2.6;1.2;
113;13.5;-5.5;-4.4;11.5;-14.6;-6.5;-1.1;
114;39.9;4.2;4.9;39.3;12.0;-1.9;1.2;
114;17.4;-4.8;-4.7;16.0;-13.3;-5.0;-1.1;
115;46.3;4.4;5.1;45.8;10.0;-0.9;0.8;
115;19.7;-4.4;-5.0;18.6;-11.2;-2.8;-0.7;
116;12.2;0.6;11.2;4.9;16.1;-0.7;4.8;
116;11.6;-0.4;-11.5;1.3;-29.6;-1.9;-4.3;
