Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-75.93;0.00;-52.82;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-75.93;0.00;-52.82;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-74.13;0.00;-51.34;0.00;-78.15;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-74.13;0.00;-51.35;0.00;-78.15;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-71.25;0.00;-50.47;0.00;-204.73;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-71.25;0.00;-50.47;0.00;-204.73;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-55.36;0.01;59.71;0.00;-204.90;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-55.01;0.02;57.84;0.01;-107.89;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-52.38;-0.01;27.17;0.01;35.65;-0.03;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-52.22;-0.01;25.20;0.01;76.90;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-49.48;0.08;6.21;0.01;109.88;0.11;Beam | 1 - IPE 500 | L : 0.150 m
1;13;;0.075;;-49.49;0.08;6.11;0.01;110.34;0.10;Beam | 1 - IPE 500 | L : 0.150 m
1;13;;0.075;;-49.49;0.08;6.11;0.01;110.34;0.10;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-49.50;0.08;6.02;0.01;110.79;0.09;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-52.13;-0.02;-23.80;-0.01;57.73;-0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;14;;0.037;;-52.13;-0.02;-23.85;-0.01;56.84;-0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;14;;0.037;;-52.13;-0.02;-23.85;-0.01;56.84;-0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-52.14;-0.02;-23.90;-0.01;55.94;-0.01;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-72.14;0.00;35.73;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-72.14;0.00;35.73;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-70.32;0.00;40.10;0.00;56.89;0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-70.32;0.00;40.10;0.00;56.89;0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-67.38;0.00;43.04;0.00;162.63;0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-67.38;0.00;43.04;0.00;162.63;0.01;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-75.98;0.00;-52.87;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-75.98;0.00;-52.87;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-74.18;0.00;-51.39;0.00;-78.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-74.18;0.00;-51.40;0.00;-78.23;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-71.30;0.00;-50.52;0.00;-204.94;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-71.30;0.00;-50.52;0.00;-204.94;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-55.42;0.01;59.76;0.00;-205.11;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-55.07;0.02;57.89;0.01;-108.02;0.00;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-52.43;-0.01;27.19;0.00;35.69;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-52.27;-0.01;25.23;0.00;76.98;-0.02;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-49.55;0.06;6.19;0.01;110.05;0.08;Beam | 1 - IPE 500 | L : 0.150 m
1;19;;0.075;;-49.56;0.06;6.10;0.01;110.51;0.07;Beam | 1 - IPE 500 | L : 0.150 m
1;19;;0.075;;-49.56;0.06;6.10;0.01;110.51;0.07;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-49.57;0.06;6.00;0.01;110.97;0.06;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-52.21;-0.01;-23.86;0.00;57.82;-0.03;Beam | 1 - IPE 500 | L : 0.075 m
1;20;;0.037;;-52.21;-0.01;-23.90;0.00;56.92;-0.03;Beam | 1 - IPE 500 | L : 0.075 m
1;20;;0.037;;-52.21;-0.01;-23.90;0.00;56.92;-0.03;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-52.22;-0.01;-23.95;0.00;56.03;-0.03;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-72.23;0.00;35.79;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-72.23;0.00;35.79;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-70.40;0.00;40.16;0.00;56.98;0.00;Beam | 1 - IPE 500 | L : 4.000 m
