Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;
2;1.7;-0.4;-1.7;0.0;0.4;-1.8;-3.0;
3;4.3;0.0;-4.3;0.1;-15.3;0.6;1.5;
4;5.8;0.0;-5.8;0.1;-8.4;0.0;0.0;
5;4.3;-0.1;-4.3;0.1;-15.1;-0.3;-1.4;
6;1.7;0.3;-1.7;0.0;0.5;1.8;2.9;
7;0.0;0.0;0.0;0.0;-1.5;-1.4;0.0;
8;0.0;0.0;0.0;0.0;-2.1;0.0;0.0;
9;0.0;0.0;0.0;0.0;-2.8;0.0;0.0;
10;0.0;0.0;0.0;0.0;-2.1;0.0;0.0;
11;0.0;0.0;0.0;0.0;0.0;2.1;0.0;
12;3.9;-3.5;-1.6;0.2;-0.9;-1.9;-0.6;
13;23.1;-1.3;-4.3;22.7;-14.6;-4.9;1.2;
14;37.1;0.0;-5.7;36.7;-8.0;0.0;0.0;
15;23.1;1.3;-4.3;22.7;-14.3;4.9;-1.2;
16;3.9;3.5;-1.6;0.1;-0.9;1.9;0.6;
17;0.0;0.0;0.0;0.0;0.0;-2.1;0.0;
18;0.0;0.0;0.0;0.0;-0.2;1.8;0.0;
19;3.5;-2.9;-2.0;0.1;-0.8;-1.7;-0.6;
20;20.6;-1.0;-4.5;20.1;-13.9;-4.2;1.2;
21;32.4;0.0;-5.9;31.9;-7.6;0.0;0.0;
22;20.6;1.0;-4.5;20.1;-13.7;4.2;-1.1;
23;3.5;2.9;-2.0;0.1;-0.8;1.7;0.6;
24;0.0;0.0;0.0;0.0;-0.2;-1.8;0.0;
25;0.0;0.0;0.0;0.0;-0.2;1.9;0.0;
26;3.8;-3.2;-2.1;0.1;-0.9;-1.8;-0.6;
27;21.6;-1.2;-4.7;21.0;-13.4;-4.5;1.1;
28;34.3;0.0;-6.2;33.8;-6.9;0.0;0.0;
29;21.6;1.2;-4.7;21.0;-13.2;4.5;-1.1;
30;3.8;3.2;-2.1;0.1;-0.9;1.8;0.6;
31;0.0;0.0;0.0;0.0;-0.2;-1.9;0.0;
32;0.0;0.0;0.0;0.0;-0.2;2.0;0.0;
33;3.9;-3.2;-2.2;0.1;-0.9;-1.8;-0.6;
34;21.8;-1.2;-4.9;21.2;-13.0;-4.5;1.0;
35;34.6;0.0;-6.4;34.0;-6.3;0.0;0.0;
36;21.8;1.2;-4.9;21.2;-12.7;4.5;-1.0;
37;3.9;3.2;-2.1;0.1;-0.9;1.8;0.6;
38;0.0;0.0;0.0;0.0;-0.2;-2.0;0.0;
39;0.0;0.0;0.0;0.0;-3.2;2.3;0.0;
40;2.3;-0.6;-2.2;0.0;1.7;-2.4;-4.8;
41;5.1;0.0;-5.1;0.1;-14.8;0.7;1.6;
42;6.6;0.0;-6.6;0.1;-6.8;0.0;0.1;
