Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-4.91;-3.19;1.57;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-4.91;-3.19;1.57;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-4.46;-0.51;-0.15;0.01;1.07;2.77;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-4.46;-0.51;-0.14;0.01;1.07;2.77;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-4.39;-0.08;-0.40;0.01;1.00;2.84;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.190;;-4.25;0.67;-0.83;0.01;0.72;2.70;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-3.70;2.03;-1.58;0.00;-1.68;-0.17;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-3.70;2.03;-1.58;0.00;-1.68;-0.17;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-3.70;2.03;-1.58;0.00;-1.68;-0.17;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-4.91;-3.19;1.57;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-3.70;2.03;-1.58;0.00;-1.68;-0.17;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-4.91;-3.19;1.57;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-4.91;-3.19;1.57;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-3.70;2.03;-1.58;0.00;-1.68;-0.17;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;M_T;-4.16;1.11;-1.06;0.01;0.43;2.43;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-3.70;2.03;-1.58;0.00;-1.68;-0.17;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.333;M_y;-4.51;-0.80;0.05;0.01;1.08;2.66;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-3.70;2.03;-1.58;0.00;-1.68;-0.17;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-4.39;-0.08;-0.40;0.01;1.00;2.84;Beam | 2 - HEA 160 | L : 4.000 m
