Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-1.0;1.4;0.0;
2;1.2;-0.4;-1.1;0.1;0.3;-2.1;-1.8;
3;2.7;0.1;-2.7;0.1;-9.1;0.6;0.9;
4;3.6;0.0;-3.6;0.1;-5.0;0.1;0.0;
5;2.7;-0.1;-2.7;0.1;-9.0;-0.4;-0.8;
6;1.1;0.4;-1.1;0.1;0.3;2.2;1.8;
7;0.0;0.0;0.0;0.0;-1.0;-1.5;0.0;
8;0.0;0.0;0.0;0.0;-1.4;-0.5;0.0;
9;0.0;0.0;0.0;0.0;-1.8;-0.6;0.0;
10;0.0;0.0;0.0;0.0;-1.4;-0.5;0.0;
11;0.0;0.0;0.0;0.0;-0.2;2.6;0.0;
12;4.3;-4.2;-1.1;0.2;-0.3;-2.5;-0.4;
13;30.3;-1.3;-2.7;30.1;-8.7;-6.4;0.7;
14;48.5;0.4;-3.5;48.3;-4.8;0.0;0.0;
15;30.1;2.1;-2.7;29.9;-8.5;6.4;-0.7;
16;5.1;5.0;-1.1;0.2;-0.3;2.4;0.4;
17;0.0;0.0;0.0;0.0;-0.2;-2.8;0.0;
18;0.0;0.0;0.0;0.0;-0.3;2.4;0.0;
19;4.0;-3.8;-1.3;0.2;-0.4;-2.4;-0.4;
20;28.7;-1.1;-2.8;28.6;-8.3;-6.0;0.7;
21;45.6;0.4;-3.6;45.5;-4.5;0.0;0.0;
22;28.6;2.0;-2.8;28.4;-8.1;6.1;-0.7;
23;4.8;4.6;-1.3;0.2;-0.4;2.3;0.4;
24;0.0;0.0;0.0;0.0;-0.3;-2.7;0.0;
25;0.0;0.0;0.0;0.0;-0.3;2.5;0.0;
26;4.2;-4.0;-1.3;0.2;-0.4;-2.5;-0.4;
27;29.2;-1.2;-2.9;29.0;-8.0;-6.2;0.6;
28;46.5;0.4;-3.8;46.3;-4.1;0.0;0.0;
29;29.0;2.0;-2.9;28.8;-7.8;6.2;-0.6;
30;4.9;4.7;-1.3;0.2;-0.4;2.3;0.4;
31;0.0;0.0;0.0;0.0;-0.3;-2.7;0.0;
32;0.0;0.0;0.0;0.0;-0.3;2.5;0.0;
33;4.2;-4.0;-1.4;0.2;-0.4;-2.5;-0.4;
34;29.3;-1.2;-3.0;29.1;-7.7;-6.2;0.6;
35;46.6;0.4;-4.0;46.5;-3.7;0.0;0.0;
36;29.1;2.0;-3.0;28.9;-7.5;6.2;-0.6;
37;5.0;4.8;-1.4;0.2;-0.4;2.4;0.4;
