Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Corresponding Loading
1;1;0.000;max;0.0;0.0;0.0;0.0;0.0;2.3;3.3;
1;1;0.000;min;0.0;0.0;0.0;0.0;0.0;-0.7;-4.5;
1;1;0.000;max;0.0;0.0;0.0;0.0;0.0;2.3;3.3;
1;1;0.000;min;0.0;0.0;0.0;0.0;0.0;-0.7;-4.5;
1;;1.500;max;4.0;0.0;3.9;0.8;1.9;1.0;1.4;
1;;1.500;min;5.8;0.0;-5.1;-2.8;-1.8;-0.2;-1.5;
1;;1.500;max;4.0;0.0;3.9;0.8;1.9;1.0;1.4;
1;;1.500;min;5.8;0.0;-5.1;-2.8;-1.8;-0.2;-1.5;
1;;1.738;max;4.3;0.0;4.2;0.8;2.2;0.6;0.9;
1;;1.738;min;6.1;0.0;-5.3;-3.0;-2.1;-0.1;-0.7;
1;;2.000;max;4.5;0.0;4.4;0.9;2.5;0.4;0.4;
1;;2.000;min;6.2;0.0;-5.4;-3.1;-2.4;0.0;-0.4;
1;;2.000;max;4.5;0.0;4.4;0.9;2.5;0.4;0.4;
1;;2.000;min;6.2;0.0;-5.4;-3.1;-2.4;0.0;-0.4;
1;;2.190;max;4.5;0.0;4.4;0.8;2.7;0.2;0.8;
1;;2.190;min;6.1;0.0;-5.3;-3.0;-2.6;-0.2;-0.2;
1;2;4.000;max;2.3;0.0;2.2;0.5;5.0;-0.1;3.9;
1;2;4.000;min;2.0;-0.1;-1.8;-0.8;-4.8;-2.5;-1.8;
1;2;4.000;max;2.3;0.0;2.2;0.5;5.0;-0.1;3.9;
1;2;4.000;min;2.0;-0.1;-1.8;-0.8;-4.8;-2.5;-1.8;
Extremes;1;0.000;u_x;0.0;0.0;0.0;0.0;0.0;2.3;3.3;CO1
1;2;4.000;u_x;2.0;-0.1;-1.8;-0.8;-4.8;-2.5;-1.8;CO7
1;;2.000;u_y;4.5;0.0;4.4;0.9;2.5;0.4;0.4;CO16
1;;2.000;u_y;6.2;0.0;-5.4;-3.1;-2.4;0.0;-0.4;CO12
1;;2.000;u_z;4.5;0.0;4.4;0.9;2.5;0.4;0.4;CO12
1;;2.000;u_z;6.2;0.0;-5.4;-3.1;-2.4;0.0;-0.4;CO16
1;2;4.000;φ_x;2.3;0.0;2.2;0.5;5.0;-0.1;3.9;CO12
1;2;4.000;φ_x;2.0;-0.1;-1.8;-0.8;-4.8;-2.5;-1.8;CO16
1;1;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;2.3;3.3;CO16
1;2;4.000;φ_y;2.0;-0.1;-1.8;-0.8;-4.8;-2.5;-1.8;CO6
1;2;4.000;φ_z;2.3;0.0;2.2;0.5;5.0;-0.1;3.9;CO12
1;1;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;-0.7;-4.5;CO12
Total;;;;6.2;0.0;4.4;0.9;5.0;2.3;3.9;
1;;;;0.0;-0.1;-5.4;-3.1;-4.8;-2.5;-4.5;
;;;;;;;;;;;
2;2;0.000;max;1.9;0.6;1.8;0.1;4.4;-0.1;4.6;
2;2;0.000;min;1.7;-0.5;-1.6;0.0;-2.3;-2.5;-4.6;
2;;0.825;max;6.0;0.6;5.4;2.5;16.9;-0.8;4.1;
2;;0.825;min;4.0;-0.5;-4.0;0.6;-9.3;-3.1;-3.8;
2;;0.825;max;6.0;0.6;5.4;2.5;16.9;-0.8;4.1;
2;;0.825;min;4.0;-0.5;-4.0;0.6;-9.3;-3.1;-3.8;
2;;1.005;max;6.9;0.6;6.1;3.1;19.6;-0.9;3.8;
2;;1.005;min;4.5;-0.5;-4.4;0.7;-10.9;-3.0;-3.5;
2;139;1.650;max;9.6;0.6;8.2;4.8;29.3;-0.7;2.6;
2;139;1.650;min;6.0;-0.5;-5.9;1.3;-16.3;-1.9;-1.9;
Extremes;2;0.000;u_x;1.9;0.6;1.8;0.1;4.4;-0.1;4.6;CO17
2;2;0.000;u_x;1.7;-0.5;-1.6;0.0;-2.3;-2.5;-4.6;CO15
2;139;1.650;u_y;9.6;0.6;8.2;4.8;29.3;-0.7;2.6;CO16
2;139;1.650;u_y;6.0;-0.5;-5.9;1.3;-16.3;-1.9;-1.9;CO18
2;139;1.650;u_z;9.6;0.6;8.2;4.8;29.3;-0.7;2.6;CO6
2;2;0.000;u_z;1.7;-0.5;-1.6;0.0;-2.3;-2.5;-4.6;CO10
2;139;1.650;φ_x;9.6;0.6;8.2;4.8;29.3;-0.7;2.6;CO12
2;139;1.650;φ_x;6.0;-0.5;-5.9;1.3;-16.3;-1.9;-1.9;CO11
2;2;0.000;φ_y;1.9;0.6;1.8;0.1;4.4;-0.1;4.6;CO12
2;;0.660;φ_y;3.6;-0.5;-3.5;0.4;-7.9;-3.2;-4.1;CO6
2;2;0.000;φ_z;1.9;0.6;1.8;0.1;4.4;-0.1;4.6;CO16
