Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;-1.4;-15.4;-0.2;
8;4;;0.0;0.0;0.0;0.0;0.0;-8.8;0.4;
9;5;;0.0;0.0;0.0;0.0;1.4;-15.1;0.7;
40;41;;0.0;0.0;0.0;0.0;-1.6;-16.2;-0.3;
41;42;;0.0;0.0;0.0;0.0;-0.1;-9.2;0.4;
42;43;;0.0;0.0;0.0;0.0;1.5;-16.0;0.9;
90;55;;0.0;0.0;0.0;0.0;0.0;-12.1;-18.6;
90;49;;0.0;0.0;0.0;0.0;0.0;-0.8;-17.6;
92;26;;0.1;-0.1;0.0;0.0;0.0;-4.0;-8.8;
92;33;;0.0;0.0;0.0;0.0;0.0;-2.6;-9.9;
93;57;;0.0;0.0;0.0;0.0;0.0;-16.2;-19.5;
93;50;;0.0;0.0;0.0;0.0;0.0;3.3;-16.4;
95;58;;0.0;0.0;0.0;0.0;0.0;-19.5;-21.2;
95;51;;0.0;0.0;0.0;0.0;0.0;6.5;-16.3;
97;59;;0.0;0.0;0.0;0.0;0.0;-18.0;-20.2;
97;54;;0.0;0.0;0.0;0.0;0.0;4.8;-15.8;
99;60;;0.0;0.0;0.0;0.0;0.0;-15.9;-19.6;
99;53;;0.0;0.0;0.0;0.0;0.0;2.6;-16.3;
101;83;;0.0;0.0;0.0;0.0;0.0;-12.4;-18.6;
101;55;;0.0;0.0;0.0;0.0;0.0;-0.5;-17.4;
102;64;;0.0;0.0;0.0;0.0;0.0;-0.8;-17.6;
102;69;;0.0;0.0;0.0;0.0;0.0;-12.0;-18.6;
103;37;;0.0;0.0;0.0;0.0;0.0;-2.6;-9.9;
103;30;;0.1;-0.1;0.0;0.0;0.0;-4.0;-8.8;
104;65;;0.0;0.0;0.0;0.0;0.0;3.1;-16.4;
104;71;;0.0;0.0;0.0;0.0;0.0;-16.0;-19.5;
105;66;;0.0;0.0;0.0;0.0;0.0;6.2;-16.4;
105;72;;0.0;0.0;0.0;0.0;0.0;-19.2;-21.1;
106;68;;0.0;0.0;0.0;0.0;0.0;4.6;-15.8;
106;73;;0.0;0.0;0.0;0.0;0.0;-17.8;-20.1;
107;67;;0.0;0.0;0.0;0.0;0.0;2.4;-16.4;
107;74;;0.0;0.0;0.0;0.0;0.0;-15.7;-19.6;
108;19;;0.1;-0.1;0.0;0.0;0.0;-4.0;-8.7;
108;26;;0.0;0.0;0.0;0.0;0.0;-2.6;-10.0;
119;63;;0.0;0.0;0.0;0.0;0.0;-11.0;-11.9;
119;52;;0.0;0.0;0.0;0.0;0.0;2.6;-10.3;
121;62;;0.0;0.0;0.0;0.0;0.0;2.6;-10.3;
121;76;;0.0;0.0;0.0;0.0;0.0;-11.0;-11.9;
124;84;;0.0;0.0;0.0;0.0;0.0;-16.7;-19.5;
124;57;;0.0;0.0;0.0;0.0;0.0;3.8;-16.2;
125;85;;0.0;0.0;0.0;0.0;0.0;-20.1;-20.8;
125;58;;0.0;0.0;0.0;0.0;0.0;7.1;-15.7;
126;86;;0.0;0.0;0.0;0.0;0.0;-18.9;-20.3;
126;59;;0.0;0.0;0.0;0.0;0.0;5.7;-15.5;
127;87;;0.0;0.0;0.0;0.0;0.0;-17.0;-19.8;
127;60;;0.0;0.0;0.0;0.0;0.0;3.6;-16.1;
128;69;;0.0;0.0;0.0;0.0;0.0;-0.5;-17.4;
128;95;;0.0;0.0;0.0;0.0;0.0;-12.3;-18.6;
129;30;;0.0;0.0;0.0;0.0;0.0;-2.6;-10.0;
129;23;;0.1;-0.1;0.0;0.0;0.0;-4.0;-8.7;
130;71;;0.0;0.0;0.0;0.0;0.0;3.6;-16.3;
130;96;;0.0;0.0;0.0;0.0;0.0;-16.5;-19.5;
131;72;;0.0;0.0;0.0;0.0;0.0;6.8;-15.7;
131;97;;0.0;0.0;0.0;0.0;0.0;-19.8;-20.8;
132;73;;0.0;0.0;0.0;0.0;0.0;5.5;-15.6;
132;98;;0.0;0.0;0.0;0.0;0.0;-18.7;-20.3;
133;74;;0.0;0.0;0.0;0.0;0.0;3.5;-16.1;
133;99;;0.0;0.0;0.0;0.0;0.0;-16.9;-19.8;
134;89;;0.0;0.0;0.0;0.0;0.0;-12.0;-11.9;
134;63;;0.0;0.0;0.0;0.0;0.0;3.6;-10.1;
135;76;;0.0;0.0;0.0;0.0;0.0;3.6;-10.1;
135;100;;0.0;0.0;0.0;0.0;0.0;-12.0;-12.0;
148;111;;0.0;0.0;0.0;0.0;0.0;-13.0;-18.7;
148;83;;0.0;0.0;0.0;0.0;0.0;-0.3;-17.2;
149;12;;0.4;-0.4;0.0;0.0;0.0;-3.9;-8.8;
149;19;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.8;
150;112;;0.0;0.0;0.0;0.0;0.0;-16.9;-19.6;
150;84;;0.0;0.0;0.0;0.0;0.0;3.7;-16.0;
151;113;;0.0;0.0;0.0;0.0;0.0;-20.0;-20.4;
151;85;;0.0;0.0;0.0;0.0;0.0;6.9;-15.1;
152;114;;0.0;0.0;0.0;0.0;0.0;-18.6;-20.3;
152;86;;0.0;0.0;0.0;0.0;0.0;5.4;-15.4;
153;115;;0.0;0.0;0.0;0.0;0.0;-16.4;-19.7;
153;87;;0.0;0.0;0.0;0.0;0.0;3.2;-16.0;
154;95;;0.0;0.0;0.0;0.0;0.0;-0.4;-17.2;
154;123;;0.0;0.0;0.0;0.0;0.0;-12.9;-18.7;
155;23;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.8;
155;16;;0.4;-0.4;0.0;0.0;0.0;-3.9;-8.8;
156;96;;0.0;0.0;0.0;0.0;0.0;3.6;-16.0;
156;124;;0.0;0.0;0.0;0.0;0.0;-16.8;-19.5;
157;97;;0.0;0.0;0.0;0.0;0.0;6.6;-15.2;
157;125;;0.0;0.0;0.0;0.0;0.0;-19.8;-20.4;
158;98;;0.0;0.0;0.0;0.0;0.0;5.2;-15.4;
158;126;;0.0;0.0;0.0;0.0;0.0;-18.4;-20.2;
159;99;;0.0;0.0;0.0;0.0;0.0;3.1;-16.0;
159;127;;0.0;0.0;0.0;0.0;0.0;-16.3;-19.7;
160;117;;0.0;0.0;0.0;0.0;0.0;-11.2;-11.8;
160;89;;0.0;0.0;0.0;0.0;0.0;3.0;-10.1;
161;100;;0.0;0.0;0.0;0.0;0.0;3.0;-10.1;
161;128;;0.0;0.0;0.0;0.0;0.0;-11.2;-11.8;
174;139;;0.0;0.0;0.0;0.0;0.0;-4.8;-15.0;
174;111;;0.0;0.0;0.0;0.0;0.0;1.0;-17.2;
175;2;;0.4;-0.4;0.0;0.0;0.0;-3.2;-5.8;
175;12;;0.0;0.0;0.0;0.0;0.0;-2.6;-10.5;
176;140;;0.0;0.0;0.0;0.0;0.0;-10.6;-18.2;
176;112;;0.0;0.0;0.0;0.0;0.0;6.8;-15.6;
177;141;;0.0;0.0;0.0;0.0;0.0;-23.8;-20.7;
177;113;;0.0;0.0;0.0;0.0;0.0;12.4;-13.8;
178;142;;0.0;0.0;0.0;0.0;0.0;-20.9;-20.0;
178;114;;0.0;0.0;0.0;0.0;0.0;12.3;-14.3;
179;143;;0.0;0.0;0.0;0.0;0.0;-20.0;-20.6;
179;115;;0.0;0.0;0.0;0.0;0.0;11.2;-14.8;
180;123;;0.0;0.0;0.0;0.0;0.0;1.0;-17.3;
180;151;;0.0;0.0;0.0;0.0;0.0;-4.4;-14.8;
181;16;;0.0;0.0;0.0;0.0;0.0;-2.6;-10.7;
181;6;;0.3;-0.3;0.0;0.0;0.0;-3.2;-5.7;
182;124;;0.0;0.0;0.0;0.0;0.0;6.7;-15.7;
182;152;;0.0;0.0;0.0;0.0;0.0;-10.5;-18.1;
183;125;;0.0;0.0;0.0;0.0;0.0;12.2;-14.0;
183;153;;0.0;0.0;0.0;0.0;0.0;-23.6;-20.5;
184;126;;0.0;0.0;0.0;0.0;0.0;12.2;-14.5;
184;154;;0.0;0.0;0.0;0.0;0.0;-20.9;-19.9;
185;127;;0.0;0.0;0.0;0.0;0.0;11.1;-15.0;
185;155;;0.0;0.0;0.0;0.0;0.0;-20.1;-20.4;
186;145;;0.0;0.0;0.0;0.0;0.0;-18.8;-12.8;
186;117;;0.0;0.0;0.0;0.0;0.0;11.7;-9.0;
187;128;;0.0;0.0;0.0;0.0;0.0;11.7;-9.1;
187;156;;0.0;0.0;0.0;0.0;0.0;-18.9;-12.5;
200;49;;0.0;0.0;0.0;0.0;0.0;-11.5;-18.9;
200;116;;0.0;0.0;0.0;0.0;0.0;-22.1;-23.8;
201;33;;0.0;0.0;0.0;0.0;0.0;-3.9;-9.3;
201;40;;1.0;1.0;0.0;0.0;0.0;-4.6;-13.8;
202;50;;0.0;0.0;0.0;0.0;0.0;-14.0;-19.3;
202;118;;0.0;0.0;0.0;0.0;0.0;-18.0;-19.4;
203;51;;0.0;0.0;0.0;0.0;0.0;-15.0;-21.0;
203;119;;0.0;0.0;0.0;0.0;0.0;-0.4;-17.5;
204;54;;0.0;0.0;0.0;0.0;0.0;-12.1;-19.4;
204;120;;0.0;0.0;0.0;0.0;0.0;-9.8;-19.3;
205;53;;0.0;0.0;0.0;0.0;0.0;-9.1;-18.7;
205;121;;0.0;0.0;0.0;0.0;0.0;-13.7;-18.1;
206;129;;0.0;0.0;0.0;0.0;0.0;-22.8;-23.7;
206;64;;0.0;0.0;0.0;0.0;0.0;-11.4;-19.0;
207;44;;0.8;0.8;0.0;0.0;0.0;-4.7;-13.7;
207;37;;0.0;0.0;0.0;0.0;0.0;-3.9;-9.4;
208;130;;0.0;0.0;0.0;0.0;0.0;-18.2;-19.3;
208;65;;0.0;0.0;0.0;0.0;0.0;-13.8;-19.4;
209;131;;0.0;0.0;0.0;0.0;0.0;-0.6;-17.4;
209;66;;0.0;0.0;0.0;0.0;0.0;-14.6;-21.0;
210;132;;0.0;0.0;0.0;0.0;0.0;-9.8;-19.2;
210;68;;0.0;0.0;0.0;0.0;0.0;-11.9;-19.4;
211;133;;0.0;0.0;0.0;0.0;0.0;-13.5;-17.9;
211;67;;0.0;0.0;0.0;0.0;0.0;-8.9;-18.7;
212;52;;0.0;0.0;0.0;0.0;0.0;-3.5;-11.0;
212;122;;0.0;0.0;0.0;0.0;0.0;-5.8;-11.0;
213;134;;0.0;0.0;0.0;0.0;0.0;-5.7;-11.0;
213;62;;0.0;0.0;0.0;0.0;0.0;-3.5;-11.1;
Total;;;1.0;1.0;0.0;0.0;1.5;12.4;0.9;
max/min;;;0.0;-0.4;0.0;0.0;-1.6;-23.8;-23.8;
