Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;-0.9;-9.3;-0.7;
8;4;;0.0;0.0;0.0;0.0;0.0;-5.1;-0.1;
9;5;;0.0;0.0;0.0;0.0;0.9;-9.1;0.4;
40;41;;0.0;0.0;0.0;0.0;-1.0;-9.8;-0.8;
41;42;;0.0;0.0;0.0;0.0;0.0;-5.4;-0.1;
42;43;;0.0;0.0;0.0;0.0;0.9;-9.7;0.5;
90;55;;0.0;0.0;0.0;0.0;0.0;-13.1;-27.1;
90;49;;0.0;0.0;0.0;0.0;0.0;-5.7;-26.4;
92;26;;0.1;-0.1;0.0;0.0;0.0;-5.6;-13.4;
92;33;;0.0;0.0;0.0;0.0;0.0;-4.1;-14.0;
93;57;;0.0;0.0;0.0;0.0;0.0;-15.6;-27.6;
93;50;;0.0;0.0;0.0;0.0;0.0;-3.3;-25.6;
95;58;;0.0;0.0;0.0;0.0;0.0;-17.5;-28.8;
95;51;;0.0;0.0;0.0;0.0;0.0;-1.5;-25.8;
97;59;;0.0;0.0;0.0;0.0;0.0;-16.5;-28.0;
97;54;;0.0;0.0;0.0;0.0;0.0;-2.6;-25.3;
99;60;;0.0;0.0;0.0;0.0;0.0;-15.2;-27.6;
99;53;;0.0;0.0;0.0;0.0;0.0;-3.9;-25.6;
101;83;;0.0;0.0;0.0;0.0;0.0;-13.3;-27.1;
101;55;;0.0;0.0;0.0;0.0;0.0;-5.6;-26.2;
102;64;;0.0;0.0;0.0;0.0;0.0;-5.8;-26.4;
102;69;;0.0;0.0;0.0;0.0;0.0;-13.1;-27.1;
103;37;;0.0;0.0;0.0;0.0;0.0;-4.1;-14.0;
103;30;;0.0;0.0;0.0;0.0;0.0;-5.6;-13.4;
104;65;;0.0;0.0;0.0;0.0;0.0;-3.4;-25.7;
104;71;;0.0;0.0;0.0;0.0;0.0;-15.5;-27.6;
105;66;;0.0;0.0;0.0;0.0;0.0;-1.7;-25.8;
105;72;;0.0;0.0;0.0;0.0;0.0;-17.3;-28.8;
106;68;;0.0;0.0;0.0;0.0;0.0;-2.7;-25.3;
106;73;;0.0;0.0;0.0;0.0;0.0;-16.4;-28.0;
107;67;;0.0;0.0;0.0;0.0;0.0;-4.0;-25.6;
107;74;;0.0;0.0;0.0;0.0;0.0;-15.1;-27.6;
108;19;;0.0;0.0;0.0;0.0;0.0;-5.6;-13.4;
108;26;;0.0;0.0;0.0;0.0;0.0;-4.1;-14.0;
119;63;;0.0;0.0;0.0;0.0;0.0;-10.0;-16.7;
119;52;;0.0;0.0;0.0;0.0;0.0;-1.7;-15.7;
121;62;;0.0;0.0;0.0;0.0;0.0;-1.7;-15.7;
121;76;;0.0;0.0;0.0;0.0;0.0;-10.0;-16.7;
124;84;;0.0;0.0;0.0;0.0;0.0;-15.8;-27.6;
124;57;;0.0;0.0;0.0;0.0;0.0;-3.1;-25.5;
125;85;;0.0;0.0;0.0;0.0;0.0;-17.8;-28.5;
125;58;;0.0;0.0;0.0;0.0;0.0;-1.2;-25.3;
126;86;;0.0;0.0;0.0;0.0;0.0;-17.0;-28.1;
126;59;;0.0;0.0;0.0;0.0;0.0;-2.1;-25.1;
127;87;;0.0;0.0;0.0;0.0;0.0;-15.8;-27.7;
127;60;;0.0;0.0;0.0;0.0;0.0;-3.4;-25.5;
128;69;;0.0;0.0;0.0;0.0;0.0;-5.6;-26.3;
128;95;;0.0;0.0;0.0;0.0;0.0;-13.2;-27.1;
129;30;;0.0;0.0;0.0;0.0;0.0;-4.1;-14.0;
129;23;;0.0;0.0;0.0;0.0;0.0;-5.6;-13.4;
130;71;;0.0;0.0;0.0;0.0;0.0;-3.2;-25.5;
130;96;;0.0;0.0;0.0;0.0;0.0;-15.7;-27.6;
131;72;;0.0;0.0;0.0;0.0;0.0;-1.3;-25.3;
131;97;;0.0;0.0;0.0;0.0;0.0;-17.6;-28.4;
132;73;;0.0;0.0;0.0;0.0;0.0;-2.2;-25.1;
132;98;;0.0;0.0;0.0;0.0;0.0;-16.9;-28.0;
133;74;;0.0;0.0;0.0;0.0;0.0;-3.5;-25.5;
133;99;;0.0;0.0;0.0;0.0;0.0;-15.7;-27.7;
134;89;;0.0;0.0;0.0;0.0;0.0;-10.6;-16.7;
134;63;;0.0;0.0;0.0;0.0;0.0;-1.2;-15.6;
135;76;;0.0;0.0;0.0;0.0;0.0;-1.2;-15.6;
135;100;;0.0;0.0;0.0;0.0;0.0;-10.5;-16.7;
148;111;;0.0;0.0;0.0;0.0;0.0;-13.6;-27.1;
148;83;;0.0;0.0;0.0;0.0;0.0;-5.5;-26.1;
149;12;;0.2;-0.2;0.0;0.0;0.0;-5.6;-13.5;
149;19;;0.0;0.0;0.0;0.0;0.0;-4.1;-13.9;
150;112;;0.0;0.0;0.0;0.0;0.0;-16.0;-27.6;
150;84;;0.0;0.0;0.0;0.0;0.0;-3.1;-25.4;
151;113;;0.0;0.0;0.0;0.0;0.0;-17.8;-28.1;
151;85;;0.0;0.0;0.0;0.0;0.0;-1.3;-24.8;
152;114;;0.0;0.0;0.0;0.0;0.0;-16.9;-28.0;
152;86;;0.0;0.0;0.0;0.0;0.0;-2.2;-25.0;
153;115;;0.0;0.0;0.0;0.0;0.0;-15.5;-27.7;
153;87;;0.0;0.0;0.0;0.0;0.0;-3.5;-25.4;
154;95;;0.0;0.0;0.0;0.0;0.0;-5.5;-26.1;
154;123;;0.0;0.0;0.0;0.0;0.0;-13.6;-27.1;
155;23;;0.0;0.0;0.0;0.0;0.0;-4.1;-13.9;
155;16;;0.2;-0.2;0.0;0.0;0.0;-5.6;-13.5;
156;96;;0.0;0.0;0.0;0.0;0.0;-3.2;-25.4;
156;124;;0.0;0.0;0.0;0.0;0.0;-15.9;-27.6;
157;97;;0.0;0.0;0.0;0.0;0.0;-1.4;-24.9;
157;125;;0.0;0.0;0.0;0.0;0.0;-17.7;-28.1;
158;98;;0.0;0.0;0.0;0.0;0.0;-2.3;-25.0;
158;126;;0.0;0.0;0.0;0.0;0.0;-16.8;-28.0;
159;99;;0.0;0.0;0.0;0.0;0.0;-3.6;-25.4;
159;127;;0.0;0.0;0.0;0.0;0.0;-15.4;-27.7;
160;117;;0.0;0.0;0.0;0.0;0.0;-10.1;-16.6;
160;89;;0.0;0.0;0.0;0.0;0.0;-1.5;-15.5;
161;100;;0.0;0.0;0.0;0.0;0.0;-1.5;-15.5;
161;128;;0.0;0.0;0.0;0.0;0.0;-10.1;-16.6;
174;139;;0.0;0.0;0.0;0.0;0.0;-9.0;-24.6;
174;111;;0.0;0.0;0.0;0.0;0.0;-4.4;-26.3;
175;2;;0.4;-0.4;0.0;0.0;0.0;-5.0;-11.1;
175;12;;0.0;0.0;0.0;0.0;0.0;-4.0;-14.8;
176;140;;0.0;0.0;0.0;0.0;0.0;-13.6;-26.9;
176;112;;0.0;0.0;0.0;0.0;0.0;0.2;-25.0;
177;141;;0.0;0.0;0.0;0.0;0.0;-23.2;-28.5;
177;113;;0.0;0.0;0.0;0.0;0.0;5.2;-23.5;
178;142;;0.0;0.0;0.0;0.0;0.0;-22.3;-28.3;
178;114;;0.0;0.0;0.0;0.0;0.0;5.9;-23.9;
179;143;;0.0;0.0;0.0;0.0;0.0;-22.3;-28.7;
179;115;;0.0;0.0;0.0;0.0;0.0;5.8;-24.1;
180;123;;0.0;0.0;0.0;0.0;0.0;-4.4;-26.3;
180;151;;0.0;0.0;0.0;0.0;0.0;-8.8;-24.5;
181;16;;0.0;0.0;0.0;0.0;0.0;-4.0;-14.8;
181;6;;0.3;-0.3;0.0;0.0;0.0;-4.9;-11.1;
182;124;;0.0;0.0;0.0;0.0;0.0;0.2;-25.0;
182;152;;0.0;0.0;0.0;0.0;0.0;-13.6;-26.9;
183;125;;0.0;0.0;0.0;0.0;0.0;5.1;-23.6;
183;153;;0.0;0.0;0.0;0.0;0.0;-23.1;-28.5;
184;126;;0.0;0.0;0.0;0.0;0.0;5.8;-23.9;
184;154;;0.0;0.0;0.0;0.0;0.0;-22.3;-28.3;
185;127;;0.0;0.0;0.0;0.0;0.0;5.8;-24.2;
185;155;;0.0;0.0;0.0;0.0;0.0;-22.4;-28.7;
186;145;;0.0;0.0;0.0;0.0;0.0;-19.9;-17.7;
186;117;;0.0;0.0;0.0;0.0;0.0;8.9;-14.3;
187;128;;0.0;0.0;0.0;0.0;0.0;8.9;-14.3;
187;156;;0.0;0.0;0.0;0.0;0.0;-19.9;-17.6;
200;49;;0.0;0.0;0.0;0.0;0.0;-12.5;-27.6;
200;116;;0.0;0.0;0.0;0.0;0.0;-18.8;-29.9;
201;33;;0.0;0.0;0.0;0.0;0.0;-5.5;-14.2;
201;40;;0.7;0.7;0.0;0.0;0.0;-5.6;-15.9;
202;50;;0.0;0.0;0.0;0.0;0.0;-12.8;-27.4;
202;118;;0.0;0.0;0.0;0.0;0.0;-17.6;-27.6;
203;51;;0.0;0.0;0.0;0.0;0.0;-11.7;-28.5;
203;119;;0.0;0.0;0.0;0.0;0.0;-8.7;-27.0;
204;54;;0.0;0.0;0.0;0.0;0.0;-9.1;-27.1;
204;120;;0.0;0.0;0.0;0.0;0.0;-15.2;-27.8;
205;53;;0.0;0.0;0.0;0.0;0.0;-6.6;-26.5;
205;121;;0.0;0.0;0.0;0.0;0.0;-18.2;-27.2;
206;129;;0.0;0.0;0.0;0.0;0.0;-19.3;-29.9;
206;64;;0.0;0.0;0.0;0.0;0.0;-12.4;-27.6;
207;44;;0.5;0.5;0.0;0.0;0.0;-5.6;-15.9;
207;37;;0.0;0.0;0.0;0.0;0.0;-5.5;-14.2;
208;130;;0.0;0.0;0.0;0.0;0.0;-17.8;-27.5;
208;65;;0.0;0.0;0.0;0.0;0.0;-12.6;-27.4;
209;131;;0.0;0.0;0.0;0.0;0.0;-8.9;-27.0;
209;66;;0.0;0.0;0.0;0.0;0.0;-11.4;-28.4;
210;132;;0.0;0.0;0.0;0.0;0.0;-15.3;-27.8;
210;68;;0.0;0.0;0.0;0.0;0.0;-8.9;-27.1;
211;133;;0.0;0.0;0.0;0.0;0.0;-18.1;-27.2;
211;67;;0.0;0.0;0.0;0.0;0.0;-6.4;-26.5;
212;52;;0.0;0.0;0.0;0.0;0.0;-0.4;-15.6;
212;122;;0.0;0.0;0.0;0.0;0.0;-11.9;-16.7;
213;134;;0.0;0.0;0.0;0.0;0.0;-11.9;-16.7;
213;62;;0.0;0.0;0.0;0.0;0.0;-0.4;-15.6;
Total;;;0.7;0.7;0.0;0.0;0.9;8.9;0.5;
max/min;;;0.0;-0.4;0.0;0.0;-1.0;-23.2;-29.9;
