Node No.;;Reference;Coordinate;Coordinate;Coordinates;;;Global Coordinates;;;;
;Node Type;Node;System;Type;X [m];Y [m];Z [m];X [m];Y [m];Z [m];Options;Comment
69;Standard;--;1 - Global XYZ;Cartesian;18.358189;15;-4.164181;18.358189;15;-4.164181;;
70;;;;;;;;;;;;
71;Standard;--;1 - Global XYZ;Cartesian;16.716376999999998;15;-4.328363000000001;16.716376999999998;15;-4.328363000000001;;
72;Standard;--;1 - Global XYZ;Cartesian;15.074566;15;-4.492544000000001;15.074566;15;-4.492544000000001;;
73;Standard;--;1 - Global XYZ;Cartesian;13.432877999999999;15;-4.656713000000002;13.432877999999999;15;-4.656713000000002;;
74;Standard;--;1 - Global XYZ;Cartesian;11.791067;15;-4.820895000000002;11.791067;15;-4.820895000000002;;
75;;;;;;;;;;;;
76;Standard;--;1 - Global XYZ;Cartesian;10.149256;15;-4.985077000000002;10.149256;15;-4.985077000000002;;
77;;;;;;;;;;;;
78;;;;;;;;;;;;
79;;;;;;;;;;;;
80;;;;;;;;;;;;
81;;;;;;;;;;;;
82;;;;;;;;;;;;
83;Standard;--;1 - Global XYZ;Cartesian;1.641811;10;-4.164181;1.641811;10;-4.164181;;
84;Standard;--;1 - Global XYZ;Cartesian;3.283623;10;-4.328363000000001;3.283623;10;-4.328363000000001;;
85;Standard;--;1 - Global XYZ;Cartesian;4.925434;10;-4.492544000000001;4.925434;10;-4.492544000000001;;
86;Standard;--;1 - Global XYZ;Cartesian;6.567122;10;-4.656713000000002;6.567122;10;-4.656713000000002;;
87;Standard;--;1 - Global XYZ;Cartesian;8.208933;10;-4.820895000000002;8.208933;10;-4.820895000000002;;
88;;;;;;;;;;;;
89;Standard;--;1 - Global XYZ;Cartesian;9.850744;10;-4.985077000000002;9.850744;10;-4.985077000000002;;
90;;;;;;;;;;;;
91;;;;;;;;;;;;
92;;;;;;;;;;;;
93;;;;;;;;;;;;
94;;;;;;;;;;;;
95;Standard;--;1 - Global XYZ;Cartesian;18.358189;10;-4.164181;18.358189;10;-4.164181;;
96;Standard;--;1 - Global XYZ;Cartesian;16.716376999999998;10;-4.328363000000001;16.716376999999998;10;-4.328363000000001;;
97;Standard;--;1 - Global XYZ;Cartesian;15.074566;10;-4.492544000000001;15.074566;10;-4.492544000000001;;
