Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.22;-2.15;8.93;0.00;0.00;-0.01;
7;;-2.07;-4.88;9.58;0.00;0.00;0.01;
8;;-0.10;-4.92;23.24;0.00;0.00;0.00;
9;;-5.32;-7.13;12.14;0.00;0.00;0.00;
10;;-0.07;-7.87;17.34;0.00;0.00;0.00;
11;;-53.92;1.01;75.51;0.00;0.00;0.00;
17;;34.42;1.32;71.35;0.00;0.00;0.00;
18;;-53.97;-1.02;75.57;0.00;0.00;0.00;
24;;34.48;-1.31;71.44;0.00;0.00;0.00;
25;;-53.09;0.00;73.64;0.00;0.00;0.00;
31;;33.58;0.00;69.49;0.00;0.00;0.00;
32;;-53.03;0.00;73.58;0.00;0.00;0.00;
38;;33.54;0.00;69.42;0.00;0.00;0.00;
39;;-2.22;2.15;8.93;0.00;0.00;0.01;
45;;-2.07;4.88;9.58;0.00;0.00;-0.01;
46;;-0.10;4.91;23.24;0.00;0.00;0.00;
47;;-5.32;7.12;12.14;0.00;0.00;0.00;
48;;-0.07;7.86;17.34;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;34.48;-1.31;71.44;0.00;0.00;0.00;
18;P_x;-53.97;-1.02;75.57;0.00;0.00;0.00;
48;P_y;-0.07;7.86;17.34;0.00;0.00;0.00;
10;P_y;-0.07;-7.87;17.34;0.00;0.00;0.00;
18;P_z;-53.97;-1.02;75.57;0.00;0.00;0.00;
39;P_z;-2.22;2.15;8.93;0.00;0.00;0.01;
1;M_x;-2.22;-2.15;8.93;0.00;0.00;-0.01;
1;M_x;-2.22;-2.15;8.93;0.00;0.00;-0.01;
1;M_y;-2.22;-2.15;8.93;0.00;0.00;-0.01;
1;M_y;-2.22;-2.15;8.93;0.00;0.00;-0.01;
7;M_z;-2.07;-4.88;9.58;0.00;0.00;0.01;
45;M_z;-2.07;4.88;9.58;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;-97.55;0.00;722.46;Loads;;;
Σ;;-97.55;0.00;722.46;Support Forces;;;
