Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-2.9;-0.2;0.0;
2;0.2;0.2;-0.1;0.0;2.6;-0.5;-3.3;
3;0.4;0.3;-0.1;0.1;-1.3;0.2;0.6;
4;0.3;0.3;-0.1;0.1;0.0;-0.1;0.4;
5;0.3;0.3;0.0;0.1;-0.8;-0.1;-0.3;
6;0.5;0.5;0.0;0.0;1.1;1.1;1.7;
7;0.0;0.0;0.0;0.0;-1.2;-0.9;0.0;
8;0.0;0.0;0.0;0.0;-2.2;-0.1;0.0;
9;0.0;0.0;0.0;0.0;-2.4;-0.1;0.0;
10;0.0;0.0;0.0;0.0;-1.3;-0.1;0.0;
11;0.0;0.0;0.0;0.0;0.2;0.5;0.0;
12;0.7;0.7;0.0;0.1;-0.2;-1.7;0.0;
13;16.1;2.2;0.0;16.0;0.1;-3.2;0.0;
14;24.3;3.0;0.1;24.1;0.3;0.3;0.0;
15;14.6;3.9;0.1;14.1;0.0;3.3;0.0;
16;5.2;5.2;0.0;0.1;-0.2;0.7;0.0;
17;0.0;0.0;0.0;0.0;0.2;-2.2;0.0;
18;0.0;0.0;0.0;0.0;0.2;0.5;0.0;
19;0.7;0.7;0.0;0.1;-0.2;-1.7;0.0;
20;16.2;2.2;0.1;16.0;0.1;-3.2;0.0;
21;24.3;3.0;0.1;24.2;0.2;0.3;0.0;
22;14.6;3.9;0.1;14.1;0.1;3.3;0.0;
23;5.2;5.2;0.0;0.1;-0.2;0.7;0.0;
24;0.0;0.0;0.0;0.0;0.2;-2.2;0.0;
25;0.0;0.0;0.0;0.0;0.2;0.4;0.0;
26;0.8;0.8;0.2;0.1;-0.2;-1.7;0.0;
27;15.8;2.2;0.2;15.7;-0.1;-3.1;0.0;
28;23.8;3.0;0.2;23.6;-0.1;0.3;0.0;
29;14.3;3.9;0.2;13.8;-0.1;3.2;0.0;
30;5.2;5.2;0.1;0.1;-0.2;0.7;0.0;
31;0.0;0.0;0.0;0.0;0.2;-2.2;0.0;
32;0.0;0.0;0.0;0.0;0.3;0.4;0.0;
33;0.8;0.7;0.3;0.1;-0.1;-1.7;0.0;
34;15.8;2.2;0.4;15.7;-0.4;-3.1;0.1;
35;23.8;3.0;0.3;23.6;-0.4;0.2;0.0;
36;14.3;3.9;0.2;13.8;-0.3;3.2;-0.1;
37;5.2;5.2;0.1;0.1;-0.2;0.7;0.0;
38;0.0;0.0;0.0;0.0;0.2;-2.2;0.0;
39;0.0;0.0;0.0;0.0;3.2;-0.2;0.0;
40;0.4;0.2;0.3;0.0;-2.7;-0.5;3.3;
