Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;-0.6;-6.1;-0.5;
8;4;;0.0;0.0;0.0;0.0;0.0;-3.3;0.0;
9;5;;0.0;0.0;0.0;0.0;0.6;-6.1;0.3;
40;41;;0.0;0.0;0.0;0.0;-0.7;-6.5;-0.6;
41;42;;0.0;0.0;0.0;0.0;0.0;-3.5;0.0;
42;43;;0.0;0.0;0.0;0.0;0.6;-6.4;0.3;
90;55;;0.0;0.0;0.0;0.0;0.0;-9.0;-18.7;
90;49;;0.0;0.0;0.0;0.0;0.0;-4.1;-18.2;
92;26;;0.0;0.0;0.0;0.0;0.0;-3.8;-9.3;
92;33;;0.0;0.0;0.0;0.0;0.0;-2.9;-9.7;
93;57;;0.0;0.0;0.0;0.0;0.0;-10.6;-19.1;
93;50;;0.0;0.0;0.0;0.0;0.0;-2.5;-17.7;
95;58;;0.0;0.0;0.0;0.0;0.0;-11.8;-19.7;
95;51;;0.0;0.0;0.0;0.0;0.0;-1.3;-17.7;
97;59;;0.0;0.0;0.0;0.0;0.0;-11.2;-19.3;
97;54;;0.0;0.0;0.0;0.0;0.0;-2.0;-17.5;
99;60;;0.0;0.0;0.0;0.0;0.0;-10.3;-19.1;
99;53;;0.0;0.0;0.0;0.0;0.0;-3.0;-17.7;
101;83;;0.0;0.0;0.0;0.0;0.0;-9.1;-18.7;
101;55;;0.0;0.0;0.0;0.0;0.0;-4.0;-18.1;
102;64;;0.0;0.0;0.0;0.0;0.0;-4.1;-18.2;
102;69;;0.0;0.0;0.0;0.0;0.0;-8.9;-18.7;
103;37;;0.0;0.0;0.0;0.0;0.0;-2.9;-9.7;
103;30;;0.0;0.0;0.0;0.0;0.0;-3.8;-9.3;
104;65;;0.0;0.0;0.0;0.0;0.0;-2.6;-17.7;
104;71;;0.0;0.0;0.0;0.0;0.0;-10.5;-19.1;
105;66;;0.0;0.0;0.0;0.0;0.0;-1.4;-17.7;
105;72;;0.0;0.0;0.0;0.0;0.0;-11.7;-19.7;
106;68;;0.0;0.0;0.0;0.0;0.0;-2.1;-17.5;
106;73;;0.0;0.0;0.0;0.0;0.0;-11.1;-19.3;
107;67;;0.0;0.0;0.0;0.0;0.0;-3.0;-17.7;
107;74;;0.0;0.0;0.0;0.0;0.0;-10.2;-19.1;
108;19;;0.0;0.0;0.0;0.0;0.0;-3.8;-9.3;
108;26;;0.0;0.0;0.0;0.0;0.0;-2.9;-9.7;
119;63;;0.0;0.0;0.0;0.0;0.0;-6.7;-11.5;
119;52;;0.0;0.0;0.0;0.0;0.0;-1.4;-10.9;
121;62;;0.0;0.0;0.0;0.0;0.0;-1.4;-10.9;
121;76;;0.0;0.0;0.0;0.0;0.0;-6.7;-11.5;
124;84;;0.0;0.0;0.0;0.0;0.0;-10.7;-19.1;
124;57;;0.0;0.0;0.0;0.0;0.0;-2.3;-17.7;
125;85;;0.0;0.0;0.0;0.0;0.0;-12.0;-19.6;
125;58;;0.0;0.0;0.0;0.0;0.0;-1.1;-17.5;
126;86;;0.0;0.0;0.0;0.0;0.0;-11.5;-19.4;
126;59;;0.0;0.0;0.0;0.0;0.0;-1.7;-17.4;
127;87;;0.0;0.0;0.0;0.0;0.0;-10.7;-19.1;
