Support. No.;;;Transl. Support/Spring [kN/m^2 ];;;Shear Support/Spring [kN];;;Rotat. Restraint/Spring;;;
;Assigned to Members No.;Assigned to Member Sets No.;C_u,x;C_u,y;C_u,z;C_s,x;C_s,y;C_s,z;C_Φ,x [kNm·rad^-1 ·m^-1 ];Nonlinearity / Fictitious Stiffness;Options;Comment
