Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
1;1;0.000;;-0.02;-0.01;0.01;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-0.02;-0.01;0.01;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-0.01;0.00;-0.02;0.7;-0.1;1.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-0.01;0.00;-0.02;0.7;-0.1;1.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-0.01;0.00;-0.02;0.7;-0.2;1.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.190;;-0.01;0.00;-0.03;0.6;-0.4;1.8;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;ε_x;-0.01;0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;ε_x;-0.02;-0.01;0.01;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xy;-0.01;0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xy;-0.02;-0.01;0.01;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xz;-0.02;-0.01;0.01;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xz;-0.01;0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;κ_x;-0.02;-0.01;0.01;0.7;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_x;-0.01;0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;;0.500;κ_y;-0.02;-0.01;0.00;0.7;0.0;0.9;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_y;-0.01;0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;κ_z;-0.01;0.00;-0.02;0.7;-0.2;1.9;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_z;-0.01;0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-0.01;0.01;0.01;0.7;0.0;1.9;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-0.02;-0.01;-0.04;-0.5;-1.5;-0.1;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-0.01;-0.01;0.14;11.5;-2.8;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;-0.01;-0.01;0.13;9.5;-0.2;1.1;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.825;;-0.01;-0.01;0.13;9.5;-0.2;1.1;Beam | 3 - HEA 140 | L : 1.650 m
2;;1.005;;-0.01;0.00;0.13;9.2;0.4;1.3;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-0.01;0.00;0.13;8.5;2.3;1.6;Beam | 3 - HEA 140 | L : 1.650 m
