Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-76.57;1.07;-46.97;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-76.57;1.07;-46.97;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-75.24;0.28;-45.47;0.01;-69.35;-1.01;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-75.24;0.27;-45.47;0.01;-69.35;-1.01;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-73.11;-1.00;-44.02;0.09;-180.76;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-73.11;-1.00;-44.02;0.09;-180.76;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-48.68;-0.15;56.40;-0.06;-180.93;-0.10;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-48.41;-0.28;55.02;-0.08;-88.99;-0.06;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-38.21;0.00;24.86;0.02;45.36;0.48;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-38.10;0.03;23.40;0.02;83.37;0.42;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-35.55;-0.29;2.95;-0.04;110.87;-0.39;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-35.57;-0.29;2.81;-0.04;111.30;-0.33;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-45.55;-0.09;-25.44;-0.02;45.56;0.48;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-45.56;-0.09;-25.51;-0.02;43.65;0.49;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-76.29;1.06;46.97;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-76.29;1.06;46.97;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-74.95;0.28;45.47;-0.01;69.35;-1.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-74.95;0.27;45.47;-0.01;69.35;-1.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-72.82;-1.00;44.02;-0.09;180.76;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-72.82;-1.00;44.02;-0.09;180.76;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-67.83;0.94;-44.83;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-67.83;0.94;-44.83;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-66.49;0.24;-43.33;0.01;-66.15;-0.89;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-66.49;0.24;-43.33;0.01;-66.15;-0.89;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-64.35;-0.88;-41.92;0.08;-172.26;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-64.35;-0.88;-41.92;0.08;-172.26;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-53.66;-0.13;54.59;-0.05;-172.42;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-53.40;-0.24;53.21;-0.07;-83.47;-0.06;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-53.74;0.02;23.05;0.02;44.76;0.47;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-53.62;0.04;21.58;0.02;79.92;0.39;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-51.07;-0.27;4.81;-0.04;101.06;-0.39;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-51.09;-0.27;4.67;-0.04;101.77;-0.34;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-50.55;-0.10;-23.63;-0.02;44.97;0.47;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-50.55;-0.10;-23.70;-0.02;43.19;0.48;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-67.56;0.94;44.83;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-67.56;0.94;44.83;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-66.23;0.24;43.33;-0.01;66.14;-0.89;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-66.23;0.24;43.33;-0.01;66.14;-0.89;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-64.08;-0.88;41.92;-0.08;172.25;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-64.08;-0.88;41.92;-0.08;172.25;-0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-67.58;0.94;-45.82;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-67.58;0.94;-45.82;0.00;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-66.24;0.24;-43.88;0.01;-67.29;-0.88;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-66.24;0.24;-43.88;0.01;-67.29;-0.88;Beam | 1 - IPE 500 | L : 4.000 m
