Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Corresponding Loading
3;142;1.575;κ_y;0.01;0.01;0.15;8.6;1.4;0.6;CO7
3;3;0.000;κ_y;-0.01;-0.02;0.06;-8.2;-4.3;-3.5;CO5
3;3;0.000;κ_z;0.01;0.01;0.16;8.6;-1.5;2.5;CO16
3;3;0.000;κ_z;-0.01;-0.02;0.06;-8.2;-4.3;-3.5;CO17
Total;;;;0.01;0.01;0.16;9.1;1.4;2.5;
3;;;;-0.01;-0.02;0.05;-8.5;-4.3;-3.5;
;;;;;;;;;;
4;4;0.000;max;0.01;0.01;0.21;16.3;-1.3;3.0;
4;4;0.000;min;-0.01;-0.01;0.08;-11.1;-3.7;-2.1;
4;;0.075;max;0.01;0.01;0.21;16.3;-1.1;2.8;
4;;0.075;min;-0.01;-0.01;0.08;-11.2;-3.3;-1.9;
4;;0.075;max;0.01;0.01;0.21;16.3;-1.1;2.8;
4;;0.075;min;-0.01;-0.01;0.08;-11.2;-3.3;-1.9;
4;156;0.150;max;0.01;0.01;0.21;16.3;-1.0;2.7;
4;156;0.150;min;-0.01;-0.01;0.08;-11.2;-3.0;-1.8;
Extremes;4;0.000;ε_x;0.01;0.01;0.21;16.3;-1.3;3.0;CO11
4;156;0.150;ε_x;-0.01;-0.01;0.08;-11.2;-3.0;-1.8;CO15
4;4;0.000;γ_xy;0.01;0.01;0.21;16.3;-1.3;3.0;CO16
4;4;0.000;γ_xy;-0.01;-0.01;0.08;-11.1;-3.7;-2.1;CO10
4;4;0.000;γ_xz;0.01;0.01;0.21;16.3;-1.3;3.0;CO7
4;156;0.150;γ_xz;-0.01;-0.01;0.08;-11.2;-3.0;-1.8;CO11
4;;0.131;κ_x;0.01;0.01;0.21;16.3;-1.0;2.7;CO15
4;156;0.150;κ_x;-0.01;-0.01;0.08;-11.2;-3.0;-1.8;CO11
4;156;0.150;κ_y;0.01;0.01;0.21;16.3;-1.0;2.7;CO12
4;4;0.000;κ_y;-0.01;-0.01;0.08;-11.1;-3.7;-2.1;CO5
4;4;0.000;κ_z;0.01;0.01;0.21;16.3;-1.3;3.0;CO16
4;4;0.000;κ_z;-0.01;-0.01;0.08;-11.1;-3.7;-2.1;CO10
Total;;;;0.01;0.01;0.21;16.3;-1.0;3.0;
4;;;;-0.01;-0.01;0.08;-11.2;-3.7;-2.1;
;;;;;;;;;;
5;5;0.000;max;0.01;0.00;0.29;75.2;-1.6;2.6;
5;5;0.000;min;-0.01;0.00;0.10;-58.5;-4.4;-3.6;
5;;0.037;max;0.01;0.00;0.28;75.3;-1.5;2.5;
5;;0.037;min;-0.01;0.00;0.10;-58.5;-4.2;-3.6;
5;;0.037;max;0.01;0.00;0.28;75.3;-1.5;2.5;
5;;0.037;min;-0.01;0.00;0.10;-58.5;-4.2;-3.6;
5;153;0.075;max;0.01;0.00;0.28;75.3;-1.5;2.5;
5;153;0.075;min;-0.01;0.00;0.10;-58.6;-3.9;-3.5;
Extremes;5;0.000;ε_x;0.01;0.00;0.29;75.2;-1.6;2.6;CO16
5;153;0.075;ε_x;-0.01;0.00;0.10;-58.6;-3.9;-3.5;CO10
5;5;0.000;γ_xy;0.01;0.00;0.29;75.2;-1.6;2.6;CO16
5;5;0.000;γ_xy;-0.01;0.00;0.10;-58.5;-4.4;-3.6;CO15
5;5;0.000;γ_xz;0.01;0.00;0.29;75.2;-1.6;2.6;CO6
5;153;0.075;γ_xz;-0.01;0.00;0.10;-58.6;-3.9;-3.5;CO10
5;153;0.075;κ_x;0.01;0.00;0.28;75.3;-1.5;2.5;CO15
5;153;0.075;κ_x;-0.01;0.00;0.10;-58.6;-3.9;-3.5;CO16
5;153;0.075;κ_y;0.01;0.00;0.28;75.3;-1.5;2.5;CO10
5;5;0.000;κ_y;-0.01;0.00;0.10;-58.5;-4.4;-3.6;CO6
5;5;0.000;κ_z;0.01;0.00;0.29;75.2;-1.6;2.6;CO16
5;5;0.000;κ_z;-0.01;0.00;0.10;-58.5;-4.4;-3.6;CO15
Total;;;;0.01;0.00;0.29;75.3;-1.5;2.6;
5;;;;-0.01;0.00;0.10;-58.6;-4.4;-3.6;
;;;;;;;;;;
6;7;0.000;max;-0.01;0.02;0.09;1.2;0.0;0.0;
6;7;0.000;min;-0.02;-0.03;-0.04;-1.3;0.0;0.0;
6;7;0.000;max;-0.01;0.02;0.09;1.2;0.0;0.0;
6;7;0.000;min;-0.02;-0.03;-0.04;-1.3;0.0;0.0;
6;;1.500;max;-0.01;0.00;0.03;1.7;1.5;3.3;
6;;1.500;min;-0.01;0.00;0.00;-1.1;-0.5;-2.0;
