Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;-0.9;-5.0;-0.3;
8;4;;0.0;0.0;0.0;0.0;-0.6;-3.3;0.2;
9;5;;0.0;0.0;0.0;0.0;0.5;-3.0;0.0;
40;41;;0.0;0.0;0.0;0.0;0.8;4.6;-0.3;
41;42;;0.0;0.0;0.0;0.0;0.6;3.3;0.2;
42;43;;0.0;0.0;0.0;0.0;-0.4;2.8;0.0;
90;55;;0.0;0.0;0.0;0.0;0.0;-3.5;-9.3;
90;49;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.1;
92;26;;0.2;0.2;0.0;0.0;0.0;-1.9;-5.0;
92;33;;0.0;0.0;0.0;0.0;0.0;-1.7;-5.0;
93;57;;0.0;0.0;0.0;0.0;0.0;-3.5;-9.4;
93;50;;0.0;0.0;0.0;0.0;0.0;-2.6;-9.1;
95;58;;0.0;0.0;0.0;0.0;0.0;-3.4;-8.5;
95;51;;0.0;0.0;0.0;0.0;0.0;-2.7;-8.3;
97;59;;0.0;0.0;0.0;0.0;0.0;-3.5;-9.4;
97;54;;0.0;0.0;0.0;0.0;0.0;-2.4;-9.2;
99;60;;0.0;0.0;0.0;0.0;0.0;-3.5;-9.4;
99;53;;0.0;0.0;0.0;0.0;0.0;-2.4;-9.2;
101;83;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.2;
101;55;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.1;
102;64;;0.0;0.0;0.0;0.0;0.0;-2.9;-8.8;
102;69;;0.0;0.0;0.0;0.0;0.0;-3.4;-8.9;
103;37;;0.0;0.0;0.0;0.0;0.0;-1.6;-4.9;
103;30;;0.1;0.1;0.0;0.0;0.0;-1.9;-5.0;
104;65;;0.0;0.0;0.0;0.0;0.0;-2.8;-8.8;
104;71;;0.0;0.0;0.0;0.0;0.0;-3.4;-9.0;
105;66;;0.0;0.0;0.0;0.0;0.0;-2.8;-8.4;
105;72;;0.0;0.0;0.0;0.0;0.0;-3.3;-8.6;
106;68;;0.0;0.0;0.0;0.0;0.0;-2.6;-8.8;
106;73;;0.0;0.0;0.0;0.0;0.0;-3.4;-9.0;
107;67;;0.0;0.0;0.0;0.0;0.0;-2.5;-8.9;
107;74;;0.0;0.0;0.0;0.0;0.0;-3.4;-9.1;
108;19;;0.2;0.2;0.0;0.0;0.0;-1.9;-5.1;
108;26;;0.0;0.0;0.0;0.0;0.0;-1.7;-4.9;
119;63;;0.0;0.0;0.0;0.0;0.0;-2.2;-5.9;
119;52;;0.0;0.0;0.0;0.0;0.0;-1.4;-5.8;
121;62;;0.0;0.0;0.0;0.0;0.0;-1.9;-8.6;
121;76;;0.0;0.0;0.0;0.0;0.0;-2.7;-8.8;
124;84;;0.0;0.0;0.0;0.0;0.0;-3.0;-9.3;
124;57;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.3;
125;85;;0.0;0.0;0.0;0.0;0.0;-2.9;-8.4;
125;58;;0.0;0.0;0.0;0.0;0.0;-3.1;-8.4;
126;86;;0.0;0.0;0.0;0.0;0.0;-2.8;-9.2;
126;59;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.3;
127;87;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.2;
127;60;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.3;
128;69;;0.0;0.0;0.0;0.0;0.0;-3.1;-8.8;
128;95;;0.0;0.0;0.0;0.0;0.0;-3.2;-8.9;
129;30;;0.0;0.0;0.0;0.0;0.0;-1.6;-4.9;
129;23;;0.1;0.1;0.0;0.0;0.0;-1.9;-5.1;
130;71;;0.0;0.0;0.0;0.0;0.0;-3.1;-8.9;
130;96;;0.0;0.0;0.0;0.0;0.0;-3.1;-8.9;
131;72;;0.0;0.0;0.0;0.0;0.0;-3.1;-8.5;
131;97;;0.0;0.0;0.0;0.0;0.0;-3.0;-8.5;
132;73;;0.0;0.0;0.0;0.0;0.0;-3.1;-8.9;
132;98;;0.0;0.0;0.0;0.0;0.0;-2.8;-8.9;
133;74;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
133;99;;0.0;0.0;0.0;0.0;0.0;-2.7;-9.0;
134;89;;0.0;0.0;0.0;0.0;0.0;-1.6;-5.8;
134;63;;0.0;0.0;0.0;0.0;0.0;-2.1;-5.9;
135;76;;0.0;0.0;0.0;0.0;0.0;-2.6;-8.7;
135;100;;0.0;0.0;0.0;0.0;0.0;-2.1;-8.7;
