Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;24;59;1.575;;-61.28;-0.04;31.97;0.03;116.14;0.84;Beam | 1 - IPE 500 | L : 1.575 m
1;25;28;0.000;;-57.71;-0.32;5.56;-0.02;149.86;-0.22;Beam | 1 - IPE 500 | L : 0.150 m
1;25;76;0.150;;-57.73;-0.32;5.37;-0.02;150.68;-0.15;Beam | 1 - IPE 500 | L : 0.150 m
1;26;29;0.000;;-61.45;-0.08;-34.38;-0.03;62.79;0.80;Beam | 1 - IPE 500 | L : 0.075 m
1;26;72;0.075;;-61.46;-0.08;-34.48;-0.03;60.21;0.81;Beam | 1 - IPE 500 | L : 0.075 m
1;27;31;0.000;;-96.05;0.04;67.55;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;27;31;0.000;;-96.05;0.04;67.55;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;27;;1.500;;-94.27;0.03;63.65;-0.04;98.43;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;27;;1.500;;-94.27;0.03;63.64;-0.04;98.43;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;27;30;4.000;;-91.48;0.01;59.31;-0.10;251.22;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;27;30;4.000;;-91.48;0.01;59.31;-0.10;251.22;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;28;32;0.000;;-96.18;0.03;-65.06;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;28;32;0.000;;-96.18;0.03;-65.06;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;28;;1.500;;-94.39;0.02;-62.44;0.04;-95.66;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;28;;1.500;;-94.39;0.02;-62.44;0.04;-95.66;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;28;33;4.000;;-91.60;0.01;-60.67;0.10;-248.45;-0.03;Beam | 1 - IPE 500 | L : 4.000 m
