Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;;-22.31;0.00;-2.78;0.00;0.00;0.00;
8;4;;-24.57;0.00;-2.50;0.00;0.00;0.00;
9;5;;-22.33;0.00;-1.70;0.00;0.00;0.00;
40;41;;-22.31;0.00;2.99;0.00;0.00;0.00;
41;42;;-24.57;0.00;2.73;0.00;0.00;0.00;
42;43;;-22.33;0.00;1.91;0.00;0.00;0.00;
90;55;;0.41;0.63;6.36;0.00;0.00;0.00;
90;49;;0.41;-0.63;-6.36;0.00;0.00;0.00;
92;26;;0.00;0.33;3.28;0.00;0.00;0.00;
92;33;;0.00;-0.33;-3.28;0.00;0.00;0.00;
93;57;;0.23;0.63;6.36;0.00;0.00;0.00;
93;50;;0.23;-0.63;-6.36;0.00;0.00;0.00;
95;58;;1.30;0.63;6.35;0.00;0.00;0.00;
95;51;;1.30;-0.63;-6.35;0.00;0.00;0.00;
97;59;;0.18;0.63;6.36;0.00;0.00;0.00;
97;54;;0.18;-0.63;-6.36;0.00;0.00;0.00;
99;60;;0.20;0.63;6.36;0.00;0.00;0.00;
99;53;;0.20;-0.63;-6.36;0.00;0.00;0.00;
101;83;;0.42;0.63;6.36;0.00;0.00;0.00;
101;55;;0.42;-0.63;-6.36;0.00;0.00;0.00;
102;64;;0.23;0.63;6.33;0.00;0.00;0.00;
102;69;;0.23;-0.63;-6.33;0.00;0.00;0.00;
103;37;;0.00;0.33;3.28;0.00;0.00;0.00;
103;30;;0.00;-0.33;-3.28;0.00;0.00;0.00;
104;65;;0.13;0.63;6.33;0.00;0.00;0.00;
104;71;;0.13;-0.63;-6.33;0.00;0.00;0.00;
105;66;;0.73;0.63;6.33;0.00;0.00;0.00;
105;72;;0.73;-0.63;-6.33;0.00;0.00;0.00;
106;68;;0.11;0.63;6.33;0.00;0.00;0.00;
106;73;;0.11;-0.63;-6.33;0.00;0.00;0.00;
107;67;;0.07;0.63;6.34;0.00;0.00;0.00;
107;74;;0.07;-0.63;-6.34;0.00;0.00;0.00;
108;19;;0.00;0.33;3.28;0.00;0.00;0.00;
108;26;;0.00;-0.33;-3.28;0.00;0.00;0.00;
119;63;;0.22;0.38;3.85;0.00;0.00;0.00;
119;52;;0.22;-0.38;-3.85;0.00;0.00;0.00;
121;62;;0.17;0.38;4.04;0.00;0.00;0.00;
121;76;;0.17;-0.38;-4.04;0.00;0.00;0.00;
124;84;;0.24;0.63;6.36;0.00;0.00;0.00;
124;57;;0.24;-0.63;-6.36;0.00;0.00;0.00;
125;85;;1.29;0.63;6.35;0.00;0.00;0.00;
125;58;;1.29;-0.63;-6.35;0.00;0.00;0.00;
126;86;;0.18;0.63;6.36;0.00;0.00;0.00;
126;59;;0.18;-0.63;-6.36;0.00;0.00;0.00;
127;87;;0.20;0.63;6.36;0.00;0.00;0.00;
127;60;;0.20;-0.63;-6.36;0.00;0.00;0.00;
128;69;;0.23;0.63;6.33;0.00;0.00;0.00;
128;95;;0.23;-0.63;-6.33;0.00;0.00;0.00;
129;30;;0.00;0.33;3.28;0.00;0.00;0.00;
129;23;;0.00;-0.33;-3.28;0.00;0.00;0.00;
130;71;;0.13;0.63;6.33;0.00;0.00;0.00;
130;96;;0.13;-0.63;-6.33;0.00;0.00;0.00;
131;72;;0.73;0.63;6.33;0.00;0.00;0.00;
131;97;;0.73;-0.63;-6.33;0.00;0.00;0.00;
132;73;;0.11;0.63;6.33;0.00;0.00;0.00;
132;98;;0.11;-0.63;-6.33;0.00;0.00;0.00;
133;74;;0.08;0.63;6.34;0.00;0.00;0.00;
133;99;;0.08;-0.63;-6.34;0.00;0.00;0.00;
134;89;;0.22;0.38;3.85;0.00;0.00;0.00;
134;63;;0.22;-0.38;-3.85;0.00;0.00;0.00;
135;76;;0.18;0.38;4.04;0.00;0.00;0.00;
135;100;;0.18;-0.38;-4.04;0.00;0.00;0.00;
148;111;;0.40;0.63;6.36;0.00;0.00;0.00;
148;83;;0.40;-0.63;-6.36;0.00;0.00;0.00;
149;12;;0.00;0.33;3.28;0.00;0.00;0.00;
149;19;;0.00;-0.33;-3.28;0.00;0.00;0.00;
150;112;;0.24;0.63;6.36;0.00;0.00;0.00;
150;84;;0.24;-0.63;-6.36;0.00;0.00;0.00;
151;113;;1.30;0.63;6.35;0.00;0.00;0.00;
151;85;;1.30;-0.63;-6.35;0.00;0.00;0.00;
152;114;;0.17;0.63;6.36;0.00;0.00;0.00;
152;86;;0.17;-0.63;-6.36;0.00;0.00;0.00;
153;115;;0.20;0.63;6.36;0.00;0.00;0.00;
153;87;;0.20;-0.63;-6.36;0.00;0.00;0.00;
154;95;;0.22;0.63;6.33;0.00;0.00;0.00;
154;123;;0.22;-0.63;-6.33;0.00;0.00;0.00;
155;23;;0.00;0.33;3.28;0.00;0.00;0.00;
155;16;;0.00;-0.33;-3.28;0.00;0.00;0.00;
156;96;;0.13;0.63;6.33;0.00;0.00;0.00;
156;124;;0.13;-0.63;-6.33;0.00;0.00;0.00;
157;97;;0.74;0.63;6.33;0.00;0.00;0.00;
157;125;;0.74;-0.63;-6.33;0.00;0.00;0.00;
158;98;;0.11;0.63;6.33;0.00;0.00;0.00;
158;126;;0.11;-0.63;-6.33;0.00;0.00;0.00;
159;99;;0.07;0.63;6.34;0.00;0.00;0.00;
159;127;;0.07;-0.63;-6.34;0.00;0.00;0.00;
160;117;;0.21;0.38;3.85;0.00;0.00;0.00;
160;89;;0.21;-0.38;-3.85;0.00;0.00;0.00;
161;100;;0.17;0.38;4.04;0.00;0.00;0.00;
161;128;;0.17;-0.38;-4.04;0.00;0.00;0.00;
174;139;;0.37;0.63;6.36;0.00;0.00;0.00;
174;111;;0.37;-0.63;-6.36;0.00;0.00;0.00;
175;2;;0.00;0.33;3.28;0.00;0.00;0.00;
175;12;;0.00;-0.33;-3.28;0.00;0.00;0.00;
176;140;;0.22;0.63;6.36;0.00;0.00;0.00;
176;112;;0.22;-0.63;-6.36;0.00;0.00;0.00;
177;141;;1.33;0.63;6.35;0.00;0.00;0.00;
177;113;;1.33;-0.63;-6.34;0.00;0.00;0.00;
178;142;;0.15;0.63;6.36;0.00;0.00;0.00;
178;114;;0.15;-0.63;-6.36;0.00;0.00;0.00;
179;143;;0.19;0.63;6.36;0.00;0.00;0.00;
179;115;;0.19;-0.63;-6.36;0.00;0.00;0.00;
180;123;;0.21;0.63;6.33;0.00;0.00;0.00;
180;151;;0.21;-0.63;-6.33;0.00;0.00;0.00;
181;16;;0.00;0.33;3.28;0.00;0.00;0.00;
181;6;;0.00;-0.33;-3.28;0.00;0.00;0.00;
182;124;;0.13;0.63;6.33;0.00;0.00;0.00;
182;152;;0.13;-0.63;-6.33;0.00;0.00;0.00;
183;125;;0.75;0.63;6.33;0.00;0.00;0.00;
183;153;;0.75;-0.63;-6.33;0.00;0.00;0.00;
184;126;;0.10;0.63;6.33;0.00;0.00;0.00;
184;154;;0.10;-0.63;-6.33;0.00;0.00;0.00;
185;127;;0.06;0.63;6.34;0.00;0.00;0.00;
185;155;;0.06;-0.63;-6.34;0.00;0.00;0.00;
186;145;;0.19;0.38;3.85;0.00;0.00;0.00;
186;117;;0.19;-0.38;-3.85;0.00;0.00;0.00;
187;128;;0.14;0.38;4.04;0.00;0.00;0.00;
187;156;;0.14;-0.38;-4.04;0.00;0.00;0.00;
200;49;;0.39;0.63;6.36;0.00;0.00;0.00;
200;116;;0.39;-0.63;-6.36;0.00;0.00;0.00;
201;33;;0.00;0.33;3.28;0.00;0.00;0.00;
201;40;;0.00;-0.33;-3.28;0.00;0.00;0.00;
202;50;;0.22;0.63;6.36;0.00;0.00;0.00;
202;118;;0.22;-0.63;-6.36;0.00;0.00;0.00;
203;51;;1.33;0.63;6.34;0.00;0.00;0.00;
203;119;;1.33;-0.63;-6.35;0.00;0.00;0.00;
204;54;;0.16;0.63;6.36;0.00;0.00;0.00;
204;120;;0.16;-0.63;-6.36;0.00;0.00;0.00;
205;53;;0.19;0.63;6.36;0.00;0.00;0.00;
205;121;;0.19;-0.63;-6.36;0.00;0.00;0.00;
206;129;;0.22;0.63;6.33;0.00;0.00;0.00;
206;64;;0.22;-0.63;-6.33;0.00;0.00;0.00;
207;44;;0.00;0.33;3.28;0.00;0.00;0.00;
207;37;;0.00;-0.33;-3.28;0.00;0.00;0.00;
208;130;;0.13;0.63;6.33;0.00;0.00;0.00;
208;65;;0.13;-0.63;-6.33;0.00;0.00;0.00;
209;131;;0.75;0.63;6.33;0.00;0.00;0.00;
209;66;;0.75;-0.63;-6.33;0.00;0.00;0.00;
210;132;;0.10;0.63;6.33;0.00;0.00;0.00;
210;68;;0.10;-0.63;-6.33;0.00;0.00;0.00;
211;133;;0.06;0.63;6.34;0.00;0.00;0.00;
211;67;;0.06;-0.63;-6.34;0.00;0.00;0.00;
212;52;;0.19;0.38;3.85;0.00;0.00;0.00;
212;122;;0.19;-0.38;-3.85;0.00;0.00;0.00;
213;134;;0.14;0.38;4.04;0.00;0.00;0.00;
213;62;;0.14;-0.38;-4.04;0.00;0.00;0.00;
Total;;;1.33;0.63;6.36;0.00;0.00;0.00;
max/min;;;-24.57;-0.63;-6.36;0.00;0.00;0.00;
