Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-5.52;-1.28;-2.49;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-5.52;-1.28;-2.49;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-4.91;-0.18;-0.72;0.01;-2.41;1.10;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-4.91;-0.18;-0.73;0.01;-2.41;1.10;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-4.81;-0.01;-0.46;0.01;-2.55;1.13;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-3.88;0.83;0.72;0.01;-1.79;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-3.88;0.83;0.72;0.01;-1.79;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-3.88;0.83;0.72;0.01;-1.79;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-5.52;-1.28;-2.49;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-3.88;0.83;0.72;0.01;-1.79;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-5.52;-1.28;-2.49;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-3.88;0.83;0.72;0.01;-1.79;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-5.52;-1.28;-2.49;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-5.11;-0.55;-1.31;0.01;-1.90;0.92;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-3.88;0.83;0.72;0.01;-1.79;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-5.52;-1.28;-2.49;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;M_y;-4.71;0.18;-0.19;0.01;-2.64;1.10;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-4.81;-0.01;-0.46;0.01;-2.55;1.13;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-3.88;0.83;0.72;0.01;-1.79;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-3.88;0.83;0.72;0.01;0.00;1.13;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-5.52;-1.28;-2.49;0.01;-2.64;-0.12;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;2.04;-0.68;2.67;0.01;-1.46;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;2.09;-0.24;2.12;0.00;2.49;0.85;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;2.09;-0.24;2.12;0.00;2.49;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;2.04;-0.68;2.67;0.01;-1.46;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;2.09;-0.24;2.12;0.00;2.49;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;2.04;-0.68;2.67;0.01;-1.46;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;2.04;-0.68;2.67;0.01;-1.46;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;2.09;-0.24;2.12;0.00;2.49;0.85;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;2.04;-0.68;2.67;0.01;-1.46;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
