Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;Obergurt;;;;;;;;;;
1;188;139;0.000;M_z;-3.04;-0.56;0.28;-0.01;1.18;1.50;CO31
1;188;139;0.000;M_z;3.68;0.55;-0.17;0.02;2.18;-1.12;CO30
1;188;;0.160;N;3.68;0.41;-0.21;0.02;2.15;-1.20;CO30
1;188;;0.160;N;-3.28;-0.32;0.16;-0.01;2.27;1.55;CO36
1;188;;0.160;V_y;3.43;0.42;-0.29;0.02;3.18;-1.19;CO35
1;188;;0.160;V_y;-3.28;-0.32;0.16;-0.01;2.27;1.55;CO36
1;188;;0.160;V_z;-3.04;-0.32;0.24;-0.01;1.22;1.57;CO31
1;188;;0.160;V_z;3.43;0.42;-0.29;0.02;3.18;-1.19;CO35
1;188;;0.160;M_T;3.43;0.42;-0.29;0.02;3.18;-1.19;CO35
1;188;;0.160;M_T;1.25;-0.19;-0.13;-0.02;2.82;0.61;CO37
1;188;;0.160;M_y;1.55;0.25;-0.26;0.01;3.96;-0.71;CO25
1;188;;0.160;M_y;-3.04;-0.32;0.24;-0.01;1.22;1.57;CO31
1;188;;0.160;M_z;-3.04;-0.32;0.24;-0.01;1.22;1.57;CO31
1;188;;0.160;M_z;3.68;0.41;-0.21;0.02;2.15;-1.20;CO30
1;188;;0.360;N;3.68;0.22;-0.26;0.02;2.10;-1.27;CO30
1;188;;0.360;N;-3.27;-0.05;0.10;-0.01;2.30;1.59;CO36
1;188;;0.360;V_y;3.44;0.22;-0.34;0.02;3.12;-1.26;CO35
1;188;;0.360;V_y;0.45;-0.13;-0.04;-0.01;2.72;0.84;CO34
1;188;;0.360;V_z;-3.03;-0.05;0.18;-0.01;1.26;1.61;CO31
1;188;;0.360;V_z;3.44;0.22;-0.34;0.02;3.12;-1.26;CO35
1;188;;0.360;M_T;3.44;0.22;-0.34;0.02;3.12;-1.26;CO35
1;188;;0.360;M_T;1.25;-0.11;-0.17;-0.01;2.79;0.64;CO37
1;188;;0.360;M_y;1.55;0.13;-0.31;0.01;3.91;-0.75;CO25
1;188;;0.360;M_y;-3.03;-0.05;0.18;-0.01;1.26;1.61;CO31
1;188;;0.360;M_z;-3.03;-0.05;0.18;-0.01;1.26;1.61;CO31
1;188;;0.360;M_z;3.68;0.22;-0.26;0.02;2.10;-1.27;CO30
1;188;;0.612;N;3.69;-0.05;-0.32;0.02;2.03;-1.29;CO30
1;188;;0.612;N;-3.27;0.26;0.03;-0.01;2.31;1.56;CO36
1;188;;0.612;V_y;-3.03;0.26;0.11;-0.01;1.30;1.58;CO31
1;188;;0.612;V_y;3.69;-0.05;-0.32;0.02;2.03;-1.29;CO30
1;188;;0.612;V_z;-3.03;0.26;0.11;-0.01;1.30;1.58;CO31
1;188;;0.612;V_z;3.44;-0.05;-0.40;0.02;3.02;-1.28;CO35
1;188;;0.612;M_T;3.44;-0.05;-0.40;0.02;3.02;-1.28;CO35
1;188;;0.612;M_T;1.26;0.01;-0.24;-0.01;2.74;0.65;CO37
1;188;;0.612;M_y;1.56;-0.03;-0.37;0.01;3.82;-0.77;CO25
1;188;;0.612;M_y;-3.03;0.26;0.11;-0.01;1.30;1.58;CO31
1;188;;0.612;M_z;-3.03;0.26;0.11;-0.01;1.30;1.58;CO31
1;188;;0.612;M_z;3.69;-0.05;-0.32;0.02;2.03;-1.29;CO30
1;188;;0.825;N;3.70;-0.28;-0.37;0.02;1.95;-1.26;CO30
1;188;;0.825;N;-3.26;0.53;-0.03;-0.01;2.31;1.48;CO36
1;188;;0.825;V_y;-3.02;0.53;0.05;-0.01;1.31;1.50;CO31
1;188;;0.825;V_y;3.70;-0.28;-0.37;0.02;1.95;-1.26;CO30
1;188;;0.825;V_z;-3.02;0.53;0.05;-0.01;1.31;1.50;CO31
1;188;;0.825;V_z;3.45;-0.28;-0.46;0.02;2.93;-1.25;CO35
1;188;;0.825;M_T;3.45;-0.28;-0.46;0.02;2.93;-1.25;CO35
1;188;;0.825;M_T;1.26;0.11;-0.29;-0.01;2.68;0.64;CO37
1;188;;0.825;M_y;1.57;-0.17;-0.42;0.01;3.74;-0.75;CO25
1;188;;0.825;M_y;-3.02;0.53;0.05;-0.01;1.31;1.50;CO31
1;188;;0.825;M_z;-3.02;0.53;0.05;-0.01;1.31;1.50;CO31
1;188;;0.825;M_z;3.70;-0.28;-0.37;0.02;1.95;-1.26;CO30
