Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;1.7;-1.2;-1.2;0.0;-0.5;0.5;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;1.7;-1.2;-1.2;0.0;-0.5;0.5;-0.7;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;1.8;-1.3;-1.3;0.0;-0.4;0.3;-0.8;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.1;-0.3;-1.1;0.0;0.3;-1.2;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.1;-0.3;-1.1;0.0;0.3;-1.2;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_X;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_X;1.9;-1.4;-1.3;0.0;-0.2;0.1;-1.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Y;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_Y;2.0;-1.4;-1.4;0.0;0.0;-0.2;-1.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_Z;1.1;-0.3;-1.1;0.0;0.3;-1.2;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Z;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_X;1.1;-0.3;-1.1;0.0;0.3;-1.2;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_X;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Y;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Y;1.1;-0.3;-1.1;0.0;0.3;-1.2;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Z;0.0;0.0;0.0;0.0;-0.9;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Z;1.1;-0.3;-1.1;0.0;0.3;-1.2;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;2.0;0.0;0.0;0.0;0.3;1.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;-1.4;-1.4;0.0;-0.9;-1.2;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
2;2;0.000;;1.0;-0.1;-1.0;0.0;0.3;-1.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;4.5;0.2;-3.8;2.4;1.4;-0.9;-1.4;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;u_X;4.5;0.2;-3.8;2.4;1.4;-0.9;-1.4;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_X;1.0;-0.1;-1.0;0.0;0.3;-1.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_Y;1.0;-0.1;-1.0;0.0;0.3;-1.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_Y;4.5;0.2;-3.8;2.4;1.4;-0.9;-1.4;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_Z;4.5;0.2;-3.8;2.4;1.4;-0.9;-1.4;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_Z;1.0;-0.1;-1.0;0.0;0.3;-1.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_X;4.5;0.2;-3.8;2.4;1.4;-0.9;-1.4;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_X;1.0;-0.1;-1.0;0.0;0.3;-1.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_Y;4.5;0.2;-3.8;2.4;1.4;-0.9;-1.4;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.660;φ_Y;2.4;0.0;-2.2;1.0;0.7;-1.6;-1.9;Beam | 3 - HEA 140 | L : 1.650 m
