Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-69.33;0.07;-34.44;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-69.33;0.07;-34.44;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-67.51;0.06;-31.45;0.03;-49.43;-0.09;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-67.51;0.06;-31.45;0.03;-49.43;-0.09;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-64.51;0.04;-29.36;0.08;-124.22;-0.19;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-64.51;0.04;-29.36;0.08;-124.22;-0.19;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-29.72;-0.34;38.38;-0.18;-124.31;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-29.47;-0.57;36.42;-0.23;-62.59;0.07;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-8.93;0.10;18.18;0.05;30.54;0.97;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-8.75;0.15;16.26;0.05;57.67;0.72;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-7.17;-0.70;-0.69;-0.11;82.92;-1.13;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-7.19;-0.70;-0.88;-0.12;82.80;-1.00;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-27.68;-0.32;-19.39;-0.05;29.69;0.97;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-27.69;-0.31;-19.49;-0.05;28.23;0.99;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-69.26;0.07;36.75;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-69.26;0.07;36.75;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-67.44;0.06;32.36;-0.03;51.85;-0.09;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-67.44;0.06;32.36;-0.03;51.85;-0.09;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-64.45;0.05;28.06;-0.08;126.13;-0.19;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-64.45;0.05;28.06;-0.08;126.13;-0.19;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-44.27;0.06;-29.23;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-44.27;0.06;-29.23;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-42.44;0.05;-26.00;0.03;-41.43;-0.08;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-42.44;0.05;-26.00;0.03;-41.43;-0.08;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-39.43;0.04;-23.56;0.07;-102.14;-0.18;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-39.43;0.04;-23.56;0.07;-102.14;-0.18;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-42.38;-0.28;33.68;-0.17;-102.22;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-42.14;-0.45;31.72;-0.21;-48.26;0.10;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-48.63;0.16;13.49;0.05;29.01;0.94;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-48.45;0.21;11.55;0.05;48.73;0.60;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-46.92;-0.67;4.08;-0.12;57.60;-1.25;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-46.93;-0.67;3.89;-0.12;58.20;-1.13;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-40.54;-0.36;-14.70;-0.05;28.09;0.93;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-40.55;-0.36;-14.79;-0.05;26.99;0.96;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-44.34;0.06;30.90;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-44.34;0.06;30.90;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-42.52;0.05;26.77;-0.03;43.26;-0.08;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-42.52;0.05;26.77;-0.03;43.26;-0.08;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-39.50;0.04;22.96;-0.07;104.16;-0.17;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-39.50;0.04;22.96;-0.07;104.16;-0.17;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-45.22;0.06;-32.59;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-45.22;0.06;-32.59;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-43.39;0.05;-28.27;0.04;-45.66;-0.08;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-43.39;0.05;-28.28;0.04;-45.66;-0.08;Beam | 1 - IPE 500 | L : 4.000 m
