Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-1.1;0.9;0.0;
2;1.2;-0.3;-1.1;0.0;0.4;-1.2;-2.0;
3;2.9;0.1;-2.9;0.1;-10.1;0.4;1.0;
4;3.8;0.0;-3.8;0.1;-5.4;0.0;0.0;
5;2.9;-0.1;-2.9;0.1;-9.9;-0.2;-0.9;
6;1.2;0.2;-1.1;0.0;0.4;1.3;1.9;
7;0.0;0.0;0.0;0.0;-1.1;-1.0;0.0;
8;0.0;0.0;0.0;0.0;-1.5;-0.3;0.0;
9;0.0;0.0;0.0;0.0;-2.0;-0.3;0.0;
10;0.0;0.0;0.0;0.0;-1.5;-0.2;0.0;
11;0.0;0.0;0.0;0.0;-0.3;1.4;0.0;
12;2.5;-2.2;-1.1;0.1;-0.3;-1.4;-0.5;
13;16.4;-0.7;-2.8;16.1;-9.6;-3.5;0.8;
14;26.3;0.2;-3.7;26.0;-5.2;0.0;0.0;
15;16.3;1.2;-2.8;16.0;-9.4;3.5;-0.8;
16;2.9;2.7;-1.1;0.1;-0.3;1.3;0.5;
17;0.0;0.0;0.0;0.0;-0.2;-1.5;0.0;
18;0.0;0.0;0.0;0.0;-0.3;1.2;0.0;
19;2.3;-1.9;-1.4;0.1;-0.4;-1.2;-0.4;
20;14.7;-0.5;-3.0;14.4;-9.1;-3.0;0.8;
21;23.1;0.2;-3.9;22.8;-4.9;0.0;0.0;
22;14.6;1.0;-3.0;14.3;-9.0;3.0;-0.8;
23;2.7;2.3;-1.3;0.1;-0.4;1.2;0.4;
24;0.0;0.0;0.0;0.0;-0.3;-1.4;0.0;
25;0.0;0.0;0.0;0.0;-0.3;1.3;0.0;
26;2.5;-2.1;-1.4;0.1;-0.4;-1.3;-0.4;
27;15.3;-0.6;-3.1;15.0;-8.8;-3.2;0.7;
28;24.3;0.2;-4.0;24.0;-4.4;0.0;0.0;
29;15.2;1.0;-3.1;14.9;-8.6;3.2;-0.7;
30;2.8;2.5;-1.4;0.1;-0.4;1.2;0.4;
31;0.0;0.0;0.0;0.0;-0.3;-1.4;0.0;
32;0.0;0.0;0.0;0.0;-0.4;1.3;0.0;
33;2.6;-2.1;-1.5;0.1;-0.4;-1.3;-0.4;
34;15.4;-0.6;-3.3;15.1;-8.5;-3.2;0.7;
35;24.5;0.2;-4.2;24.1;-4.0;0.0;0.0;
36;15.4;1.1;-3.3;15.0;-8.3;3.2;-0.6;
37;2.9;2.5;-1.5;0.1;-0.4;1.2;0.4;
38;0.0;0.0;0.0;0.0;-0.3;-1.5;0.0;
39;0.0;0.0;0.0;0.0;-2.2;1.5;0.0;
