Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;1.47;-0.68;4.62;0.01;-3.07;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;1.52;-0.23;4.08;0.00;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;1.94;-0.37;-0.17;-0.03;4.03;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;1.96;0.01;-0.37;-0.02;3.86;0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;1.96;0.16;-0.44;-0.02;3.77;0.96;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;1.96;0.16;-0.44;-0.02;3.77;0.96;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;1.99;0.63;-0.71;-0.02;3.30;0.63;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;2.42;0.50;-4.96;-0.05;3.22;0.63;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;2.47;0.96;-5.50;-0.04;-5.40;-0.68;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;2.90;0.40;-9.75;-0.16;-5.48;-0.68;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;2.90;0.41;-9.77;-0.16;-5.85;-0.70;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;2.90;0.41;-9.77;-0.16;-5.85;-0.70;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;2.90;0.42;-9.78;-0.16;-6.21;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;0.80;-0.81;5.66;0.03;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;0.87;-0.37;5.15;0.02;1.92;0.31;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;1.29;-0.43;0.90;0.01;1.84;0.31;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;1.31;0.00;0.68;0.01;2.38;0.46;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;1.34;0.59;0.36;0.01;2.88;0.16;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;1.77;0.58;-3.88;0.00;2.81;0.16;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;1.82;1.01;-4.43;0.00;-4.05;-1.25;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;2.08;0.91;-7.03;-0.02;-4.10;-1.25;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;2.08;0.92;-7.08;-0.02;-5.15;-1.39;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;2.80;-0.93;7.16;0.02;-4.32;-1.29;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;2.54;-1.02;4.55;0.00;-4.27;-1.29;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;2.49;-0.59;4.01;0.00;2.79;0.14;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;2.06;-0.60;-0.24;-0.01;2.87;0.14;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;2.03;-0.01;-0.55;-0.01;2.49;0.46;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;2.01;0.42;-0.77;-0.01;2.03;0.31;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;1.59;0.36;-5.02;-0.02;2.11;0.31;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;1.53;0.80;-5.54;-0.02;-6.21;-0.71;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;3.00;-0.44;9.95;0.15;-6.71;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;3.00;-0.43;9.94;0.15;-6.34;-0.75;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;3.00;-0.43;9.94;0.15;-6.34;-0.75;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;3.00;-0.42;9.93;0.15;-5.97;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;2.58;-0.97;5.67;0.04;-5.89;-0.73;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;2.53;-0.51;5.13;0.05;3.02;0.61;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;2.10;-0.64;0.89;0.02;3.10;0.61;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;2.07;-0.17;0.62;0.02;3.72;0.95;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;2.07;-0.17;0.62;0.02;3.72;0.95;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;2.06;-0.02;0.55;0.02;3.85;0.97;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;2.04;0.36;0.35;0.03;4.12;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;1.62;0.21;-3.90;0.00;4.20;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;1.57;0.66;-4.45;-0.02;-2.69;0.02;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;5;5;0.000;N;3.00;-0.44;9.95;0.15;-6.71;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;0.80;-0.81;5.66;0.03;-6.60;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
1;192;145;1.650;V_y;1.82;1.01;-4.43;0.00;-4.05;-1.25;Beam | 3 - HEA 140 | L : 1.650 m
1;194;156;0.000;V_y;2.54;-1.02;4.55;0.00;-4.27;-1.29;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;3.00;-0.44;9.95;0.15;-6.71;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;2.90;0.42;-9.78;-0.16;-6.21;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;3.00;-0.42;9.93;0.15;-5.97;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;2.90;0.40;-9.75;-0.16;-5.48;-0.68;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_y;1.62;0.21;-3.90;0.00;4.20;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;3.00;-0.44;9.95;0.15;-6.71;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
1;188;;0.612;M_z;1.96;0.01;-0.37;-0.02;3.86;0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;4;4;0.000;M_z;2.80;-0.94;7.21;0.02;-5.39;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;;3.00;1.01;9.95;0.15;4.20;0.98;
1;;;;;0.80;-1.02;-9.78;-0.16;-6.71;-1.44;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-49.21;-0.36;59.99;-0.13;-193.34;-0.13;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-48.88;-0.72;58.09;-0.21;-95.90;-0.15;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-48.06;-0.42;49.59;-0.12;-96.21;-0.15;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-47.83;-0.60;47.62;-0.18;-15.99;0.46;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-47.02;-0.40;39.13;-0.14;-16.30;0.45;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-46.84;-0.50;37.10;-0.16;46.60;1.26;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-46.03;0.18;28.62;0.05;46.29;1.25;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-46.02;0.19;28.52;0.05;48.43;1.23;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-27.09;-0.03;27.37;0.05;48.43;1.23;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-26.94;0.03;25.42;0.05;90.01;1.15;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-26.12;0.24;16.93;0.08;89.70;1.15;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-25.95;0.29;14.87;0.06;115.94;0.50;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-25.12;0.47;6.38;0.09;115.63;0.50;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-24.93;0.49;4.32;0.03;124.45;-0.64;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-24.41;0.70;-0.88;0.09;124.26;-0.64;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-24.39;0.70;-1.07;0.08;124.12;-0.79;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-24.33;-0.70;1.05;-0.08;124.12;-0.79;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-24.35;-0.70;0.86;-0.08;124.26;-0.64;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-24.87;-0.50;-4.34;-0.03;124.19;-0.65;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-25.06;-0.48;-6.40;-0.08;115.33;0.48;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-25.89;-0.30;-14.89;-0.05;115.22;0.48;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-26.06;-0.25;-16.95;-0.08;88.95;1.13;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-26.87;-0.04;-25.44;-0.04;88.83;1.13;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-27.03;0.02;-27.39;-0.05;47.22;1.22;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-45.90;-0.19;-28.54;-0.05;47.22;1.22;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-45.91;-0.19;-28.64;-0.05;45.08;1.23;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-46.72;0.48;-37.12;0.15;44.97;1.21;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-46.90;0.39;-39.15;0.14;-17.97;0.43;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-47.71;0.58;-47.64;0.17;-18.08;0.43;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-47.94;0.41;-49.61;0.12;-98.34;-0.15;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-48.76;0.72;-58.11;0.21;-98.45;-0.16;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-49.09;0.36;-60.00;0.13;-195.92;-0.13;Beam | 1 - IPE 500 | L : 1.650 m
