Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-12.03;-1.30;-1.85;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-12.03;-1.30;-1.85;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-11.42;-0.20;-1.33;0.00;-2.39;1.13;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-11.42;-0.20;-1.33;0.00;-2.39;1.13;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-11.32;-0.02;-1.25;0.00;-2.70;1.15;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.39;0.82;-0.97;0.00;-5.05;-0.07;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-10.39;0.82;-0.97;0.00;-5.05;-0.07;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-10.39;0.82;-0.97;0.00;-5.05;-0.07;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-12.03;-1.30;-1.85;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-10.39;0.82;-0.97;0.00;-5.05;-0.07;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-12.03;-1.30;-1.85;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;3.500;V_z;-10.60;0.78;-0.96;0.00;-4.57;0.34;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-12.03;-1.30;-1.85;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-11.62;-0.57;-1.51;0.00;-1.68;0.94;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-10.39;0.82;-0.97;0.00;-5.05;-0.07;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-12.03;-1.30;-1.85;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-10.39;0.82;-0.97;0.00;-5.05;-0.07;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-11.32;-0.02;-1.25;0.00;-2.70;1.15;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-10.39;0.82;-0.97;0.00;-5.05;-0.07;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-10.39;0.82;-0.96;0.00;0.00;1.15;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-12.03;-1.30;-1.85;0.00;-5.05;-0.07;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-0.99;-0.57;6.81;0.04;-5.36;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-0.93;-0.07;6.26;0.03;5.43;0.64;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-0.93;-0.07;6.26;0.03;5.43;0.64;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-0.99;-0.57;6.81;0.04;-5.36;0.00;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;-0.93;-0.07;6.26;0.03;5.43;0.64;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;-0.99;-0.57;6.81;0.04;-5.36;0.00;Beam | 3 - HEA 140 | L : 1.650 m
