Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
97;54;Max.;0.20;-0.16;-1.60;0.00;0.00;0.00;
97;54;Min.;-0.11;-0.44;-4.40;0.00;0.00;0.00;
99;60;Max.;0.22;0.44;4.40;0.00;0.00;0.00;
99;60;Min.;-0.11;0.16;1.60;0.00;0.00;0.00;
99;53;Max.;0.22;-0.16;-1.60;0.00;0.00;0.00;
99;53;Min.;-0.11;-0.44;-4.40;0.00;0.00;0.00;
101;83;Max.;0.46;0.44;4.40;0.00;0.00;0.00;
101;83;Min.;-0.17;0.16;1.60;0.00;0.00;0.00;
101;55;Max.;0.46;-0.16;-1.60;0.00;0.00;0.00;
101;55;Min.;-0.17;-0.44;-4.40;0.00;0.00;0.00;
102;64;Max.;0.47;0.44;4.40;0.00;0.00;0.00;
102;64;Min.;-0.25;0.16;1.60;0.00;0.00;0.00;
102;69;Max.;0.47;-0.16;-1.60;0.00;0.00;0.00;
102;69;Min.;-0.25;-0.44;-4.40;0.00;0.00;0.00;
103;37;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
103;37;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
103;30;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
103;30;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
104;65;Max.;0.25;0.44;4.40;0.00;0.00;0.00;
104;65;Min.;-0.12;0.16;1.60;0.00;0.00;0.00;
104;71;Max.;0.25;-0.16;-1.60;0.00;0.00;0.00;
104;71;Min.;-0.12;-0.44;-4.40;0.00;0.00;0.00;
105;66;Max.;1.42;0.44;4.39;0.00;0.00;0.00;
105;66;Min.;-0.70;0.16;1.60;0.00;0.00;0.00;
105;72;Max.;1.42;-0.16;-1.60;0.00;0.00;0.00;
105;72;Min.;-0.70;-0.44;-4.39;0.00;0.00;0.00;
106;68;Max.;0.20;0.44;4.40;0.00;0.00;0.00;
106;68;Min.;-0.12;0.16;1.60;0.00;0.00;0.00;
106;73;Max.;0.20;-0.16;-1.60;0.00;0.00;0.00;
106;73;Min.;-0.12;-0.44;-4.40;0.00;0.00;0.00;
107;67;Max.;0.22;0.44;4.40;0.00;0.00;0.00;
107;67;Min.;-0.11;0.16;1.60;0.00;0.00;0.00;
107;74;Max.;0.22;-0.16;-1.60;0.00;0.00;0.00;
107;74;Min.;-0.11;-0.44;-4.40;0.00;0.00;0.00;
108;19;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
108;19;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
108;26;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
108;26;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
119;63;Max.;0.24;0.27;2.80;0.00;0.00;0.00;
119;63;Min.;-0.18;0.10;1.02;0.00;0.00;0.00;
119;52;Max.;0.24;-0.10;-1.02;0.00;0.00;0.00;
119;52;Min.;-0.18;-0.27;-2.80;0.00;0.00;0.00;
121;62;Max.;0.23;0.27;2.80;0.00;0.00;0.00;
121;62;Min.;-0.18;0.10;1.02;0.00;0.00;0.00;
121;76;Max.;0.23;-0.10;-1.02;0.00;0.00;0.00;
121;76;Min.;-0.18;-0.27;-2.80;0.00;0.00;0.00;
124;84;Max.;0.27;0.44;4.40;0.00;0.00;0.00;
124;84;Min.;-0.06;0.16;1.60;0.00;0.00;0.00;
124;57;Max.;0.27;-0.16;-1.60;0.00;0.00;0.00;
124;57;Min.;-0.06;-0.44;-4.40;0.00;0.00;0.00;
125;85;Max.;1.44;0.44;4.39;0.00;0.00;0.00;
125;85;Min.;-0.34;0.16;1.60;0.00;0.00;0.00;
125;58;Max.;1.44;-0.16;-1.60;0.00;0.00;0.00;
125;58;Min.;-0.34;-0.44;-4.39;0.00;0.00;0.00;
126;86;Max.;0.20;0.44;4.40;0.00;0.00;0.00;
126;86;Min.;-0.06;0.16;1.60;0.00;0.00;0.00;
126;59;Max.;0.20;-0.16;-1.60;0.00;0.00;0.00;
126;59;Min.;-0.06;-0.44;-4.40;0.00;0.00;0.00;
127;87;Max.;0.23;0.44;4.40;0.00;0.00;0.00;
127;87;Min.;-0.08;0.16;1.60;0.00;0.00;0.00;
127;60;Max.;0.23;-0.16;-1.60;0.00;0.00;0.00;
127;60;Min.;-0.08;-0.44;-4.40;0.00;0.00;0.00;
128;69;Max.;0.47;0.44;4.40;0.00;0.00;0.00;
128;69;Min.;-0.17;0.16;1.60;0.00;0.00;0.00;
128;95;Max.;0.47;-0.16;-1.60;0.00;0.00;0.00;
128;95;Min.;-0.17;-0.44;-4.40;0.00;0.00;0.00;
129;30;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
129;30;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
129;23;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
129;23;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
130;71;Max.;0.26;0.44;4.40;0.00;0.00;0.00;
130;71;Min.;-0.06;0.16;1.60;0.00;0.00;0.00;
130;96;Max.;0.26;-0.16;-1.60;0.00;0.00;0.00;
130;96;Min.;-0.06;-0.44;-4.40;0.00;0.00;0.00;
131;72;Max.;1.41;0.44;4.39;0.00;0.00;0.00;
131;72;Min.;-0.34;0.16;1.60;0.00;0.00;0.00;
131;97;Max.;1.41;-0.16;-1.60;0.00;0.00;0.00;
131;97;Min.;-0.34;-0.44;-4.39;0.00;0.00;0.00;
132;73;Max.;0.21;0.44;4.40;0.00;0.00;0.00;
132;73;Min.;-0.06;0.16;1.60;0.00;0.00;0.00;
132;98;Max.;0.21;-0.16;-1.60;0.00;0.00;0.00;
132;98;Min.;-0.06;-0.44;-4.40;0.00;0.00;0.00;
133;74;Max.;0.22;0.44;4.40;0.00;0.00;0.00;
133;74;Min.;-0.08;0.16;1.60;0.00;0.00;0.00;
133;99;Max.;0.22;-0.16;-1.60;0.00;0.00;0.00;
133;99;Min.;-0.08;-0.44;-4.40;0.00;0.00;0.00;
134;89;Max.;0.25;0.27;2.80;0.00;0.00;0.00;
134;89;Min.;-0.13;0.10;1.02;0.00;0.00;0.00;
134;63;Max.;0.25;-0.10;-1.02;0.00;0.00;0.00;
134;63;Min.;-0.13;-0.27;-2.80;0.00;0.00;0.00;
135;76;Max.;0.24;0.27;2.80;0.00;0.00;0.00;
135;76;Min.;-0.13;0.10;1.02;0.00;0.00;0.00;
135;100;Max.;0.24;-0.10;-1.02;0.00;0.00;0.00;
135;100;Min.;-0.13;-0.27;-2.80;0.00;0.00;0.00;
148;111;Max.;0.43;0.44;4.40;0.00;0.00;0.00;
148;111;Min.;-0.24;0.16;1.60;0.00;0.00;0.00;
148;83;Max.;0.43;-0.16;-1.60;0.00;0.00;0.00;
148;83;Min.;-0.24;-0.44;-4.40;0.00;0.00;0.00;
149;12;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
149;12;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
149;19;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
149;19;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
150;112;Max.;0.26;0.44;4.40;0.00;0.00;0.00;
150;112;Min.;-0.13;0.16;1.60;0.00;0.00;0.00;
150;84;Max.;0.26;-0.16;-1.60;0.00;0.00;0.00;
150;84;Min.;-0.13;-0.44;-4.40;0.00;0.00;0.00;
151;113;Max.;1.45;0.44;4.39;0.00;0.00;0.00;
