Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-0.5;1.0;0.0;
2;0.6;-0.3;-0.6;0.0;0.1;-1.5;-1.2;
3;1.5;0.0;-1.5;0.1;-6.1;0.5;0.6;
4;2.0;0.0;-2.0;0.1;-3.2;0.0;0.0;
5;1.5;-0.1;-1.5;0.1;-6.1;-0.3;-0.6;
6;0.6;0.2;-0.6;0.0;0.1;1.5;1.1;
7;0.0;0.0;0.0;0.0;-0.5;-1.0;0.0;
8;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;
9;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;
10;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;
11;0.0;0.0;0.0;0.0;0.2;1.9;0.0;
12;3.2;-3.2;-0.5;0.1;-0.5;-1.7;-0.2;
13;21.0;-1.2;-1.5;20.9;-5.8;-4.5;0.5;
14;33.7;0.0;-2.0;33.7;-3.1;0.0;0.0;
15;21.0;1.2;-1.5;20.9;-5.7;4.5;-0.5;
16;3.2;3.2;-0.5;0.1;-0.5;1.7;0.2;
17;0.0;0.0;0.0;0.0;0.2;-1.9;0.0;
18;0.0;0.0;0.0;0.0;0.1;1.8;0.0;
19;3.0;-3.0;-0.7;0.1;-0.5;-1.7;-0.2;
20;20.0;-1.1;-1.6;19.9;-5.6;-4.2;0.5;
21;31.9;0.0;-2.1;31.8;-2.9;0.0;0.0;
22;20.0;1.1;-1.6;19.9;-5.5;4.2;-0.5;
23;3.0;2.9;-0.7;0.1;-0.5;1.7;0.2;
24;0.0;0.0;0.0;0.0;0.1;-1.8;0.0;
25;0.0;0.0;0.0;0.0;0.1;1.8;0.0;
26;3.1;-3.0;-0.7;0.1;-0.5;-1.7;-0.2;
27;20.2;-1.1;-1.7;20.1;-5.4;-4.3;0.5;
28;32.4;0.0;-2.2;32.3;-2.6;0.0;0.0;
29;20.2;1.1;-1.7;20.1;-5.3;4.3;-0.4;
30;3.1;3.0;-0.7;0.1;-0.5;1.7;0.2;
31;0.0;0.0;0.0;0.0;0.1;-1.8;0.0;
32;0.0;0.0;0.0;0.0;0.1;1.8;0.0;
33;3.1;-3.1;-0.7;0.1;-0.5;-1.7;-0.2;
34;20.3;-1.1;-1.7;20.2;-5.2;-4.3;0.4;
35;32.5;0.0;-2.3;32.4;-2.4;0.0;0.0;
36;20.3;1.1;-1.7;20.2;-5.1;4.3;-0.4;
37;3.1;3.0;-0.7;0.1;-0.5;1.7;0.2;
38;0.0;0.0;0.0;0.0;0.1;-1.8;0.0;
39;0.0;0.0;0.0;0.0;-1.2;1.4;0.0;
40;0.9;-0.4;-0.8;0.0;0.6;-1.7;-1.9;
41;1.8;0.0;-1.8;0.1;-5.9;0.6;0.7;
