Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-2.97;-1.27;8.58;0.00;0.00;-0.01;
7;;2.89;-1.28;8.39;0.00;0.00;0.01;
8;;0.70;-2.93;17.82;0.00;0.00;0.00;
9;;-0.54;-3.27;17.90;0.00;0.00;0.00;
10;;-0.08;-2.93;17.67;0.00;0.00;0.00;
11;;-52.87;0.11;95.15;0.00;0.00;-0.01;
17;;52.75;0.11;95.05;0.00;0.00;0.01;
18;;-47.34;-24.78;50.19;0.00;0.00;-0.01;
24;;47.46;-24.65;50.33;0.00;0.00;0.01;
25;;-50.67;0.09;70.77;0.00;0.00;-0.01;
31;;50.67;0.09;70.76;0.00;0.00;0.01;
32;;-52.16;0.09;70.84;0.00;0.00;-0.01;
38;;52.17;0.09;70.82;0.00;0.00;0.01;
39;;-5.58;-3.00;8.00;0.00;0.00;-0.01;
45;;5.49;-3.00;7.82;0.00;0.00;0.01;
46;;0.67;-6.86;18.10;0.00;0.00;0.00;
47;;-0.51;-7.65;18.30;0.00;0.00;0.00;
48;;-0.08;-6.86;17.95;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;52.75;0.11;95.05;0.00;0.00;0.01;
11;P_x;-52.87;0.11;95.15;0.00;0.00;-0.01;
11;P_y;-52.87;0.11;95.15;0.00;0.00;-0.01;
18;P_y;-47.34;-24.78;50.19;0.00;0.00;-0.01;
11;P_z;-52.87;0.11;95.15;0.00;0.00;-0.01;
45;P_z;5.49;-3.00;7.82;0.00;0.00;0.01;
1;M_x;-2.97;-1.27;8.58;0.00;0.00;-0.01;
1;M_x;-2.97;-1.27;8.58;0.00;0.00;-0.01;
1;M_y;-2.97;-1.27;8.58;0.00;0.00;-0.01;
1;M_y;-2.97;-1.27;8.58;0.00;0.00;-0.01;
17;M_z;52.75;0.11;95.05;0.00;0.00;0.01;
11;M_z;-52.87;0.11;95.15;0.00;0.00;-0.01;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;-87.90;714.46;Loads;;;
Σ;;0.00;-87.90;714.46;Support Forces;;;
