Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-68.50;1.00;-35.57;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-68.50;1.00;-35.57;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-66.68;0.28;-31.88;0.03;-50.61;-0.95;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-66.68;0.28;-31.88;0.03;-50.61;-0.95;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-63.69;-0.84;-28.69;0.11;-125.09;-0.19;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-63.69;-0.84;-28.69;0.11;-125.09;-0.19;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-29.65;-0.34;38.46;-0.18;-125.18;-0.12;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-29.39;-0.57;36.49;-0.23;-63.33;0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-9.05;0.10;18.26;0.05;30.06;0.97;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-8.87;0.15;16.34;0.05;57.31;0.72;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-7.33;-0.70;-0.58;-0.11;82.82;-1.14;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-7.35;-0.70;-0.76;-0.12;82.72;-1.01;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-27.71;-0.31;-19.28;-0.05;30.16;0.98;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-27.72;-0.31;-19.37;-0.05;28.71;1.00;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-68.32;0.99;35.58;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-68.32;0.99;35.58;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-66.50;0.28;31.89;-0.03;50.61;-0.95;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-66.50;0.28;31.89;-0.03;50.61;-0.95;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-63.51;-0.84;28.69;-0.11;125.10;-0.19;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-63.51;-0.84;28.69;-0.11;125.10;-0.19;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-44.39;0.65;-30.09;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-44.39;0.65;-30.09;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-42.57;0.19;-26.41;0.03;-42.38;-0.63;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-42.57;0.19;-26.41;0.03;-42.38;-0.63;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-39.55;-0.51;-23.28;0.09;-103.24;-0.18;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-39.55;-0.51;-23.28;0.09;-103.24;-0.18;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-42.29;-0.28;33.79;-0.17;-103.32;-0.10;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-42.05;-0.45;31.83;-0.21;-49.17;0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-48.46;0.16;13.61;0.05;28.50;0.93;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-48.28;0.21;11.66;0.05;48.41;0.59;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-46.73;-0.67;4.16;-0.12;57.70;-1.25;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-46.74;-0.67;3.98;-0.12;58.31;-1.13;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-40.37;-0.36;-14.62;-0.05;28.61;0.94;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-40.38;-0.36;-14.71;-0.05;27.51;0.97;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-44.26;0.65;30.08;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-44.26;0.65;30.08;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-42.43;0.19;26.41;-0.03;42.38;-0.63;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-42.43;0.19;26.41;-0.03;42.38;-0.63;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-39.42;-0.51;23.28;-0.09;103.23;-0.18;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-39.42;-0.51;23.28;-0.09;103.23;-0.18;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-45.29;0.66;-33.38;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-45.29;0.66;-33.38;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-43.47;0.19;-28.60;0.03;-46.50;-0.64;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-43.47;0.19;-28.60;0.03;-46.50;-0.64;Beam | 1 - IPE 500 | L : 4.000 m
