Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-4.14;-0.86;-1.69;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-4.14;-0.86;-1.69;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-3.69;-0.12;-0.52;0.01;-1.66;0.73;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-3.69;-0.12;-0.52;0.01;-1.66;0.73;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-3.62;0.00;-0.35;0.01;-1.77;0.75;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-2.93;0.55;0.43;0.00;-1.36;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-2.93;0.55;0.43;0.00;-1.36;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-2.93;0.55;0.43;0.00;-1.36;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-4.14;-0.86;-1.69;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-2.93;0.55;0.43;0.00;-1.36;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-4.14;-0.86;-1.69;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-2.93;0.55;0.43;0.00;-1.36;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-4.14;-0.86;-1.69;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-3.84;-0.37;-0.91;0.01;-1.30;0.61;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-2.93;0.55;0.43;0.00;-1.36;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-4.14;-0.86;-1.69;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;M_y;-3.38;0.31;0.10;0.00;-1.85;0.63;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-3.62;0.00;-0.35;0.01;-1.77;0.75;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-2.93;0.55;0.43;0.00;-1.36;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-2.93;0.55;0.43;0.01;0.00;0.75;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-4.14;-0.86;-1.69;0.00;-1.85;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;1.29;-0.45;2.00;0.01;-1.16;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;1.33;-0.16;1.60;0.00;1.82;0.57;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;1.33;-0.16;1.60;0.00;1.82;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;1.29;-0.45;2.00;0.01;-1.16;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;1.33;-0.16;1.60;0.00;1.82;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;1.29;-0.45;2.00;0.01;-1.16;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;1.29;-0.45;2.00;0.01;-1.16;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;1.33;-0.16;1.60;0.00;1.82;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;1.29;-0.45;2.00;0.01;-1.16;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;1.33;-0.16;1.60;0.00;1.82;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;1.33;-0.16;1.60;0.00;1.82;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;1.29;-0.45;2.00;0.01;-1.16;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;1.33;-0.16;1.60;0.00;1.82;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;1.29;-0.45;2.00;0.01;-1.16;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;1.33;-0.16;2.00;0.01;1.82;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;1.29;-0.45;1.60;0.00;-1.16;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;0.04;-0.51;2.47;0.02;-2.90;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;0.08;-0.23;2.08;0.02;0.69;0.20;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;0.08;-0.23;2.08;0.02;0.69;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;0.04;-0.51;2.47;0.02;-2.90;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;0.08;-0.23;2.08;0.02;0.69;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;0.04;-0.51;2.47;0.02;-2.90;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;0.04;-0.51;2.47;0.02;-2.90;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;0.08;-0.23;2.08;0.02;0.69;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.394;M_T;0.05;-0.49;2.37;0.02;-1.94;-0.25;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;0.08;-0.23;2.08;0.02;0.69;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;0.08;-0.23;2.08;0.02;0.69;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;0.04;-0.51;2.47;0.02;-2.90;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;0.08;-0.23;2.08;0.02;0.69;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;0.04;-0.51;2.47;0.02;-2.90;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;0.08;-0.23;2.47;0.02;0.69;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;0.04;-0.51;2.08;0.02;-2.90;-0.45;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;1.88;-0.60;3.00;0.01;-2.14;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;1.88;-0.60;2.97;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;N;1.88;-0.60;3.00;0.01;-2.14;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;N;1.88;-0.60;2.97;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_y;1.88;-0.60;2.97;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_y;1.88;-0.60;3.00;0.01;-2.14;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_z;1.88;-0.60;3.00;0.01;-2.14;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_z;1.88;-0.60;2.97;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_T;1.88;-0.60;2.97;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_T;1.88;-0.60;3.00;0.01;-2.14;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_y;1.88;-0.60;2.97;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_y;1.88;-0.60;3.00;0.01;-2.14;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_z;1.88;-0.60;2.97;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_z;1.88;-0.60;3.00;0.01;-2.14;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;1.88;-0.60;3.00;0.01;-1.70;-0.85;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;1.88;-0.60;2.97;0.01;-2.14;-0.94;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;1.96;-0.24;4.15;0.10;-2.92;-0.48;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;1.96;-0.23;4.14;0.10;-2.76;-0.47;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;1.96;-0.23;4.14;0.10;-2.76;-0.47;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;1.96;-0.23;4.13;0.10;-2.61;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;N;1.96;-0.24;4.15;0.10;-2.92;-0.48;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;N;1.96;-0.23;4.13;0.10;-2.61;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_y;1.96;-0.23;4.13;0.10;-2.61;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_y;1.96;-0.24;4.15;0.10;-2.92;-0.48;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_z;1.96;-0.24;4.15;0.10;-2.92;-0.48;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_z;1.96;-0.23;4.13;0.10;-2.61;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_T;1.96;-0.23;4.13;0.10;-2.61;-0.46;Beam | 3 - HEA 140 | L : 0.075 m
