Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.34;-0.52;-1.57;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.34;-0.52;-1.57;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.89;-0.07;-0.94;0.00;-1.89;0.44;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.89;-0.07;-0.94;0.00;-1.89;0.44;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-7.81;0.00;-0.84;0.00;-2.10;0.45;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.13;0.33;-0.46;0.00;-3.39;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.13;0.33;-0.46;0.00;-3.39;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-7.13;0.33;-0.46;0.00;-3.39;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.34;-0.52;-1.57;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-7.13;0.33;-0.46;0.00;-3.39;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.34;-0.52;-1.57;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;3.500;V_z;-7.28;0.32;-0.46;0.00;-3.16;0.12;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.34;-0.52;-1.57;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-8.04;-0.22;-1.15;0.00;-1.36;0.37;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-7.13;0.33;-0.46;0.00;-3.39;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-8.34;-0.52;-1.57;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-7.13;0.33;-0.46;0.00;-3.39;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-7.81;0.00;-0.84;0.00;-2.10;0.45;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-7.13;0.33;-0.46;0.00;-3.39;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-7.13;0.33;-0.46;0.00;0.00;0.45;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-8.34;-0.52;-1.57;0.00;-3.39;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-0.24;-0.27;4.67;0.01;-3.52;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-0.20;-0.09;4.26;0.00;3.85;0.34;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-0.20;-0.09;4.26;0.00;3.85;0.34;Beam | 3 - HEA 140 | L : 1.650 m
