Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
127;60;Min.;-0.12;-0.63;-6.36;0.00;0.00;0.00;
128;69;Max.;0.71;0.63;6.36;0.00;0.00;0.00;
128;69;Min.;-0.25;0.22;2.16;0.00;0.00;0.00;
128;95;Max.;0.71;-0.22;-2.16;0.00;0.00;0.00;
128;95;Min.;-0.25;-0.63;-6.36;0.00;0.00;0.00;
129;30;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
129;30;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
129;23;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
129;23;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
130;71;Max.;0.39;0.63;6.36;0.00;0.00;0.00;
130;71;Min.;-0.09;0.22;2.16;0.00;0.00;0.00;
130;96;Max.;0.39;-0.22;-2.16;0.00;0.00;0.00;
130;96;Min.;-0.09;-0.63;-6.36;0.00;0.00;0.00;
131;72;Max.;2.12;0.63;6.35;0.00;0.00;0.00;
131;72;Min.;-0.50;0.22;2.16;0.00;0.00;0.00;
131;97;Max.;2.12;-0.22;-2.16;0.00;0.00;0.00;
131;97;Min.;-0.50;-0.63;-6.35;0.00;0.00;0.00;
132;73;Max.;0.31;0.63;6.36;0.00;0.00;0.00;
132;73;Min.;-0.09;0.22;2.16;0.00;0.00;0.00;
132;98;Max.;0.31;-0.22;-2.16;0.00;0.00;0.00;
132;98;Min.;-0.09;-0.63;-6.36;0.00;0.00;0.00;
133;74;Max.;0.33;0.63;6.36;0.00;0.00;0.00;
133;74;Min.;-0.12;0.22;2.16;0.00;0.00;0.00;
133;99;Max.;0.33;-0.22;-2.16;0.00;0.00;0.00;
133;99;Min.;-0.12;-0.63;-6.36;0.00;0.00;0.00;
134;89;Max.;0.37;0.38;4.04;0.00;0.00;0.00;
134;89;Min.;-0.19;0.14;1.37;0.00;0.00;0.00;
134;63;Max.;0.37;-0.14;-1.37;0.00;0.00;0.00;
134;63;Min.;-0.19;-0.38;-4.04;0.00;0.00;0.00;
135;76;Max.;0.36;0.38;4.04;0.00;0.00;0.00;
135;76;Min.;-0.19;0.14;1.37;0.00;0.00;0.00;
135;100;Max.;0.36;-0.14;-1.37;0.00;0.00;0.00;
135;100;Min.;-0.19;-0.38;-4.04;0.00;0.00;0.00;
148;111;Max.;0.66;0.63;6.36;0.00;0.00;0.00;
148;111;Min.;-0.36;0.22;2.16;0.00;0.00;0.00;
148;83;Max.;0.66;-0.22;-2.16;0.00;0.00;0.00;
148;83;Min.;-0.36;-0.63;-6.36;0.00;0.00;0.00;
149;12;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
149;12;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
149;19;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
149;19;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
150;112;Max.;0.39;0.63;6.36;0.00;0.00;0.00;
150;112;Min.;-0.20;0.22;2.16;0.00;0.00;0.00;
150;84;Max.;0.39;-0.22;-2.16;0.00;0.00;0.00;
150;84;Min.;-0.20;-0.63;-6.36;0.00;0.00;0.00;
151;113;Max.;2.17;0.63;6.35;0.00;0.00;0.00;
151;113;Min.;-1.08;0.22;2.16;0.00;0.00;0.00;
151;85;Max.;2.17;-0.22;-2.16;0.00;0.00;0.00;
151;85;Min.;-1.08;-0.63;-6.35;0.00;0.00;0.00;
152;114;Max.;0.29;0.63;6.36;0.00;0.00;0.00;
152;114;Min.;-0.16;0.22;2.16;0.00;0.00;0.00;
152;86;Max.;0.29;-0.22;-2.16;0.00;0.00;0.00;
152;86;Min.;-0.16;-0.63;-6.36;0.00;0.00;0.00;
153;115;Max.;0.33;0.63;6.36;0.00;0.00;0.00;
153;115;Min.;-0.11;0.22;2.16;0.00;0.00;0.00;
153;87;Max.;0.33;-0.22;-2.16;0.00;0.00;0.00;
153;87;Min.;-0.11;-0.63;-6.36;0.00;0.00;0.00;
154;95;Max.;0.69;0.63;6.36;0.00;0.00;0.00;
154;95;Min.;-0.37;0.22;2.16;0.00;0.00;0.00;
154;123;Max.;0.69;-0.22;-2.16;0.00;0.00;0.00;
154;123;Min.;-0.37;-0.63;-6.36;0.00;0.00;0.00;
155;23;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
155;23;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
155;16;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
155;16;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
156;96;Max.;0.38;0.63;6.36;0.00;0.00;0.00;
156;96;Min.;-0.19;0.22;2.16;0.00;0.00;0.00;
156;124;Max.;0.38;-0.22;-2.16;0.00;0.00;0.00;
156;124;Min.;-0.19;-0.63;-6.36;0.00;0.00;0.00;
157;97;Max.;2.13;0.63;6.35;0.00;0.00;0.00;
157;97;Min.;-1.06;0.22;2.16;0.00;0.00;0.00;
157;125;Max.;2.13;-0.22;-2.16;0.00;0.00;0.00;
157;125;Min.;-1.06;-0.63;-6.35;0.00;0.00;0.00;
158;98;Max.;0.30;0.63;6.36;0.00;0.00;0.00;
158;98;Min.;-0.16;0.22;2.16;0.00;0.00;0.00;
158;126;Max.;0.30;-0.22;-2.16;0.00;0.00;0.00;
158;126;Min.;-0.16;-0.63;-6.36;0.00;0.00;0.00;
159;99;Max.;0.32;0.63;6.36;0.00;0.00;0.00;
159;99;Min.;-0.11;0.22;2.16;0.00;0.00;0.00;
