Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;;-22.72;-0.11;2.54;0.00;0.00;0.00;
8;4;;-21.87;-0.10;2.83;0.00;0.00;0.00;
9;5;;-22.50;-0.10;2.54;0.00;0.00;0.00;
40;41;;-22.58;-0.11;1.10;0.00;0.00;0.00;
41;42;;-21.68;-0.10;1.22;0.00;0.00;0.00;
42;43;;-22.34;-0.10;1.10;0.00;0.00;0.00;
90;55;;0.00;0.63;6.33;0.00;0.00;0.00;
90;49;;0.00;-0.63;-6.33;0.00;0.00;0.00;
92;26;;0.00;0.33;3.28;0.00;0.00;0.00;
92;33;;0.00;-0.33;-3.28;0.00;0.00;0.00;
93;57;;0.01;0.63;6.33;0.00;0.00;0.00;
93;50;;0.01;-0.63;-6.33;0.00;0.00;0.00;
95;58;;0.03;0.63;6.33;0.00;0.00;0.00;
95;51;;0.03;-0.63;-6.33;0.00;0.00;0.00;
97;59;;0.01;0.63;6.33;0.00;0.00;0.00;
97;54;;0.01;-0.63;-6.33;0.00;0.00;0.00;
99;60;;0.01;0.63;6.33;0.00;0.00;0.00;
99;53;;0.01;-0.63;-6.33;0.00;0.00;0.00;
101;83;;-0.10;0.63;6.33;0.00;0.00;0.00;
101;55;;-0.10;-0.63;-6.33;0.00;0.00;0.00;
102;64;;0.00;0.63;6.33;0.00;0.00;0.00;
102;69;;0.00;-0.63;-6.33;0.00;0.00;0.00;
103;37;;0.00;0.33;3.28;0.00;0.00;0.00;
103;30;;0.00;-0.33;-3.28;0.00;0.00;0.00;
104;65;;0.01;0.63;6.33;0.00;0.00;0.00;
104;71;;0.01;-0.63;-6.33;0.00;0.00;0.00;
105;66;;0.03;0.63;6.33;0.00;0.00;0.00;
105;72;;0.03;-0.63;-6.33;0.00;0.00;0.00;
106;68;;0.01;0.63;6.33;0.00;0.00;0.00;
106;73;;0.01;-0.63;-6.33;0.00;0.00;0.00;
107;67;;0.01;0.63;6.33;0.00;0.00;0.00;
107;74;;0.01;-0.63;-6.33;0.00;0.00;0.00;
108;19;;0.00;0.33;3.28;0.00;0.00;0.00;
108;26;;0.00;-0.33;-3.28;0.00;0.00;0.00;
119;63;;0.04;0.38;3.83;0.00;0.00;0.00;
119;52;;0.04;-0.38;-3.83;0.00;0.00;0.00;
121;62;;0.04;0.38;3.83;0.00;0.00;0.00;
121;76;;0.04;-0.38;-3.83;0.00;0.00;0.00;
124;84;;-0.06;0.63;6.33;0.00;0.00;0.00;
124;57;;-0.06;-0.63;-6.33;0.00;0.00;0.00;
125;85;;-0.31;0.63;6.33;0.00;0.00;0.00;
125;58;;-0.31;-0.63;-6.33;0.00;0.00;0.00;
126;86;;-0.04;0.63;6.33;0.00;0.00;0.00;
126;59;;-0.04;-0.63;-6.33;0.00;0.00;0.00;
127;87;;-0.02;0.63;6.33;0.00;0.00;0.00;
127;60;;-0.02;-0.63;-6.33;0.00;0.00;0.00;
128;69;;-0.11;0.63;6.33;0.00;0.00;0.00;
128;95;;-0.11;-0.63;-6.33;0.00;0.00;0.00;
