Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
1;1;0.000;;-0.01;0.02;-0.09;-1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-0.01;0.02;-0.09;-1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-0.01;0.00;-0.02;-1.7;-1.5;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-0.01;0.00;-0.02;-1.7;-1.5;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-0.01;0.00;-0.01;-1.6;-1.5;-2.1;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-0.01;0.00;0.00;-1.4;-1.6;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-0.01;0.00;0.00;-1.4;-1.6;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;-0.01;0.03;-0.6;-0.8;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-0.01;-0.01;0.03;-0.6;-0.8;0.2;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;ε_x;-0.01;-0.01;0.03;-0.6;-0.8;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;ε_x;-0.01;0.02;-0.09;-1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xy;-0.01;0.02;-0.09;-1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xy;-0.01;-0.01;0.03;-0.6;-0.8;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;γ_xz;-0.01;-0.01;0.03;-0.6;-0.8;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;γ_xz;-0.01;0.02;-0.09;-1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_x;-0.01;-0.01;0.03;-0.6;-0.8;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;κ_x;-0.01;0.01;-0.04;-1.8;-1.2;-1.7;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;κ_y;-0.01;0.02;-0.09;-1.2;0.0;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;κ_y;-0.01;0.00;0.00;-1.4;-1.6;-2.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;κ_z;-0.01;-0.01;0.03;-0.6;-0.8;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;κ_z;-0.01;0.00;-0.01;-1.6;-1.5;-2.1;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-0.01;0.02;0.03;-0.6;0.0;0.2;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-0.01;-0.01;-0.09;-1.8;-1.6;-2.1;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;0.01;0.01;0.09;-10.0;-1.0;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;0.01;0.00;0.08;-7.0;2.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;ε_x;0.01;0.00;0.08;-7.0;2.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;ε_x;0.01;0.01;0.09;-10.0;-1.0;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;γ_xy;0.01;0.01;0.09;-10.0;-1.0;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;γ_xy;0.01;0.00;0.08;-7.0;2.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;γ_xz;0.01;0.01;0.09;-10.0;-1.0;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;γ_xz;0.01;0.00;0.08;-7.0;2.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_x;0.01;0.00;0.08;-7.0;2.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_x;0.01;0.01;0.09;-10.0;-1.0;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_y;0.01;0.00;0.08;-7.0;2.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_y;0.01;0.01;0.09;-10.0;-1.0;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;κ_z;0.01;0.01;0.09;-10.0;-1.0;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;κ_z;0.01;0.00;0.08;-7.0;2.2;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;0.01;0.01;0.09;-7.0;2.2;0.0;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;0.01;0.00;0.08;-10.0;-1.0;-2.0;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;0.01;0.01;0.11;-8.1;-3.2;2.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;0.01;0.01;0.10;-7.9;0.8;-0.7;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;ε_x;0.01;0.01;0.10;-7.9;0.8;-0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;ε_x;0.01;0.01;0.11;-8.1;-3.2;2.5;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;γ_xy;0.01;0.01;0.11;-8.1;-3.2;2.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;γ_xy;0.01;0.01;0.10;-7.9;0.8;-0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;γ_xz;0.01;0.01;0.11;-8.1;-3.2;2.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;γ_xz;0.01;0.01;0.10;-7.9;0.8;-0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_x;0.01;0.01;0.10;-7.9;0.8;-0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.591;κ_x;0.01;0.01;0.11;-8.5;-1.6;1.1;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_y;0.01;0.01;0.10;-7.9;0.8;-0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_y;0.01;0.01;0.11;-8.1;-3.2;2.5;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;κ_z;0.01;0.01;0.11;-8.1;-3.2;2.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;κ_z;0.01;0.01;0.10;-7.9;0.8;-0.7;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;0.01;0.01;0.11;-7.9;0.8;2.5;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;0.01;0.01;0.10;-8.5;-3.2;-0.7;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;0.01;0.01;0.14;-10.8;-2.4;3.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;0.01;0.01;0.14;-11.1;-1.9;2.7;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;ε_x;0.01;0.01;0.14;-10.8;-2.4;3.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;ε_x;0.01;0.01;0.14;-11.1;-1.9;2.7;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xy;0.01;0.01;0.14;-10.8;-2.4;3.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xy;0.01;0.01;0.14;-11.1;-1.9;2.7;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;γ_xz;0.01;0.01;0.14;-10.8;-2.4;3.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;γ_xz;0.01;0.01;0.14;-11.1;-1.9;2.7;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;κ_x;0.01;0.01;0.14;-10.8;-2.4;3.0;Beam | 3 - HEA 140 | L : 0.150 m
