Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-1.7;0.3;0.0;
2;0.0;0.0;0.0;0.0;1.5;-1.0;-2.0;
3;0.2;0.2;0.0;0.1;-0.9;0.4;0.4;
4;0.2;0.1;0.0;0.1;0.0;0.0;0.2;
5;0.1;0.1;0.0;0.1;-0.6;-0.2;-0.2;
6;0.4;0.4;0.0;0.0;0.6;1.4;1.0;
7;0.0;0.0;0.0;0.0;-0.7;-0.9;0.0;
8;0.0;0.0;0.0;0.0;-1.3;0.0;0.0;
9;0.0;0.0;0.0;0.0;-1.4;0.0;0.0;
10;0.0;0.0;0.0;0.0;-0.7;0.0;0.0;
11;0.0;0.0;0.0;0.0;0.3;1.3;0.0;
12;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;
13;20.9;0.7;0.1;20.9;0.0;-4.3;0.0;
14;32.6;1.8;0.1;32.6;0.1;0.2;0.0;
15;20.0;3.0;0.1;19.7;-0.1;4.4;0.0;
16;4.8;4.8;0.1;0.1;-0.3;1.4;0.0;
17;0.0;0.0;0.0;0.0;0.3;-2.3;0.0;
18;0.0;0.0;0.0;0.0;0.3;1.3;0.0;
19;1.3;-1.3;0.1;0.1;-0.3;-2.0;0.0;
20;20.9;0.7;0.1;20.9;0.0;-4.3;0.0;
21;32.7;1.8;0.1;32.6;0.1;0.2;0.0;
22;20.0;3.0;0.1;19.8;0.0;4.4;0.0;
23;4.8;4.8;0.0;0.1;-0.3;1.4;0.0;
24;0.0;0.0;0.0;0.0;0.3;-2.3;0.0;
25;0.0;0.0;0.0;0.0;0.3;1.3;0.0;
26;1.2;-1.2;0.1;0.1;-0.2;-2.0;0.0;
27;20.6;0.7;0.2;20.6;-0.2;-4.2;0.0;
28;32.1;1.8;0.2;32.1;-0.1;0.2;0.0;
29;19.7;2.9;0.1;19.4;-0.1;4.3;0.0;
30;4.8;4.8;0.1;0.1;-0.2;1.3;0.0;
31;0.0;0.0;0.0;0.0;0.3;-2.3;0.0;
32;0.0;0.0;0.0;0.0;0.3;1.3;0.0;
33;1.2;-1.2;0.2;0.1;-0.2;-2.0;0.0;
34;20.6;0.7;0.3;20.6;-0.3;-4.2;0.0;
35;32.1;1.8;0.2;32.1;-0.3;0.2;0.0;
36;19.6;2.9;0.2;19.4;-0.3;4.3;0.0;
37;4.8;4.8;0.1;0.1;-0.2;1.3;0.0;
38;0.0;0.0;0.0;0.0;0.3;-2.3;0.0;
39;0.0;0.0;0.0;0.0;2.0;0.3;0.0;
40;0.3;0.0;0.2;0.0;-1.7;-1.0;2.0;
41;0.4;0.2;0.3;0.1;0.5;0.4;-0.3;
42;0.4;0.1;0.3;0.1;-0.1;0.0;-0.2;
43;0.3;0.1;0.2;0.1;0.2;-0.2;0.2;
44;0.4;0.4;0.2;0.0;-0.8;1.4;-1.0;
45;0.0;0.0;0.0;0.0;1.0;-0.9;0.0;
46;0.0;0.0;0.0;0.0;1.6;0.0;0.0;
47;0.0;0.0;0.0;0.0;1.8;0.0;0.0;
48;0.0;0.0;0.0;0.0;1.0;0.0;0.0;
49;5.4;-0.7;0.2;5.4;-0.4;-3.9;0.0;
50;12.7;0.0;0.2;12.7;-0.4;-4.6;0.1;
51;20.3;0.7;0.3;20.2;-0.3;-4.3;0.0;
52;32.1;1.8;0.2;32.1;-0.3;0.0;0.0;
53;30.7;1.7;0.3;30.7;-0.4;-1.7;0.0;
54;26.6;1.3;0.3;26.6;-0.4;-3.2;0.0;
55;5.4;-0.7;0.1;5.4;-0.2;-3.9;0.0;
57;12.7;0.0;0.2;12.7;-0.2;-4.6;0.0;
58;20.3;0.7;0.2;20.3;-0.2;-4.3;0.0;
59;26.6;1.3;0.2;26.6;-0.2;-3.2;0.0;
60;30.7;1.7;0.2;30.7;-0.1;-1.7;0.0;
62;32.1;1.8;0.2;32.0;-0.3;0.3;0.0;
63;32.1;1.8;0.2;32.1;-0.1;0.0;0.0;
64;6.3;4.4;0.1;4.6;-0.3;3.6;0.0;
65;12.2;3.7;0.2;11.6;-0.3;4.5;0.0;
66;19.3;3.0;0.2;19.1;-0.3;4.3;0.0;
67;30.2;1.9;0.2;30.1;-0.3;2.0;0.0;
68;25.7;2.4;0.2;25.6;-0.3;3.4;-0.1;
69;6.3;4.4;0.1;4.6;-0.2;3.6;0.0;
71;12.2;3.7;0.1;11.6;-0.2;4.5;0.0;
72;19.3;3.0;0.1;19.1;-0.1;4.3;0.0;
73;25.8;2.4;0.1;25.6;-0.1;3.4;0.0;
74;30.2;1.9;0.2;30.2;-0.1;2.0;0.0;
76;32.1;1.8;0.2;32.0;-0.1;0.3;0.0;
83;5.5;-0.8;0.1;5.4;-0.1;-4.0;0.0;
84;12.9;-0.1;0.1;12.9;0.0;-4.7;0.0;
85;20.6;0.7;0.1;20.6;0.0;-4.3;0.0;
86;27.0;1.3;0.1;27.0;0.1;-3.3;0.0;
87;31.3;1.7;0.1;31.2;0.1;-1.7;0.0;
89;32.7;1.8;0.1;32.6;0.1;0.0;0.0;
95;6.4;4.4;0.1;4.7;-0.1;3.6;0.0;
96;12.4;3.7;0.1;11.8;-0.1;4.6;0.0;
97;19.7;3.0;0.1;19.4;0.0;4.4;0.0;
98;26.2;2.4;0.1;26.1;0.1;3.5;0.0;
99;30.7;1.9;0.1;30.7;0.1;2.0;0.0;
100;32.6;1.8;0.1;32.6;0.1;0.3;0.0;
111;5.5;-0.8;0.1;5.4;-0.1;-4.0;0.0;
112;12.9;-0.1;0.1;12.9;0.0;-4.7;0.0;
113;20.6;0.7;0.1;20.5;0.0;-4.3;0.0;
114;27.0;1.3;0.1;27.0;0.1;-3.3;0.0;
115;31.2;1.7;0.1;31.1;0.2;-1.7;0.0;
116;5.3;0.2;4.5;2.8;-11.9;-1.2;1.9;
117;32.6;1.8;0.1;32.6;0.1;0.0;0.0;
118;4.7;0.7;3.9;2.7;-10.3;1.3;0.1;
119;0.8;0.3;0.8;0.1;-1.7;0.6;-0.2;
120;2.6;0.1;2.0;1.6;-4.9;-1.1;1.0;
121;3.1;0.5;2.3;1.9;-6.0;0.8;0.2;
122;0.6;0.2;0.5;0.1;-1.1;0.3;-0.3;
123;6.4;4.4;0.1;4.7;-0.2;3.6;0.0;
124;12.3;3.7;0.1;11.8;-0.1;4.6;0.0;
125;19.6;3.0;0.1;19.4;-0.1;4.4;0.0;
126;26.1;2.4;0.1;26.0;0.0;3.4;0.0;
127;30.7;1.9;0.1;30.6;0.1;2.0;0.0;
128;32.6;1.8;0.1;32.5;0.1;0.3;0.0;
129;3.9;0.0;2.5;3.0;-6.7;1.2;-1.1;
130;3.6;-0.4;2.2;2.8;-5.9;-1.4;-0.1;
131;0.5;0.0;0.5;0.1;-1.0;-0.4;0.1;
132;2.0;0.2;1.0;1.7;-2.5;1.1;-0.5;
133;2.4;-0.2;1.1;2.1;-2.6;-0.9;0.0;
134;0.4;0.1;0.4;0.2;-0.7;-0.4;-0.2;
139;5.1;0.2;-4.2;2.8;11.4;-1.2;-1.9;
140;4.5;0.7;-3.6;2.7;9.9;1.3;0.0;
141;0.5;0.3;-0.5;0.1;1.4;0.6;0.2;
142;2.3;0.1;-1.6;1.6;4.6;-1.1;-1.0;
143;2.8;0.5;-2.0;1.9;5.7;0.8;-0.2;
145;0.3;0.2;-0.2;0.1;1.0;0.3;0.3;
151;3.8;0.0;-2.2;3.0;6.2;1.2;1.0;
152;3.4;-0.4;-2.0;2.8;5.5;-1.4;0.0;
153;0.3;0.0;-0.2;0.1;0.7;-0.4;-0.2;
154;1.9;0.2;-0.7;1.7;2.2;1.1;0.5;
155;2.2;-0.2;-0.7;2.1;2.3;-0.9;0.0;
156;0.2;0.1;-0.1;0.2;0.6;-0.4;0.2;
Total;32.7;4.8;4.5;32.6;11.4;4.6;2.0;
max/min;0.0;-1.3;-4.2;0.0;-11.9;-4.7;-2.0;
