Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
7;3;;0.0;0.0;0.0;0.0;0.0;-0.1;-0.3;
8;4;;0.0;0.0;0.0;0.0;0.0;0.0;0.1;
9;5;;0.0;0.0;0.0;0.0;0.0;-0.1;0.1;
40;41;;0.0;0.0;0.0;0.0;0.0;0.0;-0.3;
41;42;;0.0;0.0;0.0;0.0;0.0;0.1;0.1;
42;43;;0.0;0.0;0.0;0.0;0.0;0.0;0.1;
90;55;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
90;49;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
92;26;;0.0;0.0;0.0;0.0;0.0;-1.9;-5.0;
92;33;;0.0;0.0;0.0;0.0;0.0;-1.6;-5.0;
93;57;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
93;50;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
95;58;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
95;51;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
97;59;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
97;54;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.0;
99;60;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
99;53;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.0;
101;83;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
101;55;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
102;64;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
102;69;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
103;37;;0.0;0.0;0.0;0.0;0.0;-1.6;-5.0;
103;30;;0.0;0.0;0.0;0.0;0.0;-1.9;-5.0;
104;65;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
104;71;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
105;66;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
105;72;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
106;68;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.0;
106;73;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
107;67;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.0;
107;74;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
108;19;;0.0;0.0;0.0;0.0;0.0;-1.9;-5.0;
108;26;;0.0;0.0;0.0;0.0;0.0;-1.6;-5.0;
119;63;;0.0;0.0;0.0;0.0;0.0;-2.0;-5.7;
119;52;;0.0;0.0;0.0;0.0;0.0;-2.0;-5.7;
121;62;;0.0;0.0;0.0;0.0;0.0;-2.0;-5.7;
121;76;;0.0;0.0;0.0;0.0;0.0;-2.0;-5.7;
124;84;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
124;57;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.0;
125;85;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.1;
125;58;;0.0;0.0;0.0;0.0;0.0;-3.2;-9.0;
126;86;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
126;59;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
127;87;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
127;60;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
128;69;;0.0;0.0;0.0;0.0;0.0;-3.1;-9.0;
128;95;;0.0;0.0;0.0;0.0;0.0;-3.3;-9.1;
