Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;;-16.50;-0.08;-1.82;0.00;0.00;0.00;
8;4;;-16.02;-0.08;-2.03;0.00;0.00;0.00;
9;5;;-15.82;-0.08;-1.82;0.00;0.00;0.00;
40;41;;-16.75;-0.08;-4.23;0.00;0.00;0.00;
41;42;;-16.38;-0.08;-4.72;0.00;0.00;0.00;
42;43;;-16.10;-0.08;-4.22;0.00;0.00;0.00;
90;55;;-0.36;0.42;4.25;0.00;0.00;0.00;
90;49;;-0.36;-0.42;-4.25;0.00;0.00;0.00;
92;26;;0.00;0.22;2.24;0.00;0.00;0.00;
92;33;;0.00;-0.22;-2.24;0.00;0.00;0.00;
93;57;;-0.18;0.42;4.25;0.00;0.00;0.00;
93;50;;-0.18;-0.42;-4.25;0.00;0.00;0.00;
95;58;;-1.07;0.42;4.25;0.00;0.00;0.00;
95;51;;-1.07;-0.42;-4.25;0.00;0.00;0.00;
97;59;;-0.17;0.42;4.25;0.00;0.00;0.00;
97;54;;-0.17;-0.42;-4.25;0.00;0.00;0.00;
99;60;;-0.16;0.42;4.25;0.00;0.00;0.00;
99;53;;-0.16;-0.42;-4.25;0.00;0.00;0.00;
101;83;;-0.25;0.42;4.25;0.00;0.00;0.00;
101;55;;-0.25;-0.42;-4.25;0.00;0.00;0.00;
102;64;;-0.37;0.42;4.25;0.00;0.00;0.00;
102;69;;-0.37;-0.42;-4.25;0.00;0.00;0.00;
103;37;;0.00;0.22;2.24;0.00;0.00;0.00;
103;30;;0.00;-0.22;-2.24;0.00;0.00;0.00;
104;65;;-0.18;0.42;4.25;0.00;0.00;0.00;
104;71;;-0.18;-0.42;-4.25;0.00;0.00;0.00;
105;66;;-1.05;0.42;4.25;0.00;0.00;0.00;
105;72;;-1.05;-0.42;-4.25;0.00;0.00;0.00;
106;68;;-0.17;0.42;4.25;0.00;0.00;0.00;
106;73;;-0.17;-0.42;-4.25;0.00;0.00;0.00;
107;67;;-0.16;0.42;4.25;0.00;0.00;0.00;
107;74;;-0.16;-0.42;-4.25;0.00;0.00;0.00;
