Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;;-17.61;-0.08;-1.20;0.00;0.00;0.00;
8;4;;-14.54;-0.07;-1.74;0.00;0.00;0.00;
9;5;;-15.41;-0.07;-1.92;0.00;0.00;0.00;
40;41;;-17.61;-0.08;1.20;0.00;0.00;0.00;
41;42;;-14.54;-0.07;1.74;0.00;0.00;0.00;
42;43;;-15.41;-0.07;1.92;0.00;0.00;0.00;
90;55;;0.14;0.44;4.38;0.00;0.00;0.00;
90;49;;0.14;-0.44;-4.38;0.00;0.00;0.00;
92;26;;0.00;0.23;2.27;0.00;0.00;0.00;
92;33;;0.00;-0.23;-2.27;0.00;0.00;0.00;
93;57;;0.09;0.44;4.38;0.00;0.00;0.00;
93;50;;0.09;-0.44;-4.38;0.00;0.00;0.00;
95;58;;0.50;0.44;4.38;0.00;0.00;0.00;
95;51;;0.50;-0.44;-4.38;0.00;0.00;0.00;
97;59;;0.07;0.44;4.38;0.00;0.00;0.00;
97;54;;0.07;-0.44;-4.38;0.00;0.00;0.00;
99;60;;0.05;0.44;4.38;0.00;0.00;0.00;
99;53;;0.05;-0.44;-4.38;0.00;0.00;0.00;
101;83;;0.14;0.44;4.38;0.00;0.00;0.00;
101;55;;0.14;-0.44;-4.38;0.00;0.00;0.00;
102;64;;0.28;0.44;4.40;0.00;0.00;0.00;
102;69;;0.28;-0.44;-4.40;0.00;0.00;0.00;
103;37;;0.00;0.23;2.27;0.00;0.00;0.00;
103;30;;0.00;-0.23;-2.27;0.00;0.00;0.00;
104;65;;0.15;0.44;4.40;0.00;0.00;0.00;
104;71;;0.15;-0.44;-4.40;0.00;0.00;0.00;
105;66;;0.85;0.44;4.39;0.00;0.00;0.00;
105;72;;0.85;-0.44;-4.39;0.00;0.00;0.00;
106;68;;0.12;0.44;4.40;0.00;0.00;0.00;
106;73;;0.12;-0.44;-4.40;0.00;0.00;0.00;
107;67;;0.13;0.44;4.40;0.00;0.00;0.00;
107;74;;0.13;-0.44;-4.40;0.00;0.00;0.00;
108;19;;0.00;0.23;2.27;0.00;0.00;0.00;
108;26;;0.00;-0.23;-2.27;0.00;0.00;0.00;
119;63;;0.12;0.27;2.80;0.00;0.00;0.00;
119;52;;0.12;-0.27;-2.80;0.00;0.00;0.00;
121;62;;0.14;0.27;2.67;0.00;0.00;0.00;
121;76;;0.14;-0.27;-2.67;0.00;0.00;0.00;
124;84;;0.09;0.44;4.38;0.00;0.00;0.00;
124;57;;0.09;-0.44;-4.38;0.00;0.00;0.00;
125;85;;0.50;0.44;4.38;0.00;0.00;0.00;
125;58;;0.50;-0.44;-4.38;0.00;0.00;0.00;
126;86;;0.07;0.44;4.38;0.00;0.00;0.00;
126;59;;0.07;-0.44;-4.38;0.00;0.00;0.00;
127;87;;0.05;0.44;4.38;0.00;0.00;0.00;
127;60;;0.05;-0.44;-4.38;0.00;0.00;0.00;
128;69;;0.28;0.44;4.40;0.00;0.00;0.00;
128;95;;0.28;-0.44;-4.40;0.00;0.00;0.00;
129;30;;0.00;0.23;2.27;0.00;0.00;0.00;
129;23;;0.00;-0.23;-2.27;0.00;0.00;0.00;
130;71;;0.16;0.44;4.40;0.00;0.00;0.00;
130;96;;0.16;-0.44;-4.40;0.00;0.00;0.00;
131;72;;0.85;0.44;4.39;0.00;0.00;0.00;
131;97;;0.85;-0.44;-4.39;0.00;0.00;0.00;
132;73;;0.12;0.44;4.40;0.00;0.00;0.00;
132;98;;0.12;-0.44;-4.40;0.00;0.00;0.00;
133;74;;0.13;0.44;4.40;0.00;0.00;0.00;
133;99;;0.13;-0.44;-4.40;0.00;0.00;0.00;
134;89;;0.12;0.27;2.80;0.00;0.00;0.00;
134;63;;0.12;-0.27;-2.80;0.00;0.00;0.00;
135;76;;0.14;0.27;2.67;0.00;0.00;0.00;
135;100;;0.14;-0.27;-2.67;0.00;0.00;0.00;
148;111;;0.13;0.44;4.38;0.00;0.00;0.00;
148;83;;0.13;-0.44;-4.38;0.00;0.00;0.00;
149;12;;0.00;0.23;2.27;0.00;0.00;0.00;
149;19;;0.00;-0.23;-2.27;0.00;0.00;0.00;
150;112;;0.09;0.44;4.38;0.00;0.00;0.00;
150;84;;0.09;-0.44;-4.38;0.00;0.00;0.00;
151;113;;0.50;0.44;4.38;0.00;0.00;0.00;
151;85;;0.50;-0.44;-4.38;0.00;0.00;0.00;
152;114;;0.07;0.44;4.38;0.00;0.00;0.00;
152;86;;0.07;-0.44;-4.38;0.00;0.00;0.00;
153;115;;0.05;0.44;4.38;0.00;0.00;0.00;
153;87;;0.05;-0.44;-4.38;0.00;0.00;0.00;
154;95;;0.27;0.44;4.40;0.00;0.00;0.00;
154;123;;0.27;-0.44;-4.40;0.00;0.00;0.00;
155;23;;0.00;0.23;2.27;0.00;0.00;0.00;
155;16;;0.00;-0.23;-2.27;0.00;0.00;0.00;
156;96;;0.15;0.44;4.40;0.00;0.00;0.00;
156;124;;0.15;-0.44;-4.40;0.00;0.00;0.00;
157;97;;0.85;0.44;4.39;0.00;0.00;0.00;
157;125;;0.85;-0.44;-4.39;0.00;0.00;0.00;
158;98;;0.12;0.44;4.40;0.00;0.00;0.00;
158;126;;0.12;-0.44;-4.40;0.00;0.00;0.00;
159;99;;0.13;0.44;4.40;0.00;0.00;0.00;
159;127;;0.13;-0.44;-4.40;0.00;0.00;0.00;
160;117;;0.11;0.27;2.80;0.00;0.00;0.00;
160;89;;0.11;-0.27;-2.80;0.00;0.00;0.00;
161;100;;0.13;0.27;2.67;0.00;0.00;0.00;
161;128;;0.13;-0.27;-2.67;0.00;0.00;0.00;
174;139;;0.13;0.44;4.38;0.00;0.00;0.00;
174;111;;0.13;-0.44;-4.38;0.00;0.00;0.00;
175;2;;0.00;0.23;2.27;0.00;0.00;0.00;
175;12;;0.00;-0.23;-2.27;0.00;0.00;0.00;
176;140;;0.09;0.44;4.38;0.00;0.00;0.00;
176;112;;0.09;-0.44;-4.38;0.00;0.00;0.00;
177;141;;0.51;0.44;4.38;0.00;0.00;0.00;
177;113;;0.51;-0.44;-4.38;0.00;0.00;0.00;
178;142;;0.06;0.44;4.38;0.00;0.00;0.00;
178;114;;0.06;-0.44;-4.38;0.00;0.00;0.00;
179;143;;0.04;0.44;4.38;0.00;0.00;0.00;
179;115;;0.04;-0.44;-4.38;0.00;0.00;0.00;
180;123;;0.26;0.44;4.40;0.00;0.00;0.00;
180;151;;0.26;-0.44;-4.40;0.00;0.00;0.00;
181;16;;0.00;0.23;2.27;0.00;0.00;0.00;
181;6;;0.00;-0.23;-2.27;0.00;0.00;0.00;
182;124;;0.14;0.44;4.40;0.00;0.00;0.00;
182;152;;0.14;-0.44;-4.40;0.00;0.00;0.00;
183;125;;0.87;0.44;4.39;0.00;0.00;0.00;
183;153;;0.87;-0.44;-4.39;0.00;0.00;0.00;
184;126;;0.11;0.44;4.40;0.00;0.00;0.00;
184;154;;0.11;-0.44;-4.40;0.00;0.00;0.00;
185;127;;0.12;0.44;4.40;0.00;0.00;0.00;
185;155;;0.12;-0.44;-4.40;0.00;0.00;0.00;
186;145;;0.10;0.27;2.80;0.00;0.00;0.00;
186;117;;0.10;-0.27;-2.79;0.00;0.00;0.00;
187;128;;0.12;0.27;2.67;0.00;0.00;0.00;
187;156;;0.12;-0.27;-2.67;0.00;0.00;0.00;
200;49;;0.13;0.44;4.38;0.00;0.00;0.00;
200;116;;0.13;-0.44;-4.38;0.00;0.00;0.00;
201;33;;0.00;0.23;2.27;0.00;0.00;0.00;
201;40;;0.00;-0.23;-2.27;0.00;0.00;0.00;
202;50;;0.09;0.44;4.38;0.00;0.00;0.00;
202;118;;0.09;-0.44;-4.38;0.00;0.00;0.00;
203;51;;0.51;0.44;4.38;0.00;0.00;0.00;
203;119;;0.51;-0.44;-4.38;0.00;0.00;0.00;
204;54;;0.06;0.44;4.38;0.00;0.00;0.00;
204;120;;0.06;-0.44;-4.38;0.00;0.00;0.00;
205;53;;0.04;0.44;4.38;0.00;0.00;0.00;
205;121;;0.04;-0.44;-4.38;0.00;0.00;0.00;
206;129;;0.26;0.44;4.40;0.00;0.00;0.00;
206;64;;0.26;-0.44;-4.40;0.00;0.00;0.00;
207;44;;0.00;0.23;2.27;0.00;0.00;0.00;
207;37;;0.00;-0.23;-2.27;0.00;0.00;0.00;
208;130;;0.14;0.44;4.40;0.00;0.00;0.00;
208;65;;0.14;-0.44;-4.40;0.00;0.00;0.00;
209;131;;0.87;0.44;4.39;0.00;0.00;0.00;
209;66;;0.87;-0.44;-4.39;0.00;0.00;0.00;
210;132;;0.11;0.44;4.40;0.00;0.00;0.00;
210;68;;0.11;-0.44;-4.40;0.00;0.00;0.00;
211;133;;0.12;0.44;4.40;0.00;0.00;0.00;
211;67;;0.12;-0.44;-4.40;0.00;0.00;0.00;
212;52;;0.10;0.27;2.79;0.00;0.00;0.00;
212;122;;0.10;-0.27;-2.80;0.00;0.00;0.00;
213;134;;0.12;0.27;2.67;0.00;0.00;0.00;
213;62;;0.12;-0.27;-2.67;0.00;0.00;0.00;
Total;;;0.87;0.44;4.40;0.00;0.00;0.00;
max/min;;;-17.61;-0.44;-4.40;0.00;0.00;0.00;
