Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-11.47;1.82;-3.89;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-11.47;1.82;-3.89;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-10.86;0.27;-1.55;-0.01;-4.08;-1.57;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-10.86;0.27;-1.55;-0.01;-4.08;-1.57;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-10.76;0.02;-1.20;-0.01;-4.41;-1.61;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-10.66;-0.23;-0.83;-0.01;-4.67;-1.58;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-10.66;-0.23;-0.83;-0.01;-4.67;-1.58;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-9.83;-1.16;0.44;0.00;-4.60;0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-9.83;-1.16;0.44;0.00;-4.60;0.11;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-9.83;-1.16;0.44;0.00;-4.60;0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-11.47;1.82;-3.89;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-11.47;1.82;-3.89;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-9.83;-1.16;0.44;0.00;-4.60;0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-9.83;-1.16;0.44;0.00;-4.60;0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-11.47;1.82;-3.89;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-9.83;-1.16;0.44;0.00;-4.60;0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-11.06;0.79;-2.33;-0.01;-3.11;-1.31;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-11.47;1.82;-3.89;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.667;M_y;-10.38;-0.75;-0.10;-0.01;-4.96;-1.25;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-9.83;-1.16;0.44;0.00;-4.60;0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-10.76;0.02;-1.20;-0.01;-4.41;-1.61;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-9.83;1.82;0.44;0.00;0.00;0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-11.47;-1.16;-3.89;-0.01;-4.96;-1.61;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;1.72;0.84;6.51;-0.05;-4.41;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;1.77;0.17;5.96;-0.03;5.89;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;1.77;0.17;5.96;-0.03;5.89;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;1.72;0.84;6.51;-0.05;-4.41;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;1.72;0.84;6.51;-0.05;-4.41;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;1.77;0.17;5.96;-0.03;5.89;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;1.72;0.84;6.51;-0.05;-4.41;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;1.77;0.17;5.96;-0.03;5.89;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;1.77;0.17;5.96;-0.03;5.89;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;1.72;0.84;6.51;-0.05;-4.41;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;1.77;0.17;5.96;-0.03;5.89;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;1.72;0.84;6.51;-0.05;-4.41;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;1.72;0.84;6.51;-0.05;-4.41;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;1.77;0.17;5.96;-0.03;5.89;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;1.77;0.84;6.51;-0.03;5.89;0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;1.72;0.17;5.96;-0.05;-4.41;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;1.46;1.22;8.02;-0.03;-9.38;1.25;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;1.53;0.59;7.50;-0.03;2.84;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;1.53;0.59;7.50;-0.03;2.84;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;1.46;1.22;8.02;-0.03;-9.38;1.25;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;1.46;1.22;8.02;-0.03;-9.38;1.25;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;1.53;0.59;7.50;-0.03;2.84;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;1.46;1.22;8.02;-0.03;-9.38;1.25;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;1.53;0.59;7.50;-0.03;2.84;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;1.53;0.59;7.50;-0.03;2.84;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.591;M_T;1.50;1.11;7.82;-0.03;-4.70;0.53;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;1.53;0.59;7.50;-0.03;2.84;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;1.46;1.22;8.02;-0.03;-9.38;1.25;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;1.46;1.22;8.02;-0.03;-9.38;1.25;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;1.53;0.59;7.50;-0.03;2.84;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;1.53;1.22;8.02;-0.03;2.84;1.25;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;1.46;0.59;7.50;-0.03;-9.38;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;3.59;1.07;10.27;-0.04;-6.25;1.32;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;;0.113;N;3.59;1.07;10.28;-0.04;-6.64;1.36;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;N;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_y;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_y;3.59;1.07;10.27;-0.04;-6.25;1.32;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_z;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_z;3.59;1.07;10.27;-0.04;-6.25;1.32;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_T;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_T;3.59;1.07;10.27;-0.04;-6.25;1.32;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_y;3.59;1.07;10.27;-0.04;-6.25;1.32;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_y;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_z;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_z;3.59;1.07;10.27;-0.04;-6.25;1.32;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;3.59;1.08;10.32;-0.04;-6.25;1.48;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;3.59;1.07;10.27;-0.04;-7.80;1.32;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;3.90;0.45;14.36;-0.23;-9.56;1.29;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;3.90;0.43;14.34;-0.23;-9.03;1.26;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;3.90;0.43;14.34;-0.23;-9.03;1.26;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;3.90;0.41;14.33;-0.23;-8.49;1.24;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;153;0.075;N;3.90;0.41;14.33;-0.23;-8.49;1.24;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;N;3.90;0.45;14.36;-0.23;-9.56;1.29;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_y;3.90;0.45;14.36;-0.23;-9.56;1.29;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_y;3.90;0.41;14.33;-0.23;-8.49;1.24;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_z;3.90;0.45;14.36;-0.23;-9.56;1.29;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_z;3.90;0.41;14.33;-0.23;-8.49;1.24;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_T;3.90;0.45;14.36;-0.23;-9.56;1.29;Beam | 3 - HEA 140 | L : 0.075 m
