Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-6.17;-0.76;-2.00;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-6.17;-0.76;-2.00;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-5.71;-0.10;-0.78;0.01;-2.08;0.65;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-5.71;-0.10;-0.78;0.01;-2.08;0.65;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-5.64;0.00;-0.59;0.01;-2.25;0.66;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-4.95;0.47;0.25;0.00;-2.32;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-4.95;0.47;0.25;0.00;-2.32;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-4.95;0.47;0.25;0.00;-2.32;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-6.17;-0.76;-2.00;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-4.95;0.47;0.25;0.00;-2.32;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-6.17;-0.76;-2.00;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-4.95;0.47;0.25;0.00;-2.32;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-6.17;-0.76;-2.00;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-5.86;-0.32;-1.19;0.01;-1.59;0.54;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-4.95;0.47;0.25;0.00;-2.32;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-6.17;-0.76;-2.00;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.667;M_y;-5.36;0.33;-0.05;0.00;-2.52;0.49;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-5.64;0.00;-0.59;0.01;-2.25;0.66;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-4.95;0.47;0.25;0.00;-2.32;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-4.95;0.47;0.25;0.01;0.00;0.66;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-6.17;-0.76;-2.00;0.00;-2.52;-0.08;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;0.94;-0.45;3.30;0.01;-2.21;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;0.98;-0.16;2.90;0.00;2.91;0.57;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;0.98;-0.16;2.90;0.00;2.91;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;0.94;-0.45;3.30;0.01;-2.21;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;0.98;-0.16;2.90;0.00;2.91;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;0.94;-0.45;3.30;0.01;-2.21;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;0.94;-0.45;3.30;0.01;-2.21;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;0.98;-0.16;2.90;0.00;2.91;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;0.94;-0.45;3.30;0.01;-2.21;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;0.98;-0.16;2.90;0.00;2.91;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;0.98;-0.16;2.90;0.00;2.91;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;0.94;-0.45;3.30;0.01;-2.21;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;0.98;-0.16;2.90;0.00;2.91;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;0.94;-0.45;3.30;0.01;-2.21;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;0.98;-0.16;3.30;0.01;2.91;0.57;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;0.94;-0.45;2.90;0.00;-2.21;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-0.08;-0.52;4.03;0.02;-4.72;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-0.04;-0.24;3.64;0.02;1.32;0.20;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;-0.04;-0.24;3.64;0.02;1.32;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;-0.08;-0.52;4.03;0.02;-4.72;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;-0.04;-0.24;3.64;0.02;1.32;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;-0.08;-0.52;4.03;0.02;-4.72;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;-0.08;-0.52;4.03;0.02;-4.72;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;-0.04;-0.24;3.64;0.02;1.32;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.394;M_T;-0.07;-0.50;3.93;0.02;-3.15;-0.26;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;-0.04;-0.24;3.64;0.02;1.32;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;-0.04;-0.24;3.64;0.02;1.32;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;-0.08;-0.52;4.03;0.02;-4.72;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;-0.04;-0.24;3.64;0.02;1.32;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;-0.08;-0.52;4.03;0.02;-4.72;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;-0.04;-0.24;4.03;0.02;1.32;0.20;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;-0.08;-0.52;3.64;0.02;-4.72;-0.47;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;1.78;-0.61;5.10;0.01;-3.78;-0.95;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;1.78;-0.61;5.06;0.01;-3.01;-0.86;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;N;1.78;-0.61;5.10;0.01;-3.78;-0.95;Beam | 3 - HEA 140 | L : 0.150 m
