Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
1;1;0.000;;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.5;-1.8;-1.8;0.0;-0.7;0.7;-1.1;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;2.5;-1.8;-1.8;0.0;-0.7;0.7;-1.1;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;2.7;-1.9;-1.9;0.0;-0.6;0.5;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.7;-0.4;-1.7;0.0;0.4;-1.8;-3.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;1.7;-0.4;-1.7;0.0;0.4;-1.8;-3.0;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;1;0.000;u_X;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;u_X;2.9;-2.0;-2.1;0.0;-0.4;0.2;-1.5;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Y;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.500;u_Y;2.9;-2.0;-2.1;0.0;0.0;-0.3;-1.8;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;u_Z;1.7;-0.4;-1.7;0.0;0.4;-1.8;-3.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;u_Z;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_X;1.7;-0.4;-1.7;0.0;0.4;-1.8;-3.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_X;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Y;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Y;1.7;-0.4;-1.7;0.0;0.4;-1.8;-3.0;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;φ_Z;0.0;0.0;0.0;0.0;-1.5;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;φ_Z;1.7;-0.4;-1.7;0.0;0.4;-1.8;-3.0;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;2.9;0.0;0.0;0.0;0.4;1.4;0.0;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;0.0;-2.0;-2.1;0.0;-1.5;-1.8;-3.0;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;;
2;2;0.000;;1.5;-0.1;-1.5;0.0;0.4;-1.8;-3.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;6.7;0.3;-5.8;3.4;2.0;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;u_X;6.7;0.3;-5.8;3.4;2.0;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_X;1.5;-0.1;-1.5;0.0;0.4;-1.8;-3.0;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_Y;1.5;-0.1;-1.5;0.0;0.4;-1.8;-3.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_Y;6.7;0.3;-5.8;3.4;2.0;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;u_Z;6.7;0.3;-5.8;3.4;2.0;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;u_Z;1.5;-0.1;-1.5;0.0;0.4;-1.8;-3.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_X;6.7;0.3;-5.8;3.4;2.0;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;φ_X;1.5;-0.1;-1.5;0.0;0.4;-1.8;-3.0;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_Y;6.7;0.3;-5.8;3.4;2.0;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.660;φ_Y;3.7;0.1;-3.4;1.4;1.0;-2.3;-2.9;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;φ_Z;6.7;0.3;-5.8;3.4;2.0;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;;0.165;φ_Z;2.0;0.0;-2.0;0.3;0.6;-2.0;-3.0;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;6.7;0.3;-1.5;3.4;2.0;-1.3;-2.1;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;1.5;-0.1;-5.8;0.0;0.4;-2.3;-3.0;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;;
3;3;0.000;;7.2;-0.1;-7.2;0.1;-15.3;0.6;1.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;7.8;0.1;-7.7;1.5;-9.3;-1.1;0.6;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;u_X;7.8;0.1;-7.7;1.5;-9.3;-1.1;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.157;u_X;7.2;-0.1;-7.2;0.1;-14.7;0.1;1.3;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;u_Y;7.2;-0.1;-7.2;0.1;-15.3;0.6;1.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_Y;7.8;0.1;-7.7;1.5;-9.3;-1.1;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;u_Z;7.8;0.1;-7.7;1.5;-9.3;-1.1;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.157;u_Z;7.2;-0.1;-7.2;0.1;-14.7;0.1;1.3;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_X;7.8;0.1;-7.7;1.5;-9.3;-1.1;0.6;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_X;7.2;-0.1;-7.2;0.1;-15.3;0.6;1.5;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_Y;7.2;-0.1;-7.2;0.1;-15.3;0.6;1.5;Beam | 3 - HEA 140 | L : 1.575 m
3;;1.181;φ_Y;7.6;0.0;-7.6;1.0;-10.8;-1.3;0.7;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;φ_Z;7.2;-0.1;-7.2;0.1;-15.3;0.6;1.5;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;φ_Z;7.8;0.1;-7.7;1.5;-9.3;-1.1;0.6;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;7.8;0.1;-7.2;1.5;-9.3;0.6;1.5;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;7.2;-0.1;-7.7;0.1;-15.3;-1.3;0.6;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;;
4;4;0.000;;7.3;0.0;-7.3;0.1;-8.4;0.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;7.2;-0.1;-7.2;0.1;-7.8;-0.3;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;u_X;7.3;0.0;-7.3;0.1;-8.4;0.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_X;7.2;-0.1;-7.2;0.1;-7.8;-0.3;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_Y;7.2;-0.1;-7.2;0.1;-7.8;-0.3;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_Y;7.3;0.0;-7.3;0.1;-8.4;0.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;u_Z;7.2;-0.1;-7.2;0.1;-7.8;-0.3;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;u_Z;7.3;0.0;-7.3;0.1;-8.4;0.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_X;7.2;-0.1;-7.2;0.1;-7.8;-0.3;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_X;7.3;0.0;-7.3;0.1;-8.4;0.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_Y;7.3;0.0;-7.3;0.1;-8.4;0.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;φ_Y;7.2;-0.1;-7.2;0.1;-7.8;-0.3;-0.1;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;φ_Z;7.3;0.0;-7.3;0.1;-8.4;0.0;0.0;Beam | 3 - HEA 140 | L : 0.150 m
