Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
3;142;1.575;u_Y;5.1;-0.2;-5.1;0.5;-6.1;-1.1;-1.7;CO37
3;142;1.575;u_Z;6.0;0.4;5.7;1.6;7.8;-0.4;0.4;CO26
3;;0.315;u_Z;4.8;-0.3;-4.8;0.0;-9.4;-0.4;-0.5;CO30
3;3;0.000;φ_X;4.9;0.3;4.9;0.1;10.0;0.5;1.0;CO35
3;3;0.000;φ_X;4.7;-0.3;-4.7;0.0;-10.2;0.1;-1.1;CO38
3;3;0.000;φ_Y;4.9;0.3;4.9;0.1;10.0;0.5;1.0;CO25
3;;1.181;φ_Y;5.0;-0.2;-5.0;0.3;-7.2;-1.3;-1.5;CO26
3;3;0.000;φ_Z;4.9;0.3;4.9;0.1;10.0;0.5;1.0;CO38
3;142;1.575;φ_Z;5.1;-0.2;-5.1;0.5;-6.1;-1.1;-1.7;CO31
Total;;;;6.0;0.4;5.7;1.6;10.0;0.5;1.0;
3;;;;4.7;-0.3;-5.1;0.0;-10.2;-1.3;-1.7;
;;;;;;;;;;;
4;4;0.000;max;4.9;0.3;4.8;0.1;5.0;0.0;0.4;
4;4;0.000;min;4.8;-0.3;-4.8;0.0;-5.5;-0.2;-0.3;
4;;0.075;max;4.8;0.3;4.8;0.1;4.4;-0.1;0.3;
4;;0.075;min;4.8;-0.3;-4.8;0.1;-5.3;-0.3;-0.4;
4;;0.075;max;4.8;0.3;4.8;0.1;4.4;-0.1;0.3;
4;;0.075;min;4.8;-0.3;-4.8;0.1;-5.3;-0.3;-0.4;
4;156;0.150;max;4.8;0.3;4.8;0.2;3.8;-0.2;0.3;
4;156;0.150;min;4.7;-0.3;-4.7;0.1;-5.1;-0.4;-0.4;
Extremes;4;0.000;u_X;4.9;0.3;4.8;0.1;5.0;0.0;0.4;CO36
4;156;0.150;u_X;4.7;-0.3;-4.7;0.1;-5.1;-0.4;-0.4;CO34
4;4;0.000;u_Y;4.9;0.3;4.8;0.1;5.0;0.0;0.4;CO35
4;4;0.000;u_Y;4.8;-0.3;-4.8;0.0;-5.5;-0.2;-0.3;CO37
4;156;0.150;u_Z;4.8;0.3;4.8;0.2;3.8;-0.2;0.3;CO26
4;4;0.000;u_Z;4.8;-0.3;-4.8;0.0;-5.5;-0.2;-0.3;CO29
4;4;0.000;φ_X;4.9;0.3;4.8;0.1;5.0;0.0;0.4;CO35
4;4;0.000;φ_X;4.8;-0.3;-4.8;0.0;-5.5;-0.2;-0.3;CO38
4;4;0.000;φ_Y;4.9;0.3;4.8;0.1;5.0;0.0;0.4;CO24
4;156;0.150;φ_Y;4.7;-0.3;-4.7;0.1;-5.1;-0.4;-0.4;CO26
4;4;0.000;φ_Z;4.9;0.3;4.8;0.1;5.0;0.0;0.4;CO36
4;156;0.150;φ_Z;4.7;-0.3;-4.7;0.1;-5.1;-0.4;-0.4;CO29
Total;;;;4.9;0.3;4.8;0.2;5.0;0.0;0.4;
4;;;;4.7;-0.3;-4.8;0.0;-5.5;-0.4;-0.4;
;;;;;;;;;;;
5;5;0.000;max;4.9;0.3;4.8;0.1;9.9;0.0;1.1;
5;5;0.000;min;4.7;-0.3;-4.7;0.0;-10.0;-0.3;-1.0;
5;;0.037;max;4.9;0.3;4.8;0.1;8.4;0.0;1.0;
5;;0.037;min;4.7;-0.3;-4.7;0.0;-9.4;-0.4;-0.9;
5;;0.037;max;4.9;0.3;4.8;0.1;8.4;0.0;1.0;
5;;0.037;min;4.7;-0.3;-4.7;0.0;-9.4;-0.4;-0.9;
5;153;0.075;max;4.9;0.3;4.9;0.1;7.0;-0.1;0.9;
5;153;0.075;min;4.7;-0.3;-4.7;0.0;-8.8;-0.5;-0.9;
Extremes;5;0.000;u_X;4.9;0.3;4.8;0.1;9.9;0.0;1.1;CO36
5;153;0.075;u_X;4.7;-0.3;-4.7;0.0;-8.8;-0.5;-0.9;CO34
5;153;0.075;u_Y;4.9;0.3;4.9;0.1;7.0;-0.1;0.9;CO35
5;5;0.000;u_Y;4.7;-0.3;-4.7;0.0;-10.0;-0.3;-1.0;CO37
5;153;0.075;u_Z;4.9;0.3;4.9;0.1;7.0;-0.1;0.9;CO25
5;5;0.000;u_Z;4.7;-0.3;-4.7;0.0;-10.0;-0.3;-1.0;CO30
5;5;0.000;φ_X;4.9;0.3;4.8;0.1;9.9;0.0;1.1;CO35
5;5;0.000;φ_X;4.7;-0.3;-4.7;0.0;-10.0;-0.3;-1.0;CO38
5;5;0.000;φ_Y;4.9;0.3;4.8;0.1;9.9;0.0;1.1;CO29
5;153;0.075;φ_Y;4.7;-0.3;-4.7;0.0;-8.8;-0.5;-0.9;CO25
5;5;0.000;φ_Z;4.9;0.3;4.8;0.1;9.9;0.0;1.1;CO30
5;5;0.000;φ_Z;4.7;-0.3;-4.7;0.0;-10.0;-0.3;-1.0;CO38
Total;;;;4.9;0.3;4.9;0.1;9.9;0.0;1.1;
5;;;;4.7;-0.3;-4.7;0.0;-10.0;-0.5;-1.0;
;;;;;;;;;;;
6;7;0.000;max;0.0;0.0;0.0;0.0;2.2;0.4;0.0;
6;7;0.000;min;0.0;0.0;0.0;0.0;-3.1;-1.6;0.0;
6;7;0.000;max;0.0;0.0;0.0;0.0;2.2;0.4;0.0;
6;7;0.000;min;0.0;0.0;0.0;0.0;-3.1;-1.6;0.0;
6;;1.500;max;3.3;1.9;2.6;0.0;0.9;0.1;1.3;
6;;1.500;min;3.5;-0.4;-3.5;0.0;-1.0;-0.7;-1.2;
6;;1.500;max;3.3;1.9;2.6;0.0;0.9;0.1;1.3;
6;;1.500;min;3.5;-0.4;-3.5;0.0;-1.0;-0.7;-1.2;
6;;1.738;max;3.5;2.1;2.8;0.0;0.6;0.0;1.5;
6;;1.738;min;3.7;-0.5;-3.7;0.0;-0.5;-0.4;-1.4;
6;;2.000;max;3.6;2.1;2.9;0.0;0.3;0.0;1.7;
6;;2.000;min;3.7;-0.5;-3.7;0.0;-0.2;-0.2;-1.6;
6;;2.000;max;3.6;2.1;2.9;0.0;0.3;0.0;1.7;
6;;2.000;min;3.7;-0.5;-3.7;0.0;-0.2;-0.2;-1.6;
6;;2.190;max;3.6;2.1;2.9;0.0;0.5;0.1;1.8;
6;;2.190;min;3.7;-0.4;-3.7;0.0;-0.1;-0.1;-1.7;
6;6;4.000;max;1.5;0.5;1.4;0.0;2.7;1.8;3.3;
6;6;4.000;min;1.2;-0.3;-1.1;0.0;-1.3;0.1;-3.2;
6;6;4.000;max;1.5;0.5;1.4;0.0;2.7;1.8;3.3;
6;6;4.000;min;1.2;-0.3;-1.1;0.0;-1.3;0.1;-3.2;
Extremes;;2.000;u_X;3.6;2.1;2.9;0.0;0.3;0.0;1.7;CO35
6;;1.738;u_X;3.7;-0.5;-3.7;0.0;-0.5;-0.4;-1.4;CO29
6;;2.000;u_Y;3.6;2.1;2.9;0.0;0.3;0.0;1.7;CO35
6;;2.000;u_Y;3.7;-0.5;-3.7;0.0;-0.2;-0.2;-1.6;CO34
6;6;4.000;u_Z;1.5;0.5;1.4;0.0;2.7;1.8;3.3;CO24
6;7;0.000;u_Z;0.0;0.0;0.0;0.0;-3.1;-1.6;0.0;CO20
6;6;4.000;φ_X;1.5;0.5;1.4;0.0;2.7;1.8;3.3;CO34
6;7;0.000;φ_X;0.0;0.0;0.0;0.0;-3.1;-1.6;0.0;CO34
6;6;4.000;φ_Y;1.5;0.5;1.4;0.0;2.7;1.8;3.3;CO25
6;7;0.000;φ_Y;0.0;0.0;0.0;0.0;-3.1;-1.6;0.0;CO35
6;6;4.000;φ_Z;1.5;0.5;1.4;0.0;2.7;1.8;3.3;CO34
6;6;4.000;φ_Z;1.2;-0.3;-1.1;0.0;-1.3;0.1;-3.2;CO35
Total;;;;3.7;2.1;2.9;0.0;2.7;1.8;3.3;
6;;;;0.0;-0.5;-3.7;0.0;-3.1;-1.6;-3.2;
;;;;;;;;;;;
7;8;0.000;max;0.0;0.0;0.0;0.0;2.7;0.0;0.0;
7;8;0.000;min;0.0;0.0;0.0;0.0;-2.3;-0.4;0.0;
7;8;0.000;max;0.0;0.0;0.0;0.0;2.7;0.0;0.0;
7;8;0.000;min;0.0;0.0;0.0;0.0;-2.3;-0.4;0.0;
7;;1.738;max;3.9;0.5;3.9;0.0;1.3;0.0;0.0;
7;;1.738;min;3.0;0.0;-3.0;0.0;-0.9;-0.1;0.0;
7;;2.238;max;4.4;0.6;4.3;0.1;0.6;0.0;0.0;
7;;2.238;min;3.2;0.0;-3.2;0.0;-0.6;-0.1;0.0;
7;3;4.500;max;3.1;0.3;3.1;0.1;2.0;0.4;0.0;
7;3;4.500;min;2.9;-0.2;-2.9;0.0;-1.2;-0.1;0.0;
7;3;4.500;max;3.1;0.3;3.1;0.1;2.0;0.4;0.0;
7;3;4.500;min;2.9;-0.2;-2.9;0.0;-1.2;-0.1;0.0;
Extremes;;2.250;u_X;4.4;0.6;4.3;0.1;0.6;0.0;0.0;CO25
7;3;4.500;u_X;2.9;-0.2;-2.9;0.0;-1.2;-0.1;0.0;CO34
7;;2.500;u_Y;4.5;0.5;4.4;0.1;0.4;0.1;0.0;CO35
7;;2.238;u_Y;3.2;0.0;-3.2;0.0;-0.6;-0.1;0.0;CO31
7;3;4.500;u_Z;3.1;0.3;3.1;0.1;2.0;0.4;0.0;CO24
7;8;0.000;u_Z;0.0;0.0;0.0;0.0;-2.3;-0.4;0.0;CO20
