Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;-0.53;0.00;6.01;0.00;0.00;0.00;
7;;0.47;0.00;5.87;0.00;0.00;0.00;
8;;1.14;0.00;10.99;0.00;0.00;0.00;
9;;-1.03;0.00;11.17;0.00;0.00;0.00;
10;;-0.05;0.00;10.78;0.00;0.00;0.00;
11;;-28.05;1.26;47.18;0.00;0.00;0.00;
17;;28.05;1.26;47.21;0.00;0.00;0.00;
18;;-28.05;-1.26;47.18;0.00;0.00;0.00;
24;;28.05;-1.26;47.21;0.00;0.00;0.00;
25;;-27.17;0.00;45.25;0.00;0.00;0.00;
31;;27.17;0.00;45.27;0.00;0.00;0.00;
32;;-27.17;0.00;45.25;0.00;0.00;0.00;
38;;27.17;0.00;45.27;0.00;0.00;0.00;
39;;-0.53;0.00;6.01;0.00;0.00;0.00;
45;;0.47;0.00;5.87;0.00;0.00;0.00;
46;;1.14;0.00;10.99;0.00;0.00;0.00;
47;;-1.03;0.00;11.17;0.00;0.00;0.00;
48;;-0.05;0.00;10.78;0.00;0.00;0.00;
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
17;P_x;28.05;1.26;47.21;0.00;0.00;0.00;
11;P_x;-28.05;1.26;47.18;0.00;0.00;0.00;
11;P_y;-28.05;1.26;47.18;0.00;0.00;0.00;
18;P_y;-28.05;-1.26;47.18;0.00;0.00;0.00;
17;P_z;28.05;1.26;47.21;0.00;0.00;0.00;
7;P_z;0.47;0.00;5.87;0.00;0.00;0.00;
1;M_x;-0.53;0.00;6.01;0.00;0.00;0.00;
1;M_x;-0.53;0.00;6.01;0.00;0.00;0.00;
1;M_y;-0.53;0.00;6.01;0.00;0.00;0.00;
1;M_y;-0.53;0.00;6.01;0.00;0.00;0.00;
17;M_z;28.05;1.26;47.21;0.00;0.00;0.00;
11;M_z;-28.05;1.26;47.18;0.00;0.00;0.00;
;;;;;;;;
;Sum of loads and sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;459.46;Loads;;;
Σ;;0.00;0.00;459.46;Support Forces;;;
