Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 500 | 1 - S235;;;;;;;;;;
1;10;11;0.000;;-33.00;-0.04;-23.41;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;11;0.000;;-33.00;-0.04;-23.41;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-31.65;-0.03;-19.83;-0.02;-32.44;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;10;;1.500;;-31.65;-0.03;-19.84;-0.02;-32.44;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-29.41;-0.03;-17.05;-0.04;-77.21;0.12;Beam | 1 - IPE 500 | L : 4.000 m
1;10;12;4.000;;-29.41;-0.03;-17.05;-0.04;-77.21;0.12;Beam | 1 - IPE 500 | L : 4.000 m
1;11;12;0.000;;-28.48;0.16;25.31;0.11;-77.28;0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;11;111;1.650;;-28.31;0.24;23.85;0.13;-36.71;-0.09;Beam | 1 - IPE 500 | L : 1.650 m
1;12;13;0.000;;-32.49;-0.14;10.33;-0.04;21.71;-0.56;Beam | 1 - IPE 500 | L : 1.575 m
1;12;114;1.575;;-32.35;-0.16;8.90;-0.04;36.86;-0.29;Beam | 1 - IPE 500 | L : 1.575 m
1;13;14;0.000;;-31.21;0.42;2.66;0.08;44.65;0.86;Beam | 1 - IPE 500 | L : 0.150 m
1;13;128;0.150;;-31.23;0.42;2.52;0.08;45.04;0.79;Beam | 1 - IPE 500 | L : 0.150 m
1;14;15;0.000;;-27.11;0.27;-11.23;0.04;21.05;-0.56;Beam | 1 - IPE 500 | L : 0.075 m
1;14;125;0.075;;-27.12;0.27;-11.30;0.04;20.20;-0.58;Beam | 1 - IPE 500 | L : 0.075 m
1;15;17;0.000;;-33.06;-0.04;24.65;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;17;0.000;;-33.06;-0.04;24.65;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-31.71;-0.03;20.40;0.02;33.80;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;15;;1.500;;-31.71;-0.03;20.40;0.02;33.80;0.05;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-29.46;-0.03;16.59;0.04;78.68;0.12;Beam | 1 - IPE 500 | L : 4.000 m
1;15;16;4.000;;-29.46;-0.03;16.59;0.04;78.68;0.12;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-49.70;-0.04;-25.92;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;18;0.000;;-49.70;-0.04;-25.92;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-48.35;-0.04;-23.24;-0.02;-36.88;0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;16;;1.500;;-48.35;-0.04;-23.24;-0.02;-36.88;0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-46.11;-0.03;-21.30;-0.04;-91.48;0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;16;19;4.000;;-46.11;-0.03;-21.30;-0.04;-91.48;0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;17;19;0.000;;-21.18;0.20;28.34;0.13;-91.55;0.05;Beam | 1 - IPE 500 | L : 1.650 m
1;17;83;1.650;;-21.01;0.30;26.87;0.15;-46.00;-0.10;Beam | 1 - IPE 500 | L : 1.650 m
1;18;20;0.000;;-7.18;-0.11;13.36;-0.04;22.62;-0.56;Beam | 1 - IPE 500 | L : 1.575 m
1;18;86;1.575;;-7.05;-0.13;11.93;-0.04;42.54;-0.34;Beam | 1 - IPE 500 | L : 1.575 m
1;19;21;0.000;;-5.88;0.43;-0.40;0.08;60.86;0.81;Beam | 1 - IPE 500 | L : 0.150 m
1;19;100;0.150;;-5.89;0.42;-0.54;0.08;60.79;0.74;Beam | 1 - IPE 500 | L : 0.150 m
1;20;22;0.000;;-19.68;0.26;-14.25;0.04;22.00;-0.56;Beam | 1 - IPE 500 | L : 0.075 m
1;20;97;0.075;;-19.69;0.25;-14.32;0.04;20.93;-0.58;Beam | 1 - IPE 500 | L : 0.075 m
1;21;24;0.000;;-49.65;-0.04;27.59;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;24;0.000;;-49.65;-0.04;27.59;0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-48.30;-0.04;23.90;0.02;38.62;0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;21;;1.500;;-48.30;-0.04;23.89;0.02;38.62;0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-46.07;-0.03;20.39;0.04;92.87;0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;21;23;4.000;;-46.07;-0.03;20.39;0.04;92.87;0.13;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-33.50;-0.04;-22.72;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;25;0.000;;-33.50;-0.04;-22.72;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-32.15;-0.04;-20.61;-0.02;-32.50;0.06;Beam | 1 - IPE 500 | L : 4.000 m
1;22;;1.500;;-32.15;-0.04;-20.61;-0.02;-32.50;0.06;Beam | 1 - IPE 500 | L : 4.000 m
