Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;2.0;1.9;0.0;
2;1.4;-0.5;1.3;0.1;-1.1;-2.5;2.9;
3;2.9;0.1;2.9;0.1;9.1;0.7;-1.0;
4;3.7;0.0;3.7;0.1;4.6;0.1;0.0;
5;2.9;-0.1;2.9;0.1;8.9;-0.5;1.0;
6;1.4;0.5;1.3;0.1;-1.1;2.6;-2.9;
7;0.0;0.0;0.0;0.0;2.0;-2.0;0.0;
8;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;
9;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;
10;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;
11;0.0;0.0;0.0;0.0;0.3;2.5;0.0;
12;4.0;-3.8;1.3;0.2;0.4;-2.5;0.4;
13;28.9;-1.1;2.8;28.8;8.0;-6.1;-0.7;
14;45.9;0.4;3.6;45.8;4.3;0.0;0.0;
15;28.7;2.0;2.8;28.5;7.9;6.1;0.7;
16;4.8;4.7;1.3;0.2;0.4;2.3;-0.4;
17;0.0;0.0;0.0;0.0;0.3;-2.7;0.0;
18;0.0;0.0;0.0;0.0;0.2;2.6;0.0;
19;4.3;-4.2;1.1;0.2;0.3;-2.5;0.4;
20;30.4;-1.3;2.6;30.2;8.3;-6.4;-0.7;
21;48.6;0.4;3.5;48.5;4.5;0.0;0.0;
22;30.2;2.2;2.6;30.0;8.2;6.5;0.7;
23;5.1;5.0;1.1;0.2;0.3;2.4;-0.4;
24;0.0;0.0;0.0;0.0;0.2;-2.9;0.0;
25;0.0;0.0;0.0;0.0;0.3;2.5;0.0;
26;4.1;-4.0;1.1;0.2;0.3;-2.4;0.4;
27;29.1;-1.2;2.7;28.9;8.2;-6.1;-0.7;
28;46.3;0.4;3.6;46.2;4.3;0.0;0.0;
29;28.9;2.0;2.7;28.7;8.0;6.2;0.7;
30;4.8;4.7;1.1;0.2;0.3;2.3;-0.4;
31;0.0;0.0;0.0;0.0;0.2;-2.7;0.0;
32;0.0;0.0;0.0;0.0;0.3;2.5;0.0;
33;4.1;-4.0;1.1;0.2;0.3;-2.4;0.4;
34;29.1;-1.2;2.7;28.9;8.0;-6.1;-0.6;
35;46.3;0.4;3.7;46.2;4.1;0.0;0.0;
36;28.9;2.0;2.7;28.7;7.9;6.2;0.6;
37;4.9;4.7;1.1;0.2;0.3;2.3;-0.4;
38;0.0;0.0;0.0;0.0;0.3;-2.7;0.0;
39;0.0;0.0;0.0;0.0;1.0;1.4;0.0;
40;1.2;-0.4;1.1;0.1;-0.3;-2.1;1.7;
41;2.8;0.1;2.8;0.1;8.5;0.6;-0.8;
42;3.7;0.0;3.7;0.1;4.2;0.1;0.0;
43;2.8;-0.1;2.8;0.1;8.3;-0.4;0.8;
44;1.2;0.4;1.1;0.1;-0.3;2.2;-1.7;
45;0.0;0.0;0.0;0.0;1.0;-1.5;0.0;
46;0.0;0.0;0.0;0.0;1.4;-0.5;0.0;
47;0.0;0.0;0.0;0.0;1.8;-0.6;0.0;
48;0.0;0.0;0.0;0.0;1.4;-0.5;0.0;
49;8.2;-3.3;1.8;7.2;3.6;-5.4;0.0;
50;17.9;-2.3;2.4;17.6;6.2;-6.6;-0.3;
51;28.6;-1.3;2.7;28.4;8.1;-6.2;-0.6;
52;46.3;0.4;3.6;46.2;4.2;-0.2;0.0;
53;43.9;0.2;3.2;43.8;5.8;-2.6;-0.4;
54;37.8;-0.4;2.9;37.7;7.1;-4.7;-0.6;
55;8.2;-3.3;1.8;7.2;3.7;-5.4;0.0;
57;17.9;-2.3;2.3;17.6;6.2;-6.6;-0.3;
58;28.6;-1.3;2.7;28.4;8.2;-6.2;-0.7;
59;37.8;-0.4;2.9;37.7;7.3;-4.7;-0.6;
60;44.0;0.2;3.1;43.8;6.0;-2.6;-0.4;
62;46.3;0.4;3.6;46.2;4.2;0.3;0.0;
63;46.3;0.4;3.5;46.2;4.4;-0.2;0.0;
64;8.4;4.1;1.8;7.1;3.6;5.4;0.0;
65;17.8;3.1;2.4;17.4;6.0;6.5;0.3;
66;28.4;2.0;2.7;28.2;7.9;6.2;0.6;
67;43.9;0.6;3.2;43.7;5.7;2.7;0.4;
68;37.6;1.2;2.9;37.5;7.0;4.8;0.6;
69;8.4;4.1;1.8;7.1;3.7;5.4;0.0;
71;17.8;3.1;2.3;17.4;6.1;6.5;0.3;
72;28.4;2.0;2.7;28.2;8.1;6.2;0.6;
73;37.6;1.2;2.9;37.5;7.2;4.8;0.6;
74;43.9;0.6;3.1;43.8;5.9;2.7;0.4;
76;46.3;0.4;3.5;46.2;4.4;0.3;0.0;
83;8.5;-3.5;1.7;7.6;3.8;-5.7;0.0;
84;18.7;-2.4;2.3;18.4;6.4;-6.9;-0.4;
85;29.9;-1.4;2.6;29.7;8.4;-6.5;-0.7;
86;39.5;-0.4;2.8;39.4;7.6;-5.0;-0.7;
87;46.1;0.2;3.0;46.0;6.3;-2.8;-0.5;
89;48.6;0.4;3.4;48.5;4.7;-0.2;-0.1;
95;8.7;4.3;1.7;7.4;3.8;5.6;0.0;
96;18.6;3.3;2.3;18.1;6.2;6.8;0.4;
97;29.7;2.2;2.6;29.5;8.2;6.5;0.7;
98;39.4;1.3;2.8;39.3;7.4;5.0;0.7;
99;46.0;0.6;3.0;45.9;6.2;2.8;0.5;
100;48.6;0.4;3.4;48.4;4.7;0.3;0.1;
111;8.1;-3.2;1.9;7.2;3.4;-5.4;0.0;
112;17.8;-2.2;2.4;17.5;6.0;-6.5;-0.3;
113;28.5;-1.2;2.8;28.3;8.0;-6.1;-0.7;
114;37.5;-0.3;2.9;37.4;7.2;-4.7;-0.6;
115;43.6;0.2;3.1;43.5;6.0;-2.6;-0.4;
116;6.0;0.1;3.9;4.5;-2.0;-1.8;1.3;
117;45.9;0.4;3.5;45.7;4.5;-0.2;-0.1;
118;6.0;0.7;4.3;4.2;0.8;2.1;0.0;
119;3.0;0.1;3.0;0.2;7.4;0.9;-0.7;
120;4.5;-0.1;3.9;2.3;4.7;-1.6;-0.3;
121;4.9;0.4;4.0;2.8;3.4;1.1;-0.6;
122;3.7;0.1;3.7;0.2;3.9;0.5;-0.1;
123;8.4;4.0;1.9;7.1;3.3;5.4;0.0;
124;17.7;3.0;2.4;17.3;5.9;6.5;0.3;
125;28.3;2.0;2.8;28.1;7.9;6.1;0.6;
126;37.4;1.2;2.9;37.2;7.1;4.7;0.6;
127;43.5;0.6;3.1;43.4;5.9;2.6;0.4;
128;45.9;0.4;3.5;45.7;4.5;0.2;0.0;
129;6.0;-0.2;3.9;4.5;-2.2;1.7;-1.3;
130;6.0;-0.8;4.3;4.1;0.7;-2.2;0.0;
131;3.0;-0.2;3.0;0.2;7.3;-0.7;0.7;
132;4.5;0.0;3.8;2.3;4.6;1.6;0.3;
133;4.9;-0.5;4.0;2.8;3.4;-1.2;0.6;
134;3.7;-0.1;3.7;0.2;3.9;-0.4;0.1;
139;8.3;0.1;6.8;4.9;-9.6;-1.8;2.5;
140;8.1;0.8;6.8;4.4;-5.9;2.2;0.0;
141;3.4;0.1;3.4;0.2;6.4;1.0;-0.8;
142;5.5;-0.1;5.0;2.2;1.5;-1.6;0.4;
143;6.0;0.4;5.3;2.8;0.0;1.1;-0.6;
145;3.9;0.1;3.9;0.2;3.5;0.5;-0.2;
151;8.3;-0.2;6.8;4.9;-10.0;1.7;-2.5;
152;8.1;-0.8;6.8;4.4;-6.0;-2.3;0.0;
153;3.4;-0.2;3.4;0.2;6.3;-0.8;0.8;
154;5.4;0.0;5.0;2.3;1.5;1.6;-0.4;
155;5.9;-0.5;5.2;2.8;0.1;-1.2;0.6;
156;3.9;-0.1;3.8;0.2;3.6;-0.4;0.1;
Total;48.6;5.0;6.8;48.5;9.1;6.8;2.9;
max/min;0.0;-4.2;0.0;0.0;-10.0;-6.9;-2.9;
