Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-5.79;2.01;-3.66;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-5.79;2.01;-3.66;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-5.34;0.30;-0.99;-0.01;-3.49;-1.74;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-5.34;0.30;-0.99;-0.01;-3.49;-1.74;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-5.27;0.02;-0.58;-0.01;-3.67;-1.77;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-5.19;-0.26;-0.16;-0.01;-3.77;-1.74;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;;-5.19;-0.26;-0.16;-0.01;-3.77;-1.74;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-4.57;-1.28;1.33;0.00;-2.08;0.13;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-4.57;-1.28;1.33;0.00;-2.08;0.13;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-4.57;-1.28;1.33;0.00;-2.08;0.13;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-5.79;2.01;-3.66;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-5.79;2.01;-3.66;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-4.57;-1.28;1.33;0.00;-2.08;0.13;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-4.57;-1.28;1.33;0.00;-2.08;0.13;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-5.79;2.01;-3.66;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-4.57;-1.28;1.33;0.00;-2.08;0.13;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-5.49;0.87;-1.88;-0.01;-2.77;-1.44;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-5.79;2.01;-3.66;-0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;2.000;M_y;-5.19;-0.26;-0.16;-0.01;-3.77;-1.74;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-4.57;-1.28;1.33;0.00;-2.08;0.13;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-5.27;0.02;-0.58;-0.01;-3.67;-1.77;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-4.57;2.01;1.33;0.00;0.00;0.13;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-5.79;-1.28;-3.66;-0.01;-3.77;-1.77;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;3.10;0.93;3.14;-0.04;-1.58;0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;3.13;0.22;2.74;-0.03;3.28;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;3.13;0.22;2.74;-0.03;3.28;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;3.10;0.93;3.14;-0.04;-1.58;0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;3.10;0.93;3.14;-0.04;-1.58;0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;3.13;0.22;2.74;-0.03;3.28;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;3.10;0.93;3.14;-0.04;-1.58;0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;3.13;0.22;2.74;-0.03;3.28;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;3.13;0.22;2.74;-0.03;3.28;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;3.10;0.93;3.14;-0.04;-1.58;0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;3.13;0.22;2.74;-0.03;3.28;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;3.10;0.93;3.14;-0.04;-1.58;0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;3.10;0.93;3.14;-0.04;-1.58;0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;3.13;0.22;2.74;-0.03;3.28;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;3.13;0.93;3.14;-0.03;3.28;0.02;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;3.10;0.22;2.74;-0.04;-1.58;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;2.13;1.31;4.07;-0.04;-4.87;1.34;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;2.17;0.65;3.69;-0.03;1.23;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;2.17;0.65;3.69;-0.03;1.23;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;2.13;1.31;4.07;-0.04;-4.87;1.34;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;2.13;1.31;4.07;-0.04;-4.87;1.34;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;2.17;0.65;3.69;-0.03;1.23;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;2.13;1.31;4.07;-0.04;-4.87;1.34;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;2.17;0.65;3.69;-0.03;1.23;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_T;2.17;0.65;3.69;-0.03;1.23;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
3;;0.591;M_T;2.15;1.21;3.93;-0.04;-2.51;0.57;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_y;2.17;0.65;3.69;-0.03;1.23;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_y;2.13;1.31;4.07;-0.04;-4.87;1.34;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;M_z;2.13;1.31;4.07;-0.04;-4.87;1.34;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;M_z;2.17;0.65;3.69;-0.03;1.23;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
Total;;;;2.17;1.31;4.07;-0.03;1.23;1.34;Beam | 3 - HEA 140 | L : 1.575 m
3;;;;2.13;0.65;3.69;-0.04;-4.87;-0.39;Beam | 3 - HEA 140 | L : 1.575 m
;;;;;;;;;;
4;4;0.000;;4.03;1.18;5.04;-0.05;-3.68;1.63;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;;4.03;1.17;5.01;-0.05;-2.93;1.45;Beam | 3 - HEA 140 | L : 0.150 m
Extremes;4;0.000;N;4.03;1.18;5.04;-0.05;-3.68;1.63;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;N;4.03;1.17;5.01;-0.05;-2.93;1.45;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_y;4.03;1.18;5.04;-0.05;-3.68;1.63;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_y;4.03;1.17;5.01;-0.05;-2.93;1.45;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;V_z;4.03;1.18;5.04;-0.05;-3.68;1.63;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;V_z;4.03;1.17;5.01;-0.05;-2.93;1.45;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_T;4.03;1.18;5.04;-0.05;-3.68;1.63;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_T;4.03;1.17;5.01;-0.05;-2.93;1.45;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_y;4.03;1.17;5.01;-0.05;-2.93;1.45;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_y;4.03;1.18;5.04;-0.05;-3.68;1.63;Beam | 3 - HEA 140 | L : 0.150 m
4;4;0.000;M_z;4.03;1.18;5.04;-0.05;-3.68;1.63;Beam | 3 - HEA 140 | L : 0.150 m
4;156;0.150;M_z;4.03;1.17;5.01;-0.05;-2.93;1.45;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;4.03;1.18;5.04;-0.05;-2.93;1.63;Beam | 3 - HEA 140 | L : 0.150 m
4;;;;4.03;1.17;5.01;-0.05;-3.68;1.45;Beam | 3 - HEA 140 | L : 0.150 m
;;;;;;;;;;
5;5;0.000;;4.19;0.43;7.20;-0.25;-4.94;1.39;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;4.19;0.42;7.19;-0.25;-4.67;1.37;Beam | 3 - HEA 140 | L : 0.075 m
5;;0.037;;4.19;0.42;7.19;-0.25;-4.67;1.37;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;;4.19;0.40;7.19;-0.25;-4.41;1.34;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;5;0.000;N;4.19;0.43;7.20;-0.25;-4.94;1.39;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;N;4.19;0.40;7.19;-0.25;-4.41;1.34;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_y;4.19;0.43;7.20;-0.25;-4.94;1.39;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_y;4.19;0.40;7.19;-0.25;-4.41;1.34;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;V_z;4.19;0.43;7.20;-0.25;-4.94;1.39;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;V_z;4.19;0.40;7.19;-0.25;-4.41;1.34;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_T;4.19;0.43;7.20;-0.25;-4.94;1.39;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_T;4.19;0.40;7.19;-0.25;-4.41;1.34;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_y;4.19;0.40;7.19;-0.25;-4.41;1.34;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_y;4.19;0.43;7.20;-0.25;-4.94;1.39;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;M_z;4.19;0.43;7.20;-0.25;-4.94;1.39;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;M_z;4.19;0.40;7.19;-0.25;-4.41;1.34;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;4.19;0.43;7.20;-0.25;-4.41;1.39;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;4.19;0.40;7.19;-0.25;-4.94;1.34;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;
6;7;0.000;;-5.63;2.01;3.82;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;-5.63;2.01;3.82;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-5.19;0.30;1.01;0.01;3.62;-1.74;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;-5.19;0.30;1.01;0.01;3.62;-1.74;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;-5.11;0.03;0.58;0.01;3.81;-1.78;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;;-5.03;-0.26;0.14;0.01;3.90;-1.75;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;;-5.03;-0.26;0.14;0.01;3.90;-1.75;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-4.42;-1.28;-1.50;0.00;2.01;0.12;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;-4.42;-1.28;-1.50;0.00;2.01;0.12;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;6;4.000;N;-4.42;-1.28;-1.50;0.00;2.01;0.12;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;N;-5.63;2.01;3.82;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;V_y;-5.63;2.01;3.82;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;V_y;-4.42;-1.28;-1.50;0.00;2.01;0.12;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;V_z;-5.63;2.01;3.82;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;V_z;-4.42;-1.28;-1.50;0.00;2.01;0.12;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.000;M_T;-5.33;0.87;1.95;0.01;2.88;-1.45;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_T;-4.42;-1.28;-1.50;0.00;2.01;0.12;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;M_y;-5.03;-0.26;0.14;0.01;3.90;-1.75;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;M_y;-5.63;2.01;3.82;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;M_z;-4.42;-1.28;-1.50;0.00;2.01;0.12;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;M_z;-5.11;0.03;0.58;0.01;3.81;-1.78;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-4.42;2.01;3.82;0.01;3.90;0.12;Beam | 2 - HEA 160 | L : 4.000 m
6;;;;-5.63;-1.28;-1.50;0.00;0.00;-1.78;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
7;8;0.000;;-13.70;0.22;-4.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;;-13.70;0.22;-4.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.738;;-13.19;0.05;-0.64;0.00;-4.57;-0.23;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;;-13.03;0.00;0.46;0.00;-4.61;-0.24;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-12.34;-0.21;2.83;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;;-12.34;-0.21;2.83;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
Extremes;3;4.500;N;-12.34;-0.21;2.83;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;N;-13.70;0.22;-4.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;V_y;-13.70;0.22;-4.62;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
