Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;1.51;-0.68;4.62;0.01;-3.03;-0.02;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;1.56;-0.23;4.07;0.00;4.13;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;1.98;-0.37;-0.18;-0.02;4.05;0.86;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;2.00;0.01;-0.38;-0.02;3.88;0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;2.01;0.16;-0.45;-0.02;3.79;0.96;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;2.01;0.16;-0.45;-0.02;3.79;0.96;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;2.04;0.63;-0.72;-0.02;3.31;0.63;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;2.47;0.50;-4.97;-0.05;3.23;0.63;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;2.52;0.96;-5.50;-0.04;-5.41;-0.68;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;2.95;0.40;-9.76;-0.16;-5.49;-0.69;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;2.95;0.41;-9.77;-0.16;-5.85;-0.71;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;2.95;0.41;-9.77;-0.16;-5.85;-0.71;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;2.95;0.42;-9.79;-0.16;-6.22;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;0.77;-0.81;5.67;0.03;-6.62;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;0.83;-0.37;5.16;0.02;1.91;0.31;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;1.25;-0.43;0.91;0.01;1.83;0.31;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;1.27;0.00;0.68;0.01;2.38;0.46;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;1.30;0.59;0.37;0.01;2.88;0.15;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;1.73;0.58;-3.88;0.00;2.81;0.15;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;1.78;1.01;-4.42;0.00;-4.04;-1.25;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;2.04;0.91;-7.02;-0.02;-4.09;-1.25;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;2.04;0.92;-7.07;-0.02;-5.14;-1.39;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;2.68;-0.94;7.21;0.02;-5.40;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;2.68;-0.93;7.16;0.02;-4.32;-1.30;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;2.42;-1.03;4.55;0.00;-4.27;-1.30;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;2.36;-0.59;4.01;0.00;2.79;0.14;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;1.94;-0.60;-0.24;-0.01;2.87;0.14;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;1.90;-0.01;-0.55;-0.01;2.49;0.45;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;1.88;0.41;-0.77;-0.01;2.03;0.31;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;1.46;0.36;-5.02;-0.02;2.11;0.31;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;1.40;0.80;-5.54;-0.02;-6.20;-0.72;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;2.96;-0.44;9.94;0.15;-6.69;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;2.96;-0.43;9.93;0.15;-6.32;-0.75;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;2.96;-0.43;9.93;0.15;-6.32;-0.75;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;2.96;-0.42;9.92;0.15;-5.95;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;2.53;-0.97;5.66;0.04;-5.87;-0.73;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;2.48;-0.52;5.12;0.04;3.02;0.61;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;2.05;-0.64;0.87;0.02;3.10;0.61;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;2.02;-0.17;0.60;0.02;3.71;0.95;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;2.02;-0.17;0.60;0.02;3.71;0.95;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;2.01;-0.02;0.54;0.02;3.83;0.97;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;1.99;0.36;0.33;0.03;4.10;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;1.57;0.21;-3.91;0.00;4.18;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;1.52;0.66;-4.46;-0.01;-2.73;0.02;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;5;5;0.000;N;2.96;-0.44;9.94;0.15;-6.69;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;0.77;-0.81;5.67;0.03;-6.62;-0.73;Beam | 3 - HEA 140 | L : 1.575 m
1;192;145;1.650;V_y;1.78;1.01;-4.42;0.00;-4.04;-1.25;Beam | 3 - HEA 140 | L : 1.650 m
1;194;156;0.000;V_y;2.42;-1.03;4.55;0.00;-4.27;-1.30;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;2.96;-0.44;9.94;0.15;-6.69;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;2.95;0.42;-9.79;-0.16;-6.22;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;2.96;-0.42;9.92;0.15;-5.95;-0.73;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;2.95;0.40;-9.76;-0.16;-5.49;-0.69;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_y;1.57;0.21;-3.91;0.00;4.18;0.85;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;2.96;-0.44;9.94;0.15;-6.69;-0.77;Beam | 3 - HEA 140 | L : 0.075 m
1;188;;0.612;M_z;2.00;0.01;-0.38;-0.02;3.88;0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;4;4;0.000;M_z;2.68;-0.94;7.21;0.02;-5.40;-1.44;Beam | 3 - HEA 140 | L : 0.150 m
Total;;;;;2.96;1.01;9.94;0.15;4.18;0.98;
1;;;;;0.77;-1.03;-9.79;-0.16;-6.69;-1.44;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-49.13;-0.37;60.10;-0.13;-194.62;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-48.80;-0.72;58.20;-0.21;-96.99;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-47.98;-0.44;49.71;-0.12;-97.30;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-47.75;-0.62;47.74;-0.18;-16.89;0.44;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-46.94;-0.42;39.24;-0.14;-17.21;0.43;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-46.76;-0.51;37.22;-0.15;45.88;1.25;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-45.95;0.17;28.73;0.05;45.57;1.25;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-45.94;0.18;28.64;0.05;47.72;1.23;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-27.28;-0.04;27.48;0.05;47.72;1.23;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-27.13;0.03;25.54;0.05;89.48;1.15;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-26.31;0.24;17.04;0.08;89.17;1.15;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-26.14;0.29;14.99;0.06;115.60;0.49;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-25.31;0.47;6.49;0.09;115.29;0.49;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-25.12;0.49;4.43;0.03;124.30;-0.65;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-24.60;0.70;-0.77;0.09;124.10;-0.65;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-24.59;0.70;-0.96;0.08;123.97;-0.81;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-24.55;-0.70;1.22;-0.08;123.97;-0.81;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-24.57;-0.70;1.03;-0.08;124.14;-0.65;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-25.09;-0.50;-4.17;-0.03;124.07;-0.66;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-25.28;-0.48;-6.23;-0.09;115.49;0.48;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-26.11;-0.30;-14.73;-0.06;115.38;0.47;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-26.28;-0.25;-16.78;-0.08;89.38;1.14;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-27.10;-0.04;-25.28;-0.05;89.26;1.14;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-27.25;0.02;-27.23;-0.05;47.91;1.23;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-45.92;-0.19;-28.38;-0.05;47.91;1.23;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-45.93;-0.18;-28.47;-0.05;45.78;1.25;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-46.74;0.49;-36.96;0.15;45.67;1.22;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-46.92;0.40;-38.98;0.13;-16.99;0.44;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-47.72;0.59;-47.48;0.17;-17.11;0.43;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-47.96;0.42;-49.45;0.12;-97.09;-0.17;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-48.77;0.72;-57.94;0.20;-97.20;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-49.11;0.37;-59.84;0.12;-194.40;-0.19;Beam | 1 - IPE 500 | L : 1.650 m
