No.;;;;;Load;Member Load Parameters;;;;;;;;;;;;;;;;;;
;Assigned to Members No.;Load Type;Load Distribution;Coordinate System;Direction;p [kN/m];;;;;;;;;;;;;;;;;Options;Comment
1;6;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
2;15;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
3;21;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
4;27;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
5;33;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
6;39;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
7;63;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
8;64;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
9;65;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
10;66;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
11;67;Force;Varying;2 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, 0.000 m | 20.000, 24.013, -0.158 m | 19.000, 25.000, 0.000 m;W_L;;;;;;;;;;;;;;;;;;;
12;1;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
13;2;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
14;188;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
15;3;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
16;7;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
17;8;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
18;189;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
19;190;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
20;191;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
21;192;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
22;193;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
23;4;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
24;5;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
25;6;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
26;9;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
27;194;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
28;195;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
29;196;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
30;197;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
31;198;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
32;199;Force;Varying;1 - Global XYZ;Y_L;;;;;;;;;;;;;;;;;;;
33;1;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
34;10;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
35;16;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
36;22;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
37;28;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
38;34;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
39;43;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
40;44;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
41;45;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
42;46;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
43;47;Force;Varying;1 - Global XYZ;X_L;;;;;;;;;;;;;;;;;;;
