Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.33;-0.38;-1.70;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.33;-0.38;-1.70;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.87;-0.04;-0.96;0.00;-1.99;0.32;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-7.87;-0.04;-0.96;0.00;-1.99;0.32;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-7.80;0.01;-0.85;0.00;-2.21;0.33;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.11;0.21;-0.34;0.00;-3.36;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.11;0.21;-0.34;0.00;-3.36;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-7.11;0.21;-0.34;0.00;-3.36;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.33;-0.38;-1.70;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;3.500;V_y;-7.26;0.22;-0.36;0.00;-3.19;0.06;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.33;-0.38;-1.70;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-7.11;0.21;-0.34;0.00;-3.36;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.33;-0.38;-1.70;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;M_T;-7.87;-0.04;-0.96;0.00;-1.99;0.32;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-7.11;0.21;-0.34;0.00;-3.36;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-8.33;-0.38;-1.70;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-7.11;0.21;-0.34;0.00;-3.36;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-7.80;0.01;-0.85;0.00;-2.21;0.33;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-7.11;0.21;-0.34;0.00;-3.36;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-7.11;0.22;-0.34;0.00;0.00;0.33;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-8.33;-0.38;-1.70;0.00;-3.36;-0.04;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;-0.19;-0.27;4.66;0.01;-3.48;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;-0.15;-0.09;4.25;0.00;3.88;0.34;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;-0.15;-0.09;4.25;0.00;3.88;0.34;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;N;-0.19;-0.27;4.66;0.01;-3.48;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_y;-0.15;-0.09;4.25;0.00;3.88;0.34;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_y;-0.19;-0.27;4.66;0.01;-3.48;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;V_z;-0.19;-0.27;4.66;0.01;-3.48;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;V_z;-0.15;-0.09;4.25;0.00;3.88;0.34;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_T;-0.19;-0.27;4.66;0.01;-3.48;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_T;-0.15;-0.09;4.25;0.00;3.88;0.34;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_y;-0.15;-0.09;4.25;0.00;3.88;0.34;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_y;-0.19;-0.27;4.66;0.01;-3.48;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;M_z;-0.15;-0.09;4.25;0.00;3.88;0.34;Beam | 3 - HEA 140 | L : 1.650 m
2;2;0.000;M_z;-0.19;-0.27;4.66;0.01;-3.48;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;-0.15;-0.09;4.66;0.01;3.88;0.34;Beam | 3 - HEA 140 | L : 1.650 m
2;;;;-0.19;-0.27;4.25;0.00;-3.48;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
;;;;;;;;;;
3;3;0.000;;-0.96;-0.32;5.57;0.01;-6.47;-0.29;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;;-0.91;-0.15;5.18;0.01;1.99;0.12;Beam | 3 - HEA 140 | L : 1.575 m
Extremes;142;1.575;N;-0.91;-0.15;5.18;0.01;1.99;0.12;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;N;-0.96;-0.32;5.57;0.01;-6.47;-0.29;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_y;-0.91;-0.15;5.18;0.01;1.99;0.12;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_y;-0.96;-0.32;5.57;0.01;-6.47;-0.29;Beam | 3 - HEA 140 | L : 1.575 m
3;3;0.000;V_z;-0.96;-0.32;5.57;0.01;-6.47;-0.29;Beam | 3 - HEA 140 | L : 1.575 m
3;142;1.575;V_z;-0.91;-0.15;5.18;0.01;1.99;0.12;Beam | 3 - HEA 140 | L : 1.575 m
