Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
7;3;;-12.35;-0.06;2.81;0.00;0.00;0.00;
8;4;;-12.05;-0.06;3.14;0.00;0.00;0.00;
9;5;;-11.42;-0.06;2.81;0.00;0.00;0.00;
40;41;;-12.17;-0.06;1.21;0.00;0.00;0.00;
41;42;;-11.79;-0.06;1.35;0.00;0.00;0.00;
42;43;;-11.22;-0.05;1.21;0.00;0.00;0.00;
90;55;;0.00;0.30;2.99;0.00;0.00;0.00;
90;49;;0.00;-0.30;-2.99;0.00;0.00;0.00;
92;26;;0.00;0.16;1.58;0.00;0.00;0.00;
92;33;;0.00;-0.16;-1.58;0.00;0.00;0.00;
93;57;;0.01;0.30;2.99;0.00;0.00;0.00;
93;50;;0.01;-0.30;-2.99;0.00;0.00;0.00;
95;58;;0.03;0.30;2.99;0.00;0.00;0.00;
95;51;;0.03;-0.30;-2.99;0.00;0.00;0.00;
97;59;;0.01;0.30;2.99;0.00;0.00;0.00;
97;54;;0.01;-0.30;-2.99;0.00;0.00;0.00;
99;60;;0.01;0.30;2.99;0.00;0.00;0.00;
99;53;;0.01;-0.30;-2.99;0.00;0.00;0.00;
101;83;;-0.11;0.30;2.99;0.00;0.00;0.00;
101;55;;-0.11;-0.30;-2.99;0.00;0.00;0.00;
102;64;;0.00;0.30;2.99;0.00;0.00;0.00;
102;69;;0.00;-0.30;-2.99;0.00;0.00;0.00;
103;37;;0.00;0.16;1.58;0.00;0.00;0.00;
103;30;;0.00;-0.16;-1.58;0.00;0.00;0.00;
104;65;;0.01;0.30;2.99;0.00;0.00;0.00;
104;71;;0.01;-0.30;-2.99;0.00;0.00;0.00;
105;66;;0.03;0.30;2.99;0.00;0.00;0.00;
105;72;;0.03;-0.30;-2.99;0.00;0.00;0.00;
106;68;;0.01;0.30;2.99;0.00;0.00;0.00;
106;73;;0.01;-0.30;-2.99;0.00;0.00;0.00;
107;67;;0.01;0.30;2.99;0.00;0.00;0.00;
107;74;;0.01;-0.30;-2.99;0.00;0.00;0.00;
108;19;;0.00;0.16;1.58;0.00;0.00;0.00;
108;26;;0.00;-0.16;-1.58;0.00;0.00;0.00;
119;63;;0.04;0.18;1.84;0.00;0.00;0.00;
119;52;;0.04;-0.18;-1.84;0.00;0.00;0.00;
121;62;;0.04;0.18;1.84;0.00;0.00;0.00;
121;76;;0.04;-0.18;-1.84;0.00;0.00;0.00;
124;84;;-0.06;0.30;2.99;0.00;0.00;0.00;
124;57;;-0.06;-0.30;-2.99;0.00;0.00;0.00;
125;85;;-0.34;0.30;2.99;0.00;0.00;0.00;
125;58;;-0.34;-0.30;-2.99;0.00;0.00;0.00;
126;86;;-0.05;0.30;2.99;0.00;0.00;0.00;
