Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;Obergurt;;;;;;;;;;
1;2;2;0.000;;1.72;0.84;6.51;-0.05;-4.41;0.01;Beam | 3 - HEA 140 | L : 1.650 m
1;2;139;1.650;;1.77;0.17;5.96;-0.03;5.89;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;188;139;0.000;;2.39;0.50;-0.37;0.02;5.77;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.612;;2.41;-0.04;-0.57;0.02;5.48;-1.14;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;2.42;-0.25;-0.64;0.02;5.36;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
1;188;;0.825;;2.42;-0.25;-0.64;0.02;5.36;-1.11;Beam | 3 - HEA 140 | L : 1.650 m
1;188;140;1.650;;2.45;-0.90;-0.91;0.01;4.71;-0.63;Beam | 3 - HEA 140 | L : 1.650 m
1;189;140;0.000;;3.09;-0.69;-7.24;0.05;4.60;-0.63;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;;3.14;-1.33;-7.78;0.05;-7.79;1.19;Beam | 3 - HEA 140 | L : 1.650 m
1;190;141;0.000;;3.78;-0.38;-14.11;0.23;-7.90;1.19;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;3.78;-0.40;-14.12;0.23;-8.43;1.22;Beam | 3 - HEA 140 | L : 0.075 m
1;190;;0.037;;3.78;-0.40;-14.12;0.23;-8.43;1.22;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;;3.78;-0.42;-14.13;0.23;-8.96;1.24;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;;1.46;1.22;8.02;-0.03;-9.38;1.25;Beam | 3 - HEA 140 | L : 1.575 m
1;3;142;1.575;;1.53;0.59;7.50;-0.03;2.84;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
1;191;142;0.000;;2.16;0.72;1.17;0.00;2.72;-0.35;Beam | 3 - HEA 140 | L : 1.650 m
1;191;;0.688;;2.18;0.12;0.95;-0.01;3.45;-0.65;Beam | 3 - HEA 140 | L : 1.650 m
1;191;143;1.650;;2.21;-0.69;0.63;-0.01;4.22;-0.35;Beam | 3 - HEA 140 | L : 1.650 m
1;192;143;0.000;;2.85;-0.58;-5.70;0.01;4.10;-0.35;Beam | 3 - HEA 140 | L : 1.650 m
1;192;145;1.650;;2.90;-1.20;-6.24;0.01;-5.74;1.27;Beam | 3 - HEA 140 | L : 1.650 m
1;193;145;0.000;;3.29;-1.04;-10.07;0.04;-5.81;1.27;Beam | 3 - HEA 140 | L : 0.150 m
1;193;4;0.150;;3.29;-1.06;-10.12;0.04;-7.32;1.43;Beam | 3 - HEA 140 | L : 0.150 m
1;4;4;0.000;;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
1;4;156;0.150;;3.59;1.07;10.27;-0.04;-6.25;1.32;Beam | 3 - HEA 140 | L : 0.150 m
1;194;156;0.000;;3.21;1.22;6.44;-0.01;-6.18;1.32;Beam | 3 - HEA 140 | L : 1.650 m
1;194;155;1.650;;3.16;0.60;5.90;-0.01;3.99;-0.33;Beam | 3 - HEA 140 | L : 1.650 m
1;195;155;0.000;;2.52;0.70;-0.43;0.01;4.10;-0.33;Beam | 3 - HEA 140 | L : 1.650 m
1;195;;0.962;;2.49;-0.11;-0.75;0.01;3.54;-0.65;Beam | 3 - HEA 140 | L : 1.650 m
1;195;154;1.650;;2.47;-0.71;-0.97;0.00;2.94;-0.35;Beam | 3 - HEA 140 | L : 1.650 m
1;196;154;0.000;;1.84;-0.58;-7.30;0.03;3.06;-0.35;Beam | 3 - HEA 140 | L : 1.575 m
1;196;5;1.575;;1.77;-1.20;-7.82;0.03;-8.84;1.21;Beam | 3 - HEA 140 | L : 1.575 m
1;5;5;0.000;;3.90;0.45;14.36;-0.23;-9.56;1.29;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;3.90;0.43;14.34;-0.23;-9.03;1.26;Beam | 3 - HEA 140 | L : 0.075 m
1;5;;0.037;;3.90;0.43;14.34;-0.23;-9.03;1.26;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;;3.90;0.41;14.33;-0.23;-8.49;1.24;Beam | 3 - HEA 140 | L : 0.075 m
1;197;153;0.000;;3.27;1.35;8.00;-0.05;-8.38;1.24;Beam | 3 - HEA 140 | L : 1.650 m
1;197;152;1.650;;3.22;0.70;7.46;-0.05;4.38;-0.61;Beam | 3 - HEA 140 | L : 1.650 m
1;198;152;0.000;;2.57;0.91;1.14;-0.02;4.49;-0.61;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;2.54;0.26;0.86;-0.02;5.32;-1.10;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;0.825;;2.54;0.26;0.86;-0.02;5.32;-1.10;Beam | 3 - HEA 140 | L : 1.650 m
1;198;;1.038;;2.54;0.05;0.79;-0.02;5.50;-1.13;Beam | 3 - HEA 140 | L : 1.650 m
1;198;151;1.650;;2.52;-0.49;0.59;-0.02;5.92;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;199;151;0.000;;1.89;-0.15;-5.74;0.03;6.04;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;199;6;1.650;;1.85;-0.81;-6.28;0.05;-3.89;-0.03;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;5;153;0.075;N;3.90;0.41;14.33;-0.23;-8.49;1.24;Beam | 3 - HEA 140 | L : 0.075 m
1;3;3;0.000;N;1.46;1.22;8.02;-0.03;-9.38;1.25;Beam | 3 - HEA 140 | L : 1.575 m
1;197;153;0.000;V_y;3.27;1.35;8.00;-0.05;-8.38;1.24;Beam | 3 - HEA 140 | L : 1.650 m
1;189;141;1.650;V_y;3.14;-1.33;-7.78;0.05;-7.79;1.19;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;V_z;3.90;0.45;14.36;-0.23;-9.56;1.29;Beam | 3 - HEA 140 | L : 0.075 m
1;190;3;0.075;V_z;3.78;-0.42;-14.13;0.23;-8.96;1.24;Beam | 3 - HEA 140 | L : 0.075 m
1;190;141;0.000;M_T;3.78;-0.38;-14.11;0.23;-7.90;1.19;Beam | 3 - HEA 140 | L : 0.075 m
1;5;153;0.075;M_T;3.90;0.41;14.33;-0.23;-8.49;1.24;Beam | 3 - HEA 140 | L : 0.075 m
1;199;151;0.000;M_y;1.89;-0.15;-5.74;0.03;6.04;-0.98;Beam | 3 - HEA 140 | L : 1.650 m
1;5;5;0.000;M_y;3.90;0.45;14.36;-0.23;-9.56;1.29;Beam | 3 - HEA 140 | L : 0.075 m
1;4;4;0.000;M_z;3.59;1.08;10.32;-0.04;-7.80;1.48;Beam | 3 - HEA 140 | L : 0.150 m
1;188;;0.612;M_z;2.41;-0.04;-0.57;0.02;5.48;-1.14;Beam | 3 - HEA 140 | L : 1.650 m
Total;;;;;3.90;1.35;14.36;0.23;6.04;1.48;
1;;;;;1.46;-1.33;-14.13;-0.23;-9.56;-1.14;
;;;;;;;;;;;
2;Obergurt;;;;;;;;;;
2;11;12;0.000;;-75.44;0.16;77.98;0.03;-245.55;0.10;Beam | 1 - IPE 500 | L : 1.650 m
2;11;111;1.650;;-75.02;0.39;76.19;0.09;-118.31;0.19;Beam | 1 - IPE 500 | L : 1.650 m
2;162;111;0.000;;-73.82;0.30;63.53;0.07;-118.77;0.19;Beam | 1 - IPE 500 | L : 1.650 m
2;162;112;1.650;;-73.56;0.44;61.60;0.11;-15.51;-0.25;Beam | 1 - IPE 500 | L : 1.650 m
2;163;112;0.000;;-72.38;0.31;48.93;0.08;-15.97;-0.24;Beam | 1 - IPE 500 | L : 1.650 m
2;163;113;1.650;;-72.21;0.38;46.89;0.10;63.10;-0.87;Beam | 1 - IPE 500 | L : 1.650 m
2;164;113;0.000;;-71.02;-0.07;34.22;-0.03;62.64;-0.86;Beam | 1 - IPE 500 | L : 0.075 m
2;164;13;0.075;;-71.01;-0.07;34.12;-0.03;65.20;-0.86;Beam | 1 - IPE 500 | L : 0.075 m
2;12;13;0.000;;-75.89;0.05;32.97;-0.03;65.20;-0.86;Beam | 1 - IPE 500 | L : 1.575 m
2;12;114;1.575;;-75.76;0.01;30.94;-0.03;115.54;-0.83;Beam | 1 - IPE 500 | L : 1.575 m
2;165;114;0.000;;-74.55;-0.13;18.27;-0.05;115.08;-0.83;Beam | 1 - IPE 500 | L : 1.650 m
2;165;115;1.650;;-74.39;-0.16;16.10;-0.03;143.45;-0.44;Beam | 1 - IPE 500 | L : 1.650 m
2;166;115;0.000;;-73.16;-0.27;3.44;-0.05;142.99;-0.43;Beam | 1 - IPE 500 | L : 1.650 m
2;166;117;1.650;;-72.96;-0.27;1.26;-0.01;146.86;0.24;Beam | 1 - IPE 500 | L : 1.650 m
2;167;117;0.000;;-72.20;-0.38;-6.41;-0.04;146.58;0.24;Beam | 1 - IPE 500 | L : 0.150 m
2;167;14;0.150;;-72.18;-0.38;-6.61;-0.03;145.60;0.33;Beam | 1 - IPE 500 | L : 0.150 m
2;13;14;0.000;;-72.18;0.38;6.62;0.03;145.60;0.33;Beam | 1 - IPE 500 | L : 0.150 m
2;13;128;0.150;;-72.20;0.38;6.43;0.03;146.58;0.24;Beam | 1 - IPE 500 | L : 0.150 m
2;168;128;0.000;;-72.96;0.27;-1.24;0.01;146.48;0.25;Beam | 1 - IPE 500 | L : 1.650 m
2;168;127;1.650;;-73.16;0.27;-3.42;0.04;142.63;-0.42;Beam | 1 - IPE 500 | L : 1.650 m
2;169;127;0.000;;-74.39;0.16;-16.09;0.03;142.46;-0.42;Beam | 1 - IPE 500 | L : 1.650 m
2;169;126;1.650;;-74.55;0.13;-18.25;0.04;114.12;-0.82;Beam | 1 - IPE 500 | L : 1.650 m
2;170;126;0.000;;-75.75;0.00;-30.92;0.03;113.95;-0.81;Beam | 1 - IPE 500 | L : 1.575 m
2;170;15;1.575;;-75.89;-0.04;-32.95;0.03;63.64;-0.84;Beam | 1 - IPE 500 | L : 1.575 m
2;14;15;0.000;;-71.05;0.07;-34.10;0.03;63.64;-0.84;Beam | 1 - IPE 500 | L : 0.075 m
2;14;125;0.075;;-71.06;0.07;-34.20;0.03;61.08;-0.85;Beam | 1 - IPE 500 | L : 0.075 m
2;171;125;0.000;;-72.25;-0.37;-46.87;-0.09;60.91;-0.83;Beam | 1 - IPE 500 | L : 1.650 m
2;171;124;1.650;;-72.42;-0.30;-48.90;-0.08;-18.13;-0.23;Beam | 1 - IPE 500 | L : 1.650 m
2;172;124;0.000;;-73.60;-0.43;-61.57;-0.10;-18.30;-0.23;Beam | 1 - IPE 500 | L : 1.650 m
2;172;123;1.650;;-73.86;-0.29;-63.50;-0.07;-121.52;0.19;Beam | 1 - IPE 500 | L : 1.650 m
2;173;123;0.000;;-75.06;-0.39;-76.17;-0.09;-121.69;0.20;Beam | 1 - IPE 500 | L : 1.650 m
2;173;16;1.650;;-75.49;-0.16;-77.95;-0.03;-248.89;0.10;Beam | 1 - IPE 500 | L : 1.650 m
