Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;1;0.000;;-8.92;-2.17;-2.05;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;;-8.92;-2.17;-2.05;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-8.31;-0.33;-1.05;0.01;-2.33;1.87;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.500;;-8.31;-0.33;-1.06;0.01;-2.33;1.87;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;;-8.22;-0.03;-0.90;0.01;-2.56;1.92;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.29;1.36;-0.28;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;;-7.29;1.36;-0.28;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;2;4.000;N;-7.29;1.36;-0.28;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;N;-8.92;-2.17;-2.05;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_y;-7.29;1.36;-0.28;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_y;-8.92;-2.17;-2.05;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;V_z;-7.29;1.36;-0.28;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;V_z;-8.92;-2.17;-2.05;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.000;M_T;-8.52;-0.94;-1.39;0.01;-1.72;1.56;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_T;-7.29;1.36;-0.28;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;1;0.000;M_y;-8.92;-2.17;-2.05;0.01;0.00;0.00;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_y;-7.29;1.36;-0.28;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
1;;1.738;M_z;-8.22;-0.03;-0.90;0.01;-2.56;1.92;Beam | 2 - HEA 160 | L : 4.000 m
1;2;4.000;M_z;-7.29;1.36;-0.28;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
Total;;;;-7.29;1.36;-0.28;0.01;0.00;1.92;Beam | 2 - HEA 160 | L : 4.000 m
1;;;;-8.92;-2.17;-2.05;0.00;-3.62;-0.11;Beam | 2 - HEA 160 | L : 4.000 m
;;;;;;;;;;
2;2;0.000;;0.24;-0.95;4.86;0.06;-3.66;-0.01;Beam | 3 - HEA 140 | L : 1.650 m
2;139;1.650;;0.30;-0.15;4.31;0.05;3.92;1.09;Beam | 3 - HEA 140 | L : 1.650 m
Extremes;139;1.650;N;0.30;-0.15;4.31;0.05;3.92;1.09;Beam | 3 - HEA 140 | L : 1.650 m
