Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;0.0;0.0;0.0;0.0;-1.6;1.1;0.0;
2;1.8;-0.3;-1.8;0.0;0.6;-1.2;-3.0;
3;4.4;0.1;-4.4;0.1;-15.1;0.4;1.4;
4;5.9;0.0;-5.9;0.1;-8.3;0.0;0.0;
5;4.4;0.0;-4.4;0.1;-14.9;-0.2;-1.4;
6;1.8;0.3;-1.7;0.0;0.6;1.3;2.9;
7;0.0;0.0;0.0;0.0;-1.6;-1.1;0.0;
8;0.0;0.0;0.0;0.0;-2.3;-0.3;0.0;
9;0.0;0.0;0.0;0.0;-3.0;-0.3;0.0;
10;0.0;0.0;0.0;0.0;-2.3;-0.2;0.0;
11;0.0;0.0;0.0;0.0;-0.4;1.3;0.0;
12;2.7;-2.1;-1.7;0.1;-0.5;-1.2;-0.7;
13;15.4;-0.7;-4.3;14.8;-14.4;-3.2;1.2;
14;24.6;0.2;-5.8;23.9;-7.9;0.0;0.0;
15;15.3;1.1;-4.3;14.6;-14.2;3.2;-1.2;
16;3.0;2.5;-1.7;0.1;-0.5;1.2;0.7;
17;0.0;0.0;0.0;0.0;-0.4;-1.4;0.0;
18;0.0;0.0;0.0;0.0;-0.5;1.0;0.0;
19;2.6;-1.5;-2.1;0.1;-0.6;-1.1;-0.6;
20;13.0;-0.4;-4.6;12.1;-13.7;-2.5;1.2;
21;19.9;0.2;-5.9;19.0;-7.5;0.0;0.0;
22;12.9;0.8;-4.6;12.0;-13.5;2.5;-1.1;
23;2.8;1.9;-2.1;0.1;-0.6;1.0;0.6;
24;0.0;0.0;0.0;0.0;-0.5;-1.2;0.0;
25;0.0;0.0;0.0;0.0;-0.5;1.2;0.0;
26;2.8;-1.8;-2.2;0.1;-0.6;-1.1;-0.6;
27;13.9;-0.6;-4.8;13.1;-13.2;-2.8;1.1;
28;21.8;0.2;-6.2;20.9;-6.8;0.0;0.0;
29;13.9;0.9;-4.8;13.0;-13.0;2.8;-1.0;
30;3.1;2.2;-2.2;0.1;-0.6;1.1;0.6;
31;0.0;0.0;0.0;0.0;-0.5;-1.3;0.0;
32;0.0;0.0;0.0;0.0;-0.5;1.2;0.0;
33;2.9;-1.8;-2.3;0.1;-0.6;-1.1;-0.6;
34;14.1;-0.6;-5.0;13.2;-12.8;-2.8;1.0;
35;22.2;0.2;-6.5;21.2;-6.1;0.0;0.0;
36;14.1;0.9;-5.0;13.1;-12.5;2.8;-1.0;
37;3.2;2.2;-2.3;0.1;-0.6;1.1;0.6;
38;0.0;0.0;0.0;0.0;-0.5;-1.3;0.0;
39;0.0;0.0;0.0;0.0;-3.3;2.0;0.0;
40;2.4;-0.4;-2.4;0.0;1.8;-1.9;-4.8;
41;5.2;0.1;-5.2;0.1;-14.6;0.6;1.6;
