Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Corresponding Loading
3;142;1.575;u_y;5.1;-0.3;-5.1;0.5;-6.2;-1.1;-0.9;CO37
3;142;1.575;u_z;6.0;0.3;5.7;1.6;7.9;-0.4;0.6;CO26
3;;0.315;u_z;4.8;-0.3;-4.8;0.0;-9.4;-0.4;-0.2;CO29
3;3;0.000;φ_x;4.9;0.3;4.9;0.1;10.1;0.5;0.4;CO35
3;3;0.000;φ_x;4.7;-0.3;-4.7;0.0;-10.2;0.1;-0.1;CO38
3;3;0.000;φ_y;4.9;0.3;4.9;0.1;10.1;0.5;0.4;CO25
3;;1.181;φ_y;5.0;-0.3;-5.0;0.3;-7.2;-1.3;-1.0;CO26
3;;1.102;φ_z;5.5;0.3;5.4;1.0;5.1;-0.4;0.7;CO35
3;;1.260;φ_z;5.0;-0.3;-5.0;0.3;-7.0;-1.3;-1.0;CO31
Total;;;;6.0;0.3;5.7;1.6;10.1;0.5;0.7;
3;;;;4.7;-0.3;-5.1;0.0;-10.2;-1.3;-1.0;
;;;;;;;;;;;
4;4;0.000;max;4.9;0.3;4.8;0.1;5.0;0.0;0.6;
4;4;0.000;min;4.8;-0.3;-4.8;0.0;-5.4;-0.2;-0.5;
4;;0.075;max;4.8;0.3;4.8;0.1;4.4;-0.1;0.5;
4;;0.075;min;4.8;-0.3;-4.8;0.1;-5.3;-0.3;-0.4;
4;;0.075;max;4.8;0.3;4.8;0.1;4.4;-0.1;0.5;
4;;0.075;min;4.8;-0.3;-4.8;0.1;-5.3;-0.3;-0.4;
4;156;0.150;max;4.8;0.3;4.8;0.2;3.8;-0.2;0.4;
4;156;0.150;min;4.7;-0.3;-4.7;0.1;-5.1;-0.4;-0.5;
Extremes;156;0.150;u_x;4.8;0.3;4.8;0.2;3.8;-0.2;0.4;CO36
4;156;0.150;u_x;4.7;-0.3;-4.7;0.1;-5.1;-0.4;-0.5;CO34
4;4;0.000;u_y;4.9;0.3;4.8;0.1;5.0;0.0;0.6;CO35
4;4;0.000;u_y;4.8;-0.3;-4.8;0.0;-5.4;-0.2;-0.5;CO37
4;156;0.150;u_z;4.8;0.3;4.8;0.2;3.8;-0.2;0.4;CO24
4;4;0.000;u_z;4.8;-0.3;-4.8;0.0;-5.4;-0.2;-0.5;CO31
4;4;0.000;φ_x;4.9;0.3;4.8;0.1;5.0;0.0;0.6;CO35
4;4;0.000;φ_x;4.8;-0.3;-4.8;0.0;-5.4;-0.2;-0.5;CO38
4;4;0.000;φ_y;4.9;0.3;4.8;0.1;5.0;0.0;0.6;CO24
4;156;0.150;φ_y;4.7;-0.3;-4.7;0.1;-5.1;-0.4;-0.5;CO26
4;4;0.000;φ_z;4.9;0.3;4.8;0.1;5.0;0.0;0.6;CO38
4;4;0.000;φ_z;4.8;-0.3;-4.8;0.0;-5.4;-0.2;-0.5;CO35
Total;;;;4.9;0.3;4.8;0.2;5.0;0.0;0.6;
4;;;;4.7;-0.3;-4.8;0.0;-5.4;-0.4;-0.5;
;;;;;;;;;;;
5;5;0.000;max;4.9;0.3;4.8;0.1;9.9;0.0;0.1;
5;5;0.000;min;4.7;-0.3;-4.7;0.0;-10.1;-0.3;-0.4;
5;;0.037;max;4.9;0.3;4.8;0.1;8.5;0.0;0.2;
5;;0.037;min;4.7;-0.3;-4.7;0.0;-9.5;-0.4;-0.5;
5;;0.037;max;4.9;0.3;4.8;0.1;8.5;0.0;0.2;
5;;0.037;min;4.7;-0.3;-4.7;0.0;-9.5;-0.4;-0.5;
5;153;0.075;max;4.9;0.3;4.9;0.1;7.0;-0.1;0.2;
5;153;0.075;min;4.7;-0.3;-4.7;0.0;-8.9;-0.5;-0.6;
Extremes;153;0.075;u_x;4.9;0.3;4.9;0.1;7.0;-0.1;0.2;CO36
5;153;0.075;u_x;4.7;-0.3;-4.7;0.0;-8.9;-0.5;-0.6;CO34
5;153;0.075;u_y;4.9;0.3;4.9;0.1;7.0;-0.1;0.2;CO35
5;5;0.000;u_y;4.7;-0.3;-4.7;0.0;-10.1;-0.3;-0.4;CO37
5;153;0.075;u_z;4.9;0.3;4.9;0.1;7.0;-0.1;0.2;CO24
5;5;0.000;u_z;4.7;-0.3;-4.7;0.0;-10.1;-0.3;-0.4;CO31
5;5;0.000;φ_x;4.9;0.3;4.8;0.1;9.9;0.0;0.1;CO35
5;5;0.000;φ_x;4.7;-0.3;-4.7;0.0;-10.1;-0.3;-0.4;CO38
5;5;0.000;φ_y;4.9;0.3;4.8;0.1;9.9;0.0;0.1;CO29
5;153;0.075;φ_y;4.7;-0.3;-4.7;0.0;-8.9;-0.5;-0.6;CO25
5;153;0.075;φ_z;4.9;0.3;4.9;0.1;7.0;-0.1;0.2;CO30
5;153;0.075;φ_z;4.7;-0.3;-4.7;0.0;-8.9;-0.5;-0.6;CO34
Total;;;;4.9;0.3;4.9;0.1;9.9;0.0;0.2;
5;;;;4.7;-0.3;-4.7;0.0;-10.1;-0.5;-0.6;
;;;;;;;;;;;
6;7;0.000;max;0.0;0.0;0.0;0.0;0.0;0.4;2.2;
