Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Corresponding Loading
17;P_z;32.99;24.58;24.94;0.00;0.00;-0.01;CO11
17;M_x;28.05;1.26;47.21;0.00;0.00;0.00;CO1
17;M_x;28.05;1.26;47.21;0.00;0.00;0.00;CO1
17;M_y;28.05;1.26;47.21;0.00;0.00;0.00;CO1
17;M_y;28.05;1.26;47.21;0.00;0.00;0.00;CO1
17;M_z;52.75;0.11;95.05;0.00;0.00;0.01;CO18
17;M_z;50.38;24.64;50.42;0.00;0.00;-0.01;CO16
Extremes;;67.86;24.64;111.61;0.00;0.00;0.01;
17;;17.08;-0.40;24.94;0.00;0.00;-0.01;
17;;;;;;;;
18;P_x;-17.14;-1.42;46.85;0.00;0.00;0.00;CO12
18;P_x;-68.13;-0.07;111.72;0.00;0.00;0.01;CO6
18;P_y;-68.13;-0.07;111.72;0.00;0.00;0.01;CO6
18;P_y;-47.34;-24.78;50.19;0.00;0.00;-0.01;CO18
18;P_z;-68.13;-0.07;111.72;0.00;0.00;0.01;CO6
18;P_z;-29.96;-24.71;24.70;0.00;0.00;-0.01;CO13
18;M_x;-28.05;-1.26;47.18;0.00;0.00;0.00;CO1
18;M_x;-28.05;-1.26;47.18;0.00;0.00;0.00;CO1
18;M_y;-28.05;-1.26;47.18;0.00;0.00;0.00;CO1
18;M_y;-28.05;-1.26;47.18;0.00;0.00;0.00;CO1
18;M_z;-54.31;-0.10;95.16;0.00;0.00;0.01;CO16
18;M_z;-47.34;-24.78;50.19;0.00;0.00;-0.01;CO18
Extremes;;-17.14;-0.07;111.72;0.00;0.00;0.01;
18;;-68.13;-24.78;24.70;0.00;0.00;-0.01;
18;;;;;;;;
24;P_x;68.05;-0.07;111.62;0.00;0.00;-0.01;CO6
24;P_x;17.12;-1.69;45.97;0.00;0.00;0.00;CO10
24;P_y;68.05;-0.07;111.62;0.00;0.00;-0.01;CO6
24;P_y;47.46;-24.65;50.33;0.00;0.00;0.01;CO18
24;P_z;68.05;-0.07;111.62;0.00;0.00;-0.01;CO6
24;P_z;30.09;-24.58;24.89;0.00;0.00;0.01;CO13
24;M_x;28.05;-1.26;47.21;0.00;0.00;0.00;CO1
24;M_x;28.05;-1.26;47.21;0.00;0.00;0.00;CO1
24;M_y;28.05;-1.26;47.21;0.00;0.00;0.00;CO1
24;M_y;28.05;-1.26;47.21;0.00;0.00;0.00;CO1
24;M_z;47.46;-24.65;50.33;0.00;0.00;0.01;CO18
24;M_z;54.19;-0.10;95.07;0.00;0.00;-0.01;CO16
Extremes;;68.05;-0.07;111.62;0.00;0.00;0.01;
24;;17.12;-24.65;24.89;0.00;0.00;-0.01;
24;;;;;;;;
25;P_x;-16.22;-0.19;44.07;0.00;0.00;0.00;CO12
25;P_x;-67.06;0.00;98.02;0.00;0.00;0.00;CO5
25;P_y;-50.67;0.09;70.77;0.00;0.00;-0.01;CO18
25;P_y;-61.91;-0.42;96.46;0.00;0.00;0.00;CO4
25;P_z;-67.06;0.00;98.02;0.00;0.00;0.00;CO5
25;P_z;-16.22;-0.19;44.07;0.00;0.00;0.00;CO12
25;M_x;-27.17;0.00;45.25;0.00;0.00;0.00;CO1
25;M_x;-27.17;0.00;45.25;0.00;0.00;0.00;CO1
25;M_y;-27.17;0.00;45.25;0.00;0.00;0.00;CO1
25;M_y;-27.17;0.00;45.25;0.00;0.00;0.00;CO1
25;M_z;-49.25;-0.09;70.77;0.00;0.00;0.01;CO16
25;M_z;-50.67;0.09;70.77;0.00;0.00;-0.01;CO18
Extremes;;-16.22;0.09;98.02;0.00;0.00;0.01;
25;;-67.06;-0.42;44.07;0.00;0.00;-0.01;
25;;;;;;;;
31;P_x;67.05;-0.42;97.80;0.00;0.00;0.00;CO7
31;P_x;16.23;0.00;44.02;0.00;0.00;0.00;CO10
31;P_y;50.67;0.09;70.76;0.00;0.00;0.01;CO18
31;P_y;67.05;-0.42;97.80;0.00;0.00;0.00;CO7
31;P_z;67.05;-0.42;97.80;0.00;0.00;0.00;CO7
31;P_z;16.23;0.00;44.02;0.00;0.00;0.00;CO10
31;M_x;27.17;0.00;45.27;0.00;0.00;0.00;CO1
31;M_x;27.17;0.00;45.27;0.00;0.00;0.00;CO1
31;M_y;27.17;0.00;45.27;0.00;0.00;0.00;CO1
31;M_y;27.17;0.00;45.27;0.00;0.00;0.00;CO1
31;M_z;50.67;0.09;70.76;0.00;0.00;0.01;CO18
31;M_z;49.25;-0.09;70.76;0.00;0.00;-0.01;CO16
Extremes;;67.05;0.09;97.80;0.00;0.00;0.01;
31;;16.23;-0.42;44.02;0.00;0.00;-0.01;
31;;;;;;;;
32;P_x;-16.20;-0.19;44.04;0.00;0.00;0.00;CO12
32;P_x;-67.01;0.00;97.97;0.00;0.00;0.00;CO5
32;P_y;-52.16;0.09;70.84;0.00;0.00;-0.01;CO18
32;P_y;-61.91;-0.42;96.45;0.00;0.00;0.00;CO4
32;P_z;-67.01;0.00;97.97;0.00;0.00;0.00;CO5
32;P_z;-16.20;-0.19;44.04;0.00;0.00;0.00;CO12
32;M_x;-27.17;0.00;45.25;0.00;0.00;0.00;CO1
32;M_x;-27.17;0.00;45.25;0.00;0.00;0.00;CO1
32;M_y;-27.17;0.00;45.25;0.00;0.00;0.00;CO1
32;M_y;-27.17;0.00;45.25;0.00;0.00;0.00;CO1
32;M_z;-49.22;-0.09;70.74;0.00;0.00;0.01;CO16
32;M_z;-52.16;0.09;70.84;0.00;0.00;-0.01;CO18
Extremes;;-16.20;0.09;97.97;0.00;0.00;0.01;
32;;-67.01;-0.42;44.04;0.00;0.00;-0.01;
32;;;;;;;;
38;P_x;67.00;-0.42;97.75;0.00;0.00;0.00;CO7
38;P_x;16.21;0.00;43.98;0.00;0.00;0.00;CO10
38;P_y;52.17;0.09;70.82;0.00;0.00;0.01;CO18
38;P_y;67.00;-0.42;97.75;0.00;0.00;0.00;CO7
38;P_z;67.00;-0.42;97.75;0.00;0.00;0.00;CO7
38;P_z;16.21;0.00;43.98;0.00;0.00;0.00;CO10
38;M_x;27.17;0.00;45.27;0.00;0.00;0.00;CO1
38;M_x;27.17;0.00;45.27;0.00;0.00;0.00;CO1
38;M_y;27.17;0.00;45.27;0.00;0.00;0.00;CO1
38;M_y;27.17;0.00;45.27;0.00;0.00;0.00;CO1
38;M_z;52.17;0.09;70.82;0.00;0.00;0.01;CO18
38;M_z;49.22;-0.09;70.73;0.00;0.00;-0.01;CO16
Extremes;;67.00;0.09;97.75;0.00;0.00;0.01;
38;;16.21;-0.42;43.98;0.00;0.00;-0.01;
38;;;;;;;;
39;P_x;2.40;4.85;6.71;0.00;0.00;0.01;CO12
39;P_x;-5.58;-3.00;8.00;0.00;0.00;-0.01;CO18
39;P_y;2.40;4.85;6.71;0.00;0.00;0.01;CO12
39;P_y;-5.54;-3.03;7.99;0.00;0.00;-0.01;CO19
39;P_z;0.51;2.87;12.53;0.00;0.00;0.01;CO7
39;P_z;-5.17;-3.02;4.94;0.00;0.00;-0.01;CO14
39;M_x;-0.53;0.00;6.01;0.00;0.00;0.00;CO1
39;M_x;-0.53;0.00;6.01;0.00;0.00;0.00;CO1
39;M_y;-0.53;0.00;6.01;0.00;0.00;0.00;CO1
39;M_y;-0.53;0.00;6.01;0.00;0.00;0.00;CO1
39;M_z;2.04;4.83;9.77;0.00;0.00;0.01;CO17
39;M_z;-5.54;-3.03;7.99;0.00;0.00;-0.01;CO19
Extremes;;2.40;4.85;12.53;0.00;0.00;0.01;
39;;-5.58;-3.03;4.94;0.00;0.00;-0.01;
39;;;;;;;;
45;P_x;5.54;-3.04;7.83;0.00;0.00;0.01;CO19
45;P_x;-2.43;4.88;6.59;0.00;0.00;-0.01;CO10
45;P_y;-2.43;4.88;6.59;0.00;0.00;-0.01;CO10
45;P_y;5.54;-3.04;7.83;0.00;0.00;0.01;CO19
45;P_z;-0.55;2.93;12.30;0.00;0.00;-0.01;CO5
45;P_z;5.13;-3.00;4.81;0.00;0.00;0.01;CO13
45;M_x;0.47;0.00;5.87;0.00;0.00;0.00;CO1
45;M_x;0.47;0.00;5.87;0.00;0.00;0.00;CO1
45;M_y;0.47;0.00;5.87;0.00;0.00;0.00;CO1
45;M_y;0.47;0.00;5.87;0.00;0.00;0.00;CO1
45;M_z;5.54;-3.04;7.83;0.00;0.00;0.01;CO19
45;M_z;-2.07;4.88;9.58;0.00;0.00;-0.01;CO15
Extremes;;5.54;4.88;12.30;0.00;0.00;0.01;
45;;-2.43;-3.04;4.81;0.00;0.00;-0.01;
45;;;;;;;;
46;P_x;5.62;7.82;5.38;0.00;0.00;0.00;CO12
46;P_x;-0.12;2.95;27.52;0.00;0.00;0.00;CO5
46;P_y;5.62;7.82;5.38;0.00;0.00;0.00;CO12
46;P_y;0.59;-6.94;18.43;0.00;0.00;0.00;CO19
46;P_z;-0.12;2.95;27.52;0.00;0.00;0.00;CO5
46;P_z;5.62;7.82;5.38;0.00;0.00;0.00;CO12
46;M_x;1.14;0.00;10.99;0.00;0.00;0.00;CO1
46;M_x;1.14;0.00;10.99;0.00;0.00;0.00;CO1
46;M_y;1.14;0.00;10.99;0.00;0.00;0.00;CO1
46;M_y;1.14;0.00;10.99;0.00;0.00;0.00;CO1
46;M_z;1.14;0.00;10.99;0.00;0.00;0.00;CO1
46;M_z;1.14;0.00;10.99;0.00;0.00;0.00;CO1
Extremes;;5.62;7.82;27.52;0.00;0.00;0.00;
46;;-0.12;-6.94;5.38;0.00;0.00;0.00;
46;;;;;;;;
47;P_x;0.00;7.05;16.98;0.00;0.00;0.00;CO12
47;P_x;-5.40;7.13;5.86;0.00;0.00;0.00;CO10
47;P_y;-5.40;7.13;5.86;0.00;0.00;0.00;CO10
47;P_y;-0.59;-7.73;17.97;0.00;0.00;0.00;CO19
47;P_z;0.00;4.16;26.88;0.00;0.00;0.00;CO7
47;P_z;-5.40;7.13;5.86;0.00;0.00;0.00;CO10
47;M_x;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
47;M_x;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
47;M_y;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
47;M_y;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
47;M_z;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
47;M_z;-1.03;0.00;11.17;0.00;0.00;0.00;CO1
Extremes;;0.00;7.13;26.88;0.00;0.00;0.00;
47;;-5.40;-7.73;5.86;0.00;0.00;0.00;
47;;;;;;;;
48;P_x;0.00;-4.22;24.34;0.00;0.00;0.00;CO9
48;P_x;-0.10;-4.11;24.35;0.00;0.00;0.00;CO8
48;P_y;-0.05;7.86;10.68;0.00;0.00;0.00;CO10
48;P_y;0.00;-6.94;17.95;0.00;0.00;0.00;CO19
48;P_z;-0.10;-4.11;24.35;0.00;0.00;0.00;CO8
48;P_z;-0.05;7.86;10.68;0.00;0.00;0.00;CO10
48;M_x;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
48;M_x;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
48;M_y;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
48;M_y;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
48;M_z;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
48;M_z;-0.05;0.00;10.78;0.00;0.00;0.00;CO1
Extremes;;0.00;7.86;24.35;0.00;0.00;0.00;
48;;-0.10;-6.94;10.68;0.00;0.00;0.00;
48;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
24;P_x;68.05;-0.07;111.62;0.00;0.00;-0.01;CO6
18;P_x;-68.13;-0.07;111.72;0.00;0.00;0.01;CO6
11;P_y;-50.26;24.77;50.27;0.00;0.00;0.01;CO16
18;P_y;-47.34;-24.78;50.19;0.00;0.00;-0.01;CO18
18;P_z;-68.13;-0.07;111.72;0.00;0.00;0.01;CO6
7;P_z;5.13;3.00;4.81;0.00;0.00;-0.01;CO11
1;M_x;-5.58;3.00;8.00;0.00;0.00;0.01;CO1
1;M_x;-5.58;3.00;8.00;0.00;0.00;0.01;CO1
1;M_y;-5.58;3.00;8.00;0.00;0.00;0.01;CO1
1;M_y;-5.58;3.00;8.00;0.00;0.00;0.01;CO1
17;M_z;52.75;0.11;95.05;0.00;0.00;0.01;CO18
11;M_z;-52.87;0.11;95.15;0.00;0.00;-0.01;CO18
